datetime,elapsed_s,voltage,Elevation_m
2026/08/01@14:13:19,99,2.7113752,21638.58064516129
2026/08/01@14:13:20,100,2.73475,21641.709677419356
2026/08/01@14:13:21,101,2.7385,21644.83870967742
2026/08/01@14:13:22,102,2.7380002,21647.967741935485
2026/08/01@14:13:23,103,2.6605,21651.09677419355
2026/08/01@14:13:24,104,2.731125,21654.225806451614
2026/08/01@14:13:25,105,2.731625,21657.354838709678
2026/08/01@14:13:26,106,2.682625,21660.483870967742
2026/08/01@14:13:27,107,2.7396252,21663.612903225807
2026/08/01@14:13:29,109,2.7325,21669.870967741936
2026/08/01@14:13:30,110,2.6245,21673.0
2026/08/01@14:13:31,111,2.74125,21676.0
2026/08/01@14:13:32,112,2.74025,21679.0
2026/08/01@14:13:33,113,2.7401252,21682.0
2026/08/01@14:13:34,114,2.6711252,21685.0
2026/08/01@14:13:35,115,2.7475002,21688.0
2026/08/01@14:13:36,116,2.745125,21691.0
2026/08/01@14:13:37,117,2.7427502,21694.0
2026/08/01@14:13:38,118,2.7496252,21697.0
2026/08/01@14:13:39,119,2.7510002,21700.0
2026/08/01@14:13:41,121,2.7297502,21706.0
2026/08/01@14:13:42,122,2.729,21709.0
2026/08/01@14:13:43,123,2.733875,21712.0
2026/08/01@14:13:44,124,2.7422502,21715.0
2026/08/01@14:13:45,125,2.7478752,21718.0
2026/08/01@14:13:46,126,2.7397502,21721.0
2026/08/01@14:13:47,127,2.73475,21724.0
2026/08/01@14:13:48,128,2.74475,21727.0
2026/08/01@14:13:49,129,2.746,21730.0
2026/08/01@14:13:50,130,2.7436252,21733.0
2026/08/01@14:13:51,131,2.7422502,21736.0
2026/08/01@14:13:53,133,2.742,21742.0
2026/08/01@14:13:54,134,2.7475002,21745.0
2026/08/01@14:13:55,135,2.743375,21748.0
2026/08/01@14:13:56,136,2.743,21751.0
2026/08/01@14:13:57,137,2.742125,21754.0
2026/08/01@14:13:58,138,2.7265,21757.0
2026/08/01@14:13:59,139,2.72475,21760.0
2026/08/01@14:14:00,140,2.6871252,21763.0
2026/08/01@14:14:01,141,2.7385,21765.870967741936
2026/08/01@14:14:02,142,2.7485,21768.74193548387
2026/08/01@14:14:03,143,2.745125,21771.612903225807
2026/08/01@14:14:04,144,2.7401252,21774.483870967742
2026/08/01@14:14:06,146,2.7392502,21780.225806451614
2026/08/01@14:14:07,147,2.7395,21783.09677419355
2026/08/01@14:14:08,148,2.7392502,21785.967741935485
2026/08/01@14:14:09,149,2.7115002,21788.83870967742
2026/08/01@14:14:10,150,2.739375,21791.709677419356
2026/08/01@14:14:11,151,2.7400002,21794.58064516129
2026/08/01@14:14:12,152,2.7375002,21797.451612903227
2026/08/01@14:14:13,153,2.7232502,21800.322580645163
2026/08/01@14:14:14,154,2.72725,21803.1935483871
2026/08/01@14:14:15,155,2.738125,21806.064516129034
2026/08/01@14:14:16,156,2.739125,21808.935483870966
2026/08/01@14:14:18,158,2.7401252,21814.677419354837
2026/08/01@14:14:19,159,2.739875,21817.548387096773
2026/08/01@14:14:20,160,2.7396252,21820.41935483871
2026/08/01@14:14:21,161,2.739,21823.290322580644
2026/08/01@14:14:22,162,2.7395,21826.16129032258
2026/08/01@14:14:23,163,2.739125,21829.032258064515
2026/08/01@14:14:24,164,2.7388752,21831.90322580645
2026/08/01@14:14:25,165,2.7388752,21834.774193548386
2026/08/01@14:14:26,166,2.7388752,21837.645161290322
2026/08/01@14:14:27,167,2.738625,21840.516129032258
2026/08/01@14:14:28,168,2.7383752,21843.387096774193
2026/08/01@14:14:30,170,2.7385,21849.129032258064
2026/08/01@14:14:31,171,2.737375,21852.0
2026/08/01@14:14:32,172,2.7370002,21855.064516129034
2026/08/01@14:14:33,173,2.716375,21858.129032258064
2026/08/01@14:14:34,174,2.7371252,21861.1935483871
2026/08/01@14:14:35,175,2.736875,21864.25806451613
2026/08/01@14:14:36,176,2.7336252,21867.322580645163
2026/08/01@14:14:37,177,2.7140002,21870.387096774193
2026/08/01@14:14:38,178,2.7362502,21873.451612903227
2026/08/01@14:14:39,179,2.7361252,21876.516129032258
2026/08/01@14:14:40,180,2.7293752,21879.58064516129
2026/08/01@14:14:42,182,2.6445,21885.709677419356
2026/08/01@14:14:43,183,2.637375,21888.774193548386
2026/08/01@14:14:44,184,2.6328752,21891.83870967742
2026/08/01@14:14:45,185,2.63275,21894.90322580645
2026/08/01@14:14:46,186,2.6290002,21897.967741935485
2026/08/01@14:14:47,187,2.62975,21901.032258064515
2026/08/01@14:14:48,188,2.628375,21904.09677419355
2026/08/01@14:14:49,189,2.6298752,21907.16129032258
2026/08/01@14:14:50,190,2.6346252,21910.225806451614
2026/08/01@14:14:51,191,2.6365002,21913.290322580644
2026/08/01@14:14:52,192,2.6390002,21916.354838709678
2026/08/01@14:14:54,194,2.63525,21922.483870967742
2026/08/01@14:14:55,195,2.637375,21925.548387096773
2026/08/01@14:14:56,196,2.637375,21928.612903225807
2026/08/01@14:14:57,197,2.638,21931.677419354837
2026/08/01@14:14:58,198,2.6386252,21934.74193548387
2026/08/01@14:14:59,199,2.6368752,21937.8064516129
2026/08/01@14:15:00,200,2.6356252,21940.870967741936
2026/08/01@14:15:01,201,2.637125,21943.935483870966
2026/08/01@14:15:02,202,2.627875,21947.0
2026/08/01@14:15:03,203,2.6342502,21950.333333333332
2026/08/01@14:15:04,204,2.6402502,21953.666666666668
2026/08/01@14:15:06,206,2.64,21960.333333333332
2026/08/01@14:15:07,207,2.6356252,21963.666666666668
2026/08/01@14:15:08,208,2.636125,21967.0
2026/08/01@14:15:09,209,2.629625,21970.333333333332
2026/08/01@14:15:10,210,2.629625,21973.666666666668
2026/08/01@14:15:11,211,2.6346252,21977.0
2026/08/01@14:15:12,212,2.63525,21980.333333333332
2026/08/01@14:15:13,213,2.6285002,21983.666666666668
2026/08/01@14:15:14,214,2.6277502,21987.0
2026/08/01@14:15:15,215,2.628875,21990.333333333332
2026/08/01@14:15:16,216,2.628375,21993.666666666668
2026/08/01@14:15:18,218,2.62575,22000.333333333332
2026/08/01@14:15:19,219,2.6332502,22003.666666666668
2026/08/01@14:15:20,220,2.636625,22007.0
2026/08/01@14:15:21,221,2.6341252,22010.333333333332
2026/08/01@14:15:22,222,2.637875,22013.666666666668
2026/08/01@14:15:23,223,2.6328752,22017.0
2026/08/01@14:15:24,224,2.6260002,22020.333333333332
2026/08/01@14:15:25,225,2.627,22023.666666666668
2026/08/01@14:15:26,226,2.62325,22027.0
2026/08/01@14:15:27,227,2.629625,22030.333333333332
2026/08/01@14:15:28,228,2.638875,22033.666666666668
2026/08/01@14:15:30,230,2.63875,22040.333333333332
2026/08/01@14:15:31,231,2.638875,22043.666666666668
2026/08/01@14:15:32,232,2.637875,22047.0
2026/08/01@14:15:33,233,2.648375,22050.032258064515
2026/08/01@14:15:34,234,2.6435,22053.064516129034
2026/08/01@14:15:35,235,2.6432502,22056.09677419355
2026/08/01@14:15:36,236,2.6471252,22059.129032258064
2026/08/01@14:15:37,237,2.6438752,22062.16129032258
2026/08/01@14:15:38,238,2.6432502,22065.1935483871
2026/08/01@14:15:39,239,2.6485002,22068.225806451614
2026/08/01@14:15:40,240,2.6481252,22071.25806451613
2026/08/01@14:15:42,241,2.6468752,22077.322580645163
2026/08/01@14:15:43,243,2.742,22080.354838709678
2026/08/01@14:15:44,244,2.74425,22083.387096774193
2026/08/01@14:15:45,245,2.7361252,22086.41935483871
2026/08/01@14:15:46,246,2.722875,22089.451612903227
2026/08/01@14:15:47,247,2.715625,22092.483870967742
2026/08/01@14:15:48,248,2.7113752,22095.516129032258
2026/08/01@14:15:49,249,2.694375,22098.548387096773
2026/08/01@14:15:50,250,2.6702502,22101.58064516129
2026/08/01@14:15:51,251,2.6605,22104.612903225807
2026/08/01@14:15:52,252,2.6597502,22107.645161290322
2026/08/01@14:15:53,253,2.6576252,22110.677419354837
2026/08/01@14:15:55,255,2.647,22116.74193548387
2026/08/01@14:15:56,256,2.6235,22119.774193548386
2026/08/01@14:15:57,257,2.61925,22122.8064516129
2026/08/01@14:15:58,258,2.6125002,22125.83870967742
2026/08/01@14:15:59,259,2.601,22128.870967741936
2026/08/01@14:16:00,260,2.603625,22131.90322580645
2026/08/01@14:16:01,261,2.6045,22134.935483870966
2026/08/01@14:16:02,262,2.597625,22137.967741935485
2026/08/01@14:16:03,263,2.5937502,22141.0
2026/08/01@14:16:04,264,2.60025,22144.366666666665
2026/08/01@14:16:05,265,2.595375,22147.733333333334
2026/08/01@14:16:07,267,2.5900002,22154.466666666667
2026/08/01@14:16:08,268,2.5975,22157.833333333332
2026/08/01@14:16:09,269,2.5843752,22161.2
2026/08/01@14:16:10,270,2.5986252,22164.566666666666
2026/08/01@14:16:11,271,2.601875,22167.933333333334
2026/08/01@14:16:12,272,2.6035002,22171.3
2026/08/01@14:16:13,273,2.604125,22174.666666666668
2026/08/01@14:16:14,274,2.610125,22178.033333333333
2026/08/01@14:16:15,275,2.614875,22181.4
2026/08/01@14:16:16,276,2.6128752,22184.766666666666
2026/08/01@14:16:17,277,2.6130002,22188.133333333335
2026/08/01@14:16:19,279,2.60675,22194.866666666665
2026/08/01@14:16:20,280,2.59625,22198.233333333334
2026/08/01@14:16:21,281,2.594,22201.6
2026/08/01@14:16:22,282,2.6030002,22204.966666666667
2026/08/01@14:16:23,283,2.601375,22208.333333333332
2026/08/01@14:16:24,284,2.6047502,22211.7
2026/08/01@14:16:25,285,2.599375,22215.066666666666
2026/08/01@14:16:26,286,2.600625,22218.433333333334
2026/08/01@14:16:27,287,2.6060002,22221.8
2026/08/01@14:16:28,288,2.6055002,22225.166666666668
2026/08/01@14:16:29,289,2.5981252,22228.533333333333
2026/08/01@14:16:31,291,2.6051252,22235.266666666666
2026/08/01@14:16:32,292,2.6033752,22238.633333333335
2026/08/01@14:16:33,293,2.6007502,22242.0
2026/08/01@14:16:34,294,2.5917502,22245.483870967742
2026/08/01@14:16:35,295,2.6091252,22248.967741935485
2026/08/01@14:16:36,296,2.6185002,22252.451612903227
2026/08/01@14:16:37,297,2.6085002,22255.935483870966
2026/08/01@14:16:38,298,2.6272502,22259.41935483871
2026/08/01@14:16:39,299,2.637,22262.90322580645
2026/08/01@14:16:40,300,2.639125,22266.387096774193
2026/08/01@14:16:41,301,2.62175,22269.870967741936
2026/08/01@14:16:43,303,2.6173752,22276.83870967742
2026/08/01@14:16:44,304,2.598875,22280.322580645163
2026/08/01@14:16:45,305,2.60975,22283.8064516129
2026/08/01@14:16:46,306,2.5905,22287.290322580644
2026/08/01@14:16:47,307,2.5878752,22290.774193548386
2026/08/01@14:16:48,308,2.5963752,22294.25806451613
2026/08/01@14:16:49,309,2.5972502,22297.74193548387
2026/08/01@14:16:50,310,2.59275,22301.225806451614
2026/08/01@14:16:51,311,2.5977502,22304.709677419356
2026/08/01@14:16:52,312,2.598375,22308.1935483871
2026/08/01@14:16:53,313,2.5926252,22311.677419354837
2026/08/01@14:16:55,315,2.5860002,22318.645161290322
2026/08/01@14:16:56,316,2.594875,22322.129032258064
2026/08/01@14:16:57,317,2.6028752,22325.612903225807
2026/08/01@14:16:58,318,2.603125,22329.09677419355
2026/08/01@14:16:59,319,2.603125,22332.58064516129
2026/08/01@14:17:00,320,2.6008752,22336.064516129034
2026/08/01@14:17:01,321,2.592375,22339.548387096773
2026/08/01@14:17:02,322,2.595875,22343.032258064515
2026/08/01@14:17:03,323,2.5985,22346.516129032258
2026/08/01@14:17:04,324,2.5935002,22350.0
2026/08/01@14:17:05,325,2.603625,22353.733333333334
2026/08/01@14:17:07,327,2.6093752,22361.2
2026/08/01@14:17:08,328,2.6015,22364.933333333334
2026/08/01@14:17:09,329,2.5998752,22368.666666666668
2026/08/01@14:17:10,330,2.604875,22372.4
2026/08/01@14:17:11,331,2.6021252,22376.133333333335
2026/08/01@14:17:12,332,2.60275,22379.866666666665
2026/08/01@14:17:13,333,2.6047502,22383.6
2026/08/01@14:17:14,334,2.606125,22387.333333333332
2026/08/01@14:17:15,335,2.6045,22391.066666666666
2026/08/01@14:17:16,336,2.607,22394.8
2026/08/01@14:17:17,337,2.604875,22398.533333333333
2026/08/01@14:17:19,339,2.6026252,22406.0
2026/08/01@14:17:20,340,2.604125,22409.733333333334
2026/08/01@14:17:21,341,2.6037502,22413.466666666667
2026/08/01@14:17:22,342,2.6026252,22417.2
2026/08/01@14:17:23,343,2.6228752,22420.933333333334
2026/08/01@14:17:24,344,2.6121252,22424.666666666668
2026/08/01@14:17:25,345,2.6107502,22428.4
2026/08/01@14:17:26,346,2.6098752,22432.133333333335
2026/08/01@14:17:27,347,2.6090002,22435.866666666665
2026/08/01@14:17:28,348,2.6072502,22439.6
2026/08/01@14:17:29,349,2.608375,22443.333333333332
2026/08/01@14:17:31,351,2.6108752,22450.8
2026/08/01@14:17:32,352,2.613625,22454.533333333333
2026/08/01@14:17:33,353,2.642625,22458.266666666666
2026/08/01@14:17:34,354,2.6221252,22462.0
2026/08/01@14:17:35,355,2.6145,22465.41935483871
2026/08/01@14:17:36,356,2.6203752,22468.83870967742
2026/08/01@14:17:37,357,2.6220002,22472.25806451613
2026/08/01@14:17:38,358,2.618875,22475.677419354837
2026/08/01@14:17:39,359,2.6202502,22479.09677419355
2026/08/01@14:17:40,360,2.621,22482.516129032258
2026/08/01@14:17:41,361,2.621375,22485.935483870966
2026/08/01@14:17:43,363,2.6233752,22492.774193548386
2026/08/01@14:17:44,364,2.635375,22496.1935483871
2026/08/01@14:17:45,365,2.6428752,22499.612903225807
2026/08/01@14:17:46,366,2.651375,22503.032258064515
2026/08/01@14:17:47,367,2.655625,22506.451612903227
2026/08/01@14:17:48,368,2.6068752,22509.870967741936
2026/08/01@14:17:49,369,2.5998752,22513.290322580644
2026/08/01@14:17:50,370,2.5851252,22516.709677419356
2026/08/01@14:17:51,371,2.58925,22520.129032258064
2026/08/01@14:17:52,372,2.6105,22523.548387096773
2026/08/01@14:17:53,373,2.5900002,22526.967741935485
2026/08/01@14:17:55,375,2.597875,22533.8064516129
2026/08/01@14:17:56,376,2.609625,22537.225806451614
2026/08/01@14:17:57,377,2.611,22540.645161290322
2026/08/01@14:17:58,378,2.6117502,22544.064516129034
2026/08/01@14:17:59,379,2.594125,22547.483870967742
2026/08/01@14:18:00,380,2.559375,22550.90322580645
2026/08/01@14:18:01,381,2.588,22554.322580645163
2026/08/01@14:18:02,382,2.59625,22557.74193548387
2026/08/01@14:18:03,383,2.6273752,22561.16129032258
2026/08/01@14:18:04,384,2.6376252,22564.58064516129
2026/08/01@14:18:05,385,2.687875,22568.0
2026/08/01@14:18:07,387,2.69775,22574.387096774193
2026/08/01@14:18:08,388,2.69475,22577.58064516129
2026/08/01@14:18:09,389,2.7150002,22580.774193548386
2026/08/01@14:18:10,390,2.6857502,22583.967741935485
2026/08/01@14:18:11,391,2.6837502,22587.16129032258
2026/08/01@14:18:12,392,2.6815002,22590.354838709678
2026/08/01@14:18:13,393,2.7297502,22593.548387096773
2026/08/01@14:18:14,394,2.7243752,22596.74193548387
2026/08/01@14:18:15,395,2.7131252,22599.935483870966
2026/08/01@14:18:16,396,2.645375,22603.129032258064
2026/08/01@14:18:17,397,2.673125,22606.322580645163
2026/08/01@14:18:19,399,2.7187502,22612.709677419356
2026/08/01@14:18:20,400,2.7150002,22615.90322580645
2026/08/01@14:18:21,401,2.719875,22619.09677419355
2026/08/01@14:18:22,402,2.7213752,22622.290322580644
2026/08/01@14:18:23,403,2.765125,22625.483870967742
2026/08/01@14:18:24,404,2.7812502,22628.677419354837
2026/08/01@14:18:25,405,2.7810002,22631.870967741936
2026/08/01@14:18:26,406,2.747375,22635.064516129034
2026/08/01@14:18:27,407,2.7801252,22638.25806451613
2026/08/01@14:18:28,408,2.762125,22641.451612903227
2026/08/01@14:18:29,409,2.72375,22644.645161290322
2026/08/01@14:18:31,411,2.7035,22651.032258064515
2026/08/01@14:18:32,412,2.7023752,22654.225806451614
2026/08/01@14:18:33,413,2.702125,22657.41935483871
2026/08/01@14:18:34,414,2.690875,22660.612903225807
2026/08/01@14:18:35,415,2.699625,22663.8064516129
2026/08/01@14:18:36,416,2.6953752,22667.0
2026/08/01@14:18:37,417,2.6981252,22670.466666666667
2026/08/01@14:18:38,418,2.6993752,22673.933333333334
2026/08/01@14:18:39,419,2.6925,22677.4
2026/08/01@14:18:40,420,2.697375,22680.866666666665
2026/08/01@14:18:41,421,2.696875,22684.333333333332
2026/08/01@14:18:43,423,2.697,22691.266666666666
2026/08/01@14:18:44,424,2.695125,22694.733333333334
2026/08/01@14:18:45,425,2.6927502,22698.2
2026/08/01@14:18:46,426,2.69425,22701.666666666668
2026/08/01@14:18:47,427,2.692625,22705.133333333335
2026/08/01@14:18:48,428,2.6885002,22708.6
2026/08/01@14:18:49,429,2.68875,22712.066666666666
2026/08/01@14:18:50,430,2.691375,22715.533333333333
2026/08/01@14:18:51,431,2.6697502,22719.0
2026/08/01@14:18:52,432,2.6883752,22722.466666666667
2026/08/01@14:18:53,433,2.6935,22725.933333333334
2026/08/01@14:18:55,434,2.6416252,22732.866666666665
2026/08/01@14:18:56,436,2.6927502,22736.333333333332
2026/08/01@14:18:57,437,2.694375,22739.8
2026/08/01@14:18:58,438,2.68,22743.266666666666
2026/08/01@14:18:59,439,2.682625,22746.733333333334
2026/08/01@14:19:00,440,2.6758752,22750.2
2026/08/01@14:19:01,441,2.663,22753.666666666668
2026/08/01@14:19:02,442,2.679625,22757.133333333335
2026/08/01@14:19:03,443,2.6565,22760.6
2026/08/01@14:19:04,444,2.67875,22764.066666666666
2026/08/01@14:19:05,445,2.7027502,22767.533333333333
2026/08/01@14:19:06,446,2.7046252,22771.0
2026/08/01@14:19:08,448,2.6797502,22777.451612903227
2026/08/01@14:19:09,449,2.6545,22780.677419354837
2026/08/01@14:19:10,450,2.6475,22783.90322580645
2026/08/01@14:19:11,451,2.662625,22787.129032258064
2026/08/01@14:19:12,452,2.7035,22790.354838709678
2026/08/01@14:19:13,453,2.70775,22793.58064516129
2026/08/01@14:19:14,454,2.705125,22796.8064516129
2026/08/01@14:19:15,455,2.683,22800.032258064515
2026/08/01@14:19:16,456,2.6393752,22803.25806451613
2026/08/01@14:19:17,457,2.6520002,22806.483870967742
2026/08/01@14:19:18,458,2.6788752,22809.709677419356
2026/08/01@14:19:20,460,2.691375,22816.16129032258
2026/08/01@14:19:21,461,2.690375,22819.387096774193
2026/08/01@14:19:22,462,2.6898752,22822.612903225807
2026/08/01@14:19:23,463,2.6948752,22825.83870967742
2026/08/01@14:19:24,464,2.7013752,22829.064516129034
2026/08/01@14:19:25,465,2.6872502,22832.290322580644
2026/08/01@14:19:26,466,2.6928752,22835.516129032258
2026/08/01@14:19:27,467,2.6871252,22838.74193548387
2026/08/01@14:19:28,468,2.6836252,22841.967741935485
2026/08/01@14:19:29,469,2.6668752,22845.1935483871
2026/08/01@14:19:30,470,2.6660002,22848.41935483871
2026/08/01@14:19:32,472,2.6421252,22854.870967741936
2026/08/01@14:19:33,473,2.631875,22858.09677419355
2026/08/01@14:19:34,474,2.62975,22861.322580645163
2026/08/01@14:19:35,475,2.676875,22864.548387096773
2026/08/01@14:19:36,476,2.6825002,22867.774193548386
2026/08/01@14:19:37,477,2.6875002,22871.0
2026/08/01@14:19:38,478,2.6918752,22874.266666666666
2026/08/01@14:19:39,479,2.695125,22877.533333333333
2026/08/01@14:19:40,480,2.6953752,22880.8
2026/08/01@14:19:41,481,2.6945002,22884.066666666666
2026/08/01@14:19:42,482,2.693375,22887.333333333332
2026/08/01@14:19:44,484,2.6615002,22893.866666666665
2026/08/01@14:19:45,485,2.6677502,22897.133333333335
2026/08/01@14:19:46,486,2.6512502,22900.4
2026/08/01@14:19:47,487,2.6428752,22903.666666666668
2026/08/01@14:19:48,488,2.652625,22906.933333333334
2026/08/01@14:19:49,489,2.626125,22910.2
2026/08/01@14:19:50,490,2.6441252,22913.466666666667
2026/08/01@14:19:51,491,2.6927502,22916.733333333334
2026/08/01@14:19:52,492,2.6810002,22920.0
2026/08/01@14:19:53,493,2.6902502,22923.266666666666
2026/08/01@14:19:54,494,2.6902502,22926.533333333333
2026/08/01@14:19:56,496,2.6892502,22933.066666666666
2026/08/01@14:19:57,497,2.6905,22936.333333333332
2026/08/01@14:19:58,498,2.690875,22939.6
2026/08/01@14:19:59,499,2.69125,22942.866666666665
2026/08/01@14:20:00,500,2.6915002,22946.133333333335
2026/08/01@14:20:01,501,2.693375,22949.4
2026/08/01@14:20:02,502,2.6953752,22952.666666666668
2026/08/01@14:20:03,503,2.6907502,22955.933333333334
2026/08/01@14:20:04,504,2.6398752,22959.2
2026/08/01@14:20:05,505,2.6567502,22962.466666666667
2026/08/01@14:20:06,506,2.702125,22965.733333333334
2026/08/01@14:20:08,508,2.6828752,22972.25806451613
2026/08/01@14:20:09,509,2.684,22975.516129032258
2026/08/01@14:20:10,510,2.6711252,22978.774193548386
2026/08/01@14:20:11,511,2.669625,22982.032258064515
2026/08/01@14:20:12,512,2.680875,22985.290322580644
2026/08/01@14:20:13,513,2.6798752,22988.548387096773
2026/08/01@14:20:14,514,2.6907502,22991.8064516129
2026/08/01@14:20:15,515,2.6853752,22995.064516129034
2026/08/01@14:20:16,516,2.6865,22998.322580645163
2026/08/01@14:20:17,517,2.6950002,23001.58064516129
2026/08/01@14:20:18,518,2.6562502,23004.83870967742
2026/08/01@14:20:20,520,2.7553752,23011.354838709678
2026/08/01@14:20:21,521,2.7903752,23014.612903225807
2026/08/01@14:20:22,522,2.7861252,23017.870967741936
2026/08/01@14:20:23,523,2.7083752,23021.129032258064
2026/08/01@14:20:24,524,2.710875,23024.387096774193
2026/08/01@14:20:25,525,2.785,23027.645161290322
2026/08/01@14:20:26,526,2.713,23030.90322580645
2026/08/01@14:20:27,527,2.779,23034.16129032258
2026/08/01@14:20:28,528,2.7883752,23037.41935483871
2026/08/01@14:20:29,529,2.6893752,23040.677419354837
2026/08/01@14:20:30,530,2.7083752,23043.935483870966
2026/08/01@14:20:32,532,2.70425,23050.451612903227
2026/08/01@14:20:33,533,2.7023752,23053.709677419356
2026/08/01@14:20:34,534,2.7025,23056.967741935485
2026/08/01@14:20:35,535,2.769875,23060.225806451614
2026/08/01@14:20:36,536,2.6980002,23063.483870967742
2026/08/01@14:20:37,537,2.7410002,23066.74193548387
2026/08/01@14:20:38,538,2.7531252,23070.0
2026/08/01@14:20:39,539,2.7283752,23073.1935483871
2026/08/01@14:20:40,540,2.7213752,23076.387096774193
2026/08/01@14:20:41,541,2.73,23079.58064516129
2026/08/01@14:20:42,542,2.737375,23082.774193548386
2026/08/01@14:20:44,544,2.7508752,23089.16129032258
2026/08/01@14:20:45,545,2.772,23092.354838709678
2026/08/01@14:20:46,546,2.7625,23095.548387096773
2026/08/01@14:20:47,547,2.705625,23098.74193548387
2026/08/01@14:20:48,548,2.7727502,23101.935483870966
2026/08/01@14:20:49,549,2.6880002,23105.129032258064
2026/08/01@14:20:50,550,2.6758752,23108.322580645163
2026/08/01@14:20:51,551,2.7762502,23111.516129032258
