datetime,elapsed_s,pressure_hpa,Elevation_m
2026/04/02@12:31:01,28231,968.67304,621.6666666666666
2026/04/02@12:31:03,28233,968.66184,629.0
2026/04/02@12:31:04,28234,968.6447,633.1935483870968
2026/04/02@12:31:05,28235,968.6372,637.3870967741935
2026/04/02@12:31:06,28236,968.6088,641.5806451612904
2026/04/02@12:31:07,28237,968.65576,645.7741935483871
2026/04/02@12:31:08,28238,968.6211,649.9677419354839
2026/04/02@12:31:09,28239,968.6322,654.1612903225806
2026/04/02@12:31:10,28240,968.63984,658.3548387096774
2026/04/02@12:31:11,28241,968.6594,662.5483870967741
2026/04/02@12:31:12,28242,968.6286,666.741935483871
2026/04/02@12:31:13,28243,968.651,670.9354838709678
2026/04/02@12:31:14,28244,968.62728,675.1290322580645
2026/04/02@12:31:16,28246,968.650736,683.516129032258
2026/04/02@12:31:17,28247,968.62976,687.7096774193549
2026/04/02@12:31:18,28248,968.6693,691.9032258064516
2026/04/02@12:31:19,28249,968.6311,696.0967741935484
2026/04/02@12:31:20,28250,968.6421,700.2903225806451
2026/04/02@12:31:21,28251,968.613664,704.483870967742
2026/04/02@12:31:22,28252,968.6286,708.6774193548387
2026/04/02@12:31:23,28253,968.642,712.8709677419355
2026/04/02@12:31:24,28254,968.6188,717.0645161290322
2026/04/02@12:31:25,28255,968.650736,721.258064516129
2026/04/02@12:31:26,28256,968.64952,725.4516129032259
2026/04/02@12:31:27,28257,968.615,729.6451612903226
2026/04/02@12:31:29,28259,968.6471,738.0322580645161
2026/04/02@12:31:30,28260,968.6359,742.2258064516129
2026/04/02@12:31:31,28261,968.6334,746.4193548387096
2026/04/02@12:31:32,28262,968.6211,750.6129032258065
2026/04/02@12:31:33,28263,968.6507,754.8064516129032
2026/04/02@12:31:34,28264,968.6669,759.0
2026/04/02@12:31:35,28265,968.6669,763.0333333333333
2026/04/02@12:31:36,28266,968.65592,767.0666666666667
2026/04/02@12:31:37,28267,968.6336,771.1
2026/04/02@12:31:38,28268,968.612336,775.1333333333333
2026/04/02@12:31:39,28269,968.67668,779.1666666666666
2026/04/02@12:31:40,28270,968.6557,783.2
2026/04/02@12:31:42,28272,968.6422,791.2666666666667
2026/04/02@12:31:43,28273,968.6607,795.3
2026/04/02@12:31:44,28274,968.636,799.3333333333334
2026/04/02@12:31:45,28275,968.6298,803.3666666666667
2026/04/02@12:31:46,28276,968.62868,807.4
2026/04/02@12:31:47,28277,968.6496,811.4333333333333
2026/04/02@12:31:48,28278,968.678032,815.4666666666667
2026/04/02@12:31:49,28279,968.6447,819.5
2026/04/02@12:31:50,28280,968.6459,823.5333333333333
2026/04/02@12:31:51,28281,968.64576,827.5666666666666
2026/04/02@12:31:52,28282,968.63837,831.6
2026/04/02@12:31:53,28283,968.65452,835.6333333333333
2026/04/02@12:31:55,28285,968.6063,843.7
2026/04/02@12:31:56,28286,968.6744,847.7333333333333
2026/04/02@12:31:57,28287,968.64088,851.7666666666667
2026/04/02@12:31:58,28288,968.665664,855.8
2026/04/02@12:31:59,28289,968.657,859.8333333333334
2026/04/02@12:32:00,28290,968.6238,863.8666666666667
2026/04/02@12:32:01,28291,968.64708,867.9
2026/04/02@12:32:02,28292,968.61616,871.9333333333334
2026/04/02@12:32:03,28293,968.655632,875.9666666666667
2026/04/02@12:32:04,28294,968.65316,880.0
2026/04/02@12:32:05,28295,968.6459,884.0
2026/04/02@12:32:06,28296,968.63108,888.0
2026/04/02@12:32:08,28298,968.65348,896.0
2026/04/02@12:32:09,28299,968.636,900.0
2026/04/02@12:32:10,28300,968.6471,904.0
2026/04/02@12:32:11,28301,968.6298,908.0
2026/04/02@12:32:12,28302,968.65952,912.0
2026/04/02@12:32:13,28303,968.65348,916.0
2026/04/02@12:32:14,28304,968.657,920.0
2026/04/02@12:32:15,28305,968.6238,924.0
2026/04/02@12:32:16,28306,968.6471,928.0
2026/04/02@12:32:17,28307,968.6534,932.0
2026/04/02@12:32:18,28308,968.6704,936.0
2026/04/02@12:32:19,28309,968.66184,940.0
2026/04/02@12:32:21,28311,968.6793,948.0
2026/04/02@12:32:22,28312,968.657,952.0
2026/04/02@12:32:23,28313,968.63084,956.0
2026/04/02@12:32:24,28314,968.6433,960.0
2026/04/02@12:32:25,28315,968.6532,964.0
2026/04/02@12:32:26,28316,968.663,968.0
2026/04/02@12:32:27,28317,968.6496,972.0
2026/04/02@12:32:28,28318,968.63084,976.0
2026/04/02@12:32:29,28319,968.6781,980.0
2026/04/02@12:32:30,28320,968.6717,984.0
2026/04/02@12:32:31,28321,968.6496,988.0
2026/04/02@12:32:32,28322,968.6496,992.0
2026/04/02@12:32:34,28324,968.6336,1000.0
2026/04/02@12:32:35,28325,968.6704,1004.0
2026/04/02@12:32:36,28326,968.6753,1007.6451612903226
2026/04/02@12:32:37,28327,968.6766,1011.2903225806451
2026/04/02@12:32:38,28328,968.6779,1014.9354838709677
2026/04/02@12:32:39,28329,968.6605,1018.5806451612904
2026/04/02@12:32:40,28330,968.637,1022.2258064516129
2026/04/02@12:32:41,28331,968.657,1025.8709677419354
2026/04/02@12:32:42,28332,968.6496,1029.516129032258
2026/04/02@12:32:43,28333,968.6753,1033.1612903225807
2026/04/02@12:32:44,28334,968.6655,1036.8064516129032
2026/04/02@12:32:45,28335,968.6507,1040.4516129032259
2026/04/02@12:32:46,28336,968.647,1044.0967741935483
2026/04/02@12:32:48,28338,968.6605,1051.3870967741937
2026/04/02@12:32:49,28339,968.6433,1055.032258064516
2026/04/02@12:32:50,28340,968.6717,1058.6774193548388
2026/04/02@12:32:51,28341,968.664368,1062.3225806451612
2026/04/02@12:32:52,28342,968.6753,1065.967741935484
2026/04/02@12:32:53,28343,968.68916,1069.6129032258063
2026/04/02@12:32:54,28344,968.652,1073.258064516129
2026/04/02@12:32:55,28345,968.6778,1076.9032258064517
2026/04/02@12:32:56,28346,968.6407,1080.5483870967741
2026/04/02@12:32:57,28347,968.6717,1084.1935483870968
2026/04/02@12:32:58,28348,968.6568,1087.8387096774193
2026/04/02@12:32:59,28349,968.67416,1091.483870967742
2026/04/02@12:33:01,28351,968.6643,1098.774193548387
2026/04/02@12:33:02,28352,968.6779,1102.4193548387098
2026/04/02@12:33:03,28353,968.673,1106.0645161290322
2026/04/02@12:33:04,28354,968.6395,1109.7096774193549
2026/04/02@12:33:05,28355,968.667968,1113.3548387096773
2026/04/02@12:33:06,28356,968.6891,1117.0
2026/04/02@12:33:07,28357,968.6653,1120.3666666666666
2026/04/02@12:33:08,28358,968.6396,1123.7333333333333
2026/04/02@12:33:09,28359,968.663,1127.1
2026/04/02@12:33:10,28360,968.69272,1130.4666666666667
2026/04/02@12:33:11,28361,968.6753,1133.8333333333333
2026/04/02@12:33:12,28362,968.68268,1137.2
2026/04/02@12:33:14,28364,968.7125,1143.9333333333334
2026/04/02@12:33:15,28365,968.6653,1147.3
2026/04/02@12:33:16,28366,968.6532,1150.6666666666667
2026/04/02@12:33:17,28367,968.6765,1154.0333333333333
2026/04/02@12:33:18,28368,968.6652,1157.4
2026/04/02@12:33:19,28369,968.69,1160.7666666666667
2026/04/02@12:33:20,28370,968.6616,1164.1333333333334
2026/04/02@12:33:21,28371,968.64824,1167.5
2026/04/02@12:33:22,28372,968.6529,1170.8666666666666
2026/04/02@12:33:23,28373,968.69132,1174.2333333333333
2026/04/02@12:33:24,28374,968.683968,1177.6
2026/04/02@12:33:25,28375,968.66296,1180.9666666666667
2026/04/02@12:33:27,28377,968.7112,1187.7
2026/04/02@12:33:28,28378,968.6545,1191.0666666666666
2026/04/02@12:33:29,28379,968.677568,1194.4333333333334
2026/04/02@12:33:30,28380,968.6568,1197.8
2026/04/02@12:33:31,28381,968.67016,1201.1666666666667
2026/04/02@12:33:32,28382,968.669,1204.5333333333333
2026/04/02@12:33:33,28383,968.6926,1207.9
2026/04/02@12:33:34,28384,968.67268,1211.2666666666667
2026/04/02@12:33:35,28385,968.64184,1214.6333333333334
2026/04/02@12:33:36,28386,968.66768,1218.0
2026/04/02@12:33:37,28387,968.692432,1222.0
2026/04/02@12:33:39,28389,968.69496,1230.0
2026/04/02@12:33:40,28390,968.69632,1234.0
2026/04/02@12:33:41,28391,968.6962,1238.0
2026/04/02@12:33:42,28392,968.677568,1242.0
2026/04/02@12:33:43,28393,968.69496,1246.0
2026/04/02@12:33:44,28394,968.6752,1250.0
2026/04/02@12:33:45,28395,968.6816,1254.0
2026/04/02@12:33:46,28396,968.67268,1258.0
2026/04/02@12:33:47,28397,968.68992,1262.0
2026/04/02@12:33:48,28398,968.68252,1266.0
2026/04/02@12:33:49,28399,968.65784,1270.0
2026/04/02@12:33:50,28400,968.69132,1274.0
2026/04/02@12:33:52,28402,968.7049,1282.0
2026/04/02@12:33:53,28403,968.6802,1286.0
2026/04/02@12:33:54,28404,968.68744,1290.0
2026/04/02@12:33:55,28405,968.6989,1294.0
2026/04/02@12:33:56,28406,968.65316,1298.0
2026/04/02@12:33:57,28407,968.675,1302.0
2026/04/02@12:33:58,28408,968.6788,1306.0
2026/04/02@12:33:59,28409,968.6739,1310.0
2026/04/02@12:34:00,28410,968.68136,1314.0
2026/04/02@12:34:01,28411,968.6293,1318.0
2026/04/02@12:34:02,28412,968.7134,1322.0
2026/04/02@12:34:03,28413,968.6898,1326.0
2026/04/02@12:34:04,28414,968.6715,1330.0
2026/04/02@12:34:06,28416,968.6516,1338.0
2026/04/02@12:34:07,28417,968.6765,1342.0
2026/04/02@12:34:08,28418,968.6689,1345.9
2026/04/02@12:34:09,28419,968.6788,1349.8
2026/04/02@12:34:10,28420,968.6565,1353.7
2026/04/02@12:34:11,28421,968.6864,1357.6
2026/04/02@12:34:12,28422,968.6765,1361.5
2026/04/02@12:34:13,28423,968.6976,1365.4
2026/04/02@12:34:14,28424,968.6541,1369.3
2026/04/02@12:34:15,28425,968.6677,1373.2
2026/04/02@12:34:16,28426,968.6689,1377.1
2026/04/02@12:34:17,28427,968.66032,1381.0
2026/04/02@12:34:19,28429,968.6778,1388.8
2026/04/02@12:34:20,28430,968.665136,1392.7
2026/04/02@12:34:21,28431,968.6973,1396.6
2026/04/02@12:34:22,28432,968.682432,1400.5
2026/04/02@12:34:23,28433,968.6788,1404.4
2026/04/02@12:34:24,28434,968.7023,1408.3
2026/04/02@12:34:25,28435,968.6638,1412.2
2026/04/02@12:34:26,28436,968.6825,1416.1
2026/04/02@12:34:27,28437,968.7047,1420.0
2026/04/02@12:34:28,28438,968.665136,1423.9
2026/04/02@12:34:29,28439,968.65408,1427.8
2026/04/02@12:34:30,28440,968.67,1431.7
2026/04/02@12:34:32,28442,968.6615,1439.5
2026/04/02@12:34:33,28443,968.6368,1443.4
2026/04/02@12:34:34,28444,968.67016,1447.3
2026/04/02@12:34:35,28445,968.71952,1451.2
2026/04/02@12:34:36,28446,968.682432,1455.1
2026/04/02@12:34:37,28447,968.67,1459.0
2026/04/02@12:34:38,28448,968.6813,1462.8709677419354
2026/04/02@12:34:39,28449,968.6503,1466.741935483871
2026/04/02@12:34:40,28450,968.6651,1470.6129032258063
2026/04/02@12:34:41,28451,968.69732,1474.483870967742
2026/04/02@12:34:42,28452,968.71592,1478.3548387096773
2026/04/02@12:34:43,28453,968.65532,1482.225806451613
2026/04/02@12:34:45,28455,968.6813,1489.967741935484
2026/04/02@12:34:46,28456,968.6664,1493.8387096774193
2026/04/02@12:34:47,28457,968.7048,1497.7096774193549
2026/04/02@12:34:48,28458,968.675,1501.5806451612902
2026/04/02@12:34:49,28459,968.65672,1505.4516129032259
2026/04/02@12:34:50,28460,968.6665,1509.3225806451612
2026/04/02@12:34:51,28461,968.7023,1513.1935483870968
2026/04/02@12:34:52,28462,968.65152,1517.0645161290322
2026/04/02@12:34:53,28463,968.65152,1520.9354838709678
2026/04/02@12:34:54,28464,968.6848,1524.8064516129032
2026/04/02@12:34:55,28465,968.7294,1528.6774193548388
2026/04/02@12:34:56,28466,968.6629,1532.5483870967741
2026/04/02@12:34:58,28468,968.69748,1540.2903225806451
2026/04/02@12:34:59,28469,968.673664,1544.1612903225807
2026/04/02@12:35:00,28470,968.68492,1548.032258064516
2026/04/02@12:35:01,28471,968.68332,1551.9032258064517
2026/04/02@12:35:02,28472,968.67632,1555.774193548387
2026/04/02@12:35:03,28473,968.6848,1559.6451612903227
2026/04/02@12:35:04,28474,968.669,1563.516129032258
2026/04/02@12:35:05,28475,968.6306,1567.3870967741937
2026/04/02@12:35:06,28476,968.67776,1571.258064516129
2026/04/02@12:35:07,28477,968.691136,1575.1290322580644
2026/04/02@12:35:08,28478,968.685,1579.0
2026/04/02@12:35:09,28479,968.6551,1583.0333333333333
2026/04/02@12:35:11,28481,968.675,1591.1
2026/04/02@12:35:12,28482,968.68136,1595.1333333333334
2026/04/02@12:35:13,28483,968.6886,1599.1666666666667
2026/04/02@12:35:14,28484,968.69368,1603.2
2026/04/02@12:35:15,28485,968.67508,1607.2333333333333
2026/04/02@12:35:16,28486,968.6861,1611.2666666666667
2026/04/02@12:35:17,28487,968.6652,1615.3
2026/04/02@12:35:18,28488,968.69352,1619.3333333333333
2026/04/02@12:35:19,28489,968.6786,1623.3666666666666
2026/04/02@12:35:20,28490,968.6875,1627.4
2026/04/02@12:35:21,28491,968.69256,1631.4333333333334
2026/04/02@12:35:22,28492,968.70232,1635.4666666666667
2026/04/02@12:35:24,28494,968.6602,1643.5333333333333
2026/04/02@12:35:25,28495,968.656464,1647.5666666666666
2026/04/02@12:35:26,28496,968.685,1651.6
2026/04/02@12:35:27,28497,968.6824,1655.6333333333332
2026/04/02@12:35:28,28498,968.68,1659.6666666666667
2026/04/02@12:35:29,28499,968.6925,1663.7
2026/04/02@12:35:30,28500,968.6614,1667.7333333333333
2026/04/02@12:35:31,28501,968.65896,1671.7666666666667
2026/04/02@12:35:32,28502,968.6813,1675.8
2026/04/02@12:35:33,28503,968.6813,1679.8333333333333
2026/04/02@12:35:34,28504,968.656464,1683.8666666666666
2026/04/02@12:35:35,28505,968.6984,1687.9
2026/04/02@12:35:37,28507,968.677568,1695.9666666666667
2026/04/02@12:35:38,28508,968.675,1700.0
2026/04/02@12:35:39,28509,968.6689,1704.7096774193549
2026/04/02@12:35:40,28510,968.665,1709.4193548387098
2026/04/02@12:35:41,28511,968.67736,1714.1290322580646
2026/04/02@12:35:42,28512,968.659,1718.8387096774193
2026/04/02@12:35:43,28513,968.6626,1723.5483870967741
2026/04/02@12:35:44,28514,968.6984,1728.258064516129
2026/04/02@12:35:45,28515,968.6727,1732.967741935484
2026/04/02@12:35:46,28516,968.677568,1737.6774193548388
2026/04/02@12:35:47,28517,968.655168,1742.3870967741937
2026/04/02@12:35:48,28518,968.6563,1747.0967741935483
2026/04/02@12:35:50,28520,968.68616,1756.516129032258
2026/04/02@12:35:51,28521,968.69224,1761.225806451613
2026/04/02@12:35:52,28522,968.6664,1765.9354838709678
2026/04/02@12:35:53,28523,968.6763,1770.6451612903227
2026/04/02@12:35:54,28524,968.67616,1775.3548387096773
2026/04/02@12:35:55,28525,968.6971,1780.0645161290322
2026/04/02@12:35:56,28526,968.6514,1784.774193548387
2026/04/02@12:35:57,28527,968.6861,1789.483870967742
2026/04/02@12:35:58,28528,968.67864,1794.1935483870968
2026/04/02@12:35:59,28529,968.6911,1798.9032258064517
2026/04/02@12:36:00,28530,968.6736,1803.6129032258063
2026/04/02@12:36:01,28531,968.71932,1808.3225806451612
2026/04/02@12:36:03,28533,968.6727,1817.741935483871
2026/04/02@12:36:04,28534,968.67976,1822.4516129032259
2026/04/02@12:36:05,28535,968.6464,1827.1612903225807
2026/04/02@12:36:06,28536,968.6897,1831.8709677419356
2026/04/02@12:36:07,28537,968.67112,1836.5806451612902
2026/04/02@12:36:08,28538,968.6476,1841.2903225806451
2026/04/02@12:36:09,28539,968.681136,1846.0
2026/04/02@12:36:10,28540,968.69216,1850.5806451612902
2026/04/02@12:36:11,28541,968.68976,1855.1612903225807
2026/04/02@12:36:12,28542,968.6822,1859.741935483871
2026/04/02@12:36:13,28543,968.6799,1864.3225806451612
2026/04/02@12:36:14,28544,968.6848,1868.9032258064517
2026/04/02@12:36:16,28546,968.69224,1878.0645161290322
2026/04/02@12:36:17,28547,968.6834,1882.6451612903227
2026/04/02@12:36:18,28548,968.6897,1887.225806451613
2026/04/02@12:36:19,28549,968.6699,1891.8064516129032
2026/04/02@12:36:20,28550,968.6996,1896.3870967741937
2026/04/02@12:36:21,28551,968.68712,1900.967741935484
2026/04/02@12:36:22,28552,968.71688,1905.5483870967741
2026/04/02@12:36:23,28553,968.6909,1910.1290322580646
2026/04/02@12:36:24,28554,968.6414,1914.7096774193549
2026/04/02@12:36:25,28555,968.7008,1919.2903225806451
2026/04/02@12:36:26,28556,968.68368,1923.8709677419356
2026/04/02@12:36:27,28557,968.677264,1928.4516129032259
2026/04/02@12:36:29,28559,968.698336,1937.6129032258063
2026/04/02@12:36:30,28560,968.6489,1942.1935483870968
2026/04/02@12:36:31,28561,968.658736,1946.774193548387
2026/04/02@12:36:32,28562,968.6761,1951.3548387096773
2026/04/02@12:36:33,28563,968.6662,1955.9354838709678
2026/04/02@12:36:34,28564,968.6636,1960.516129032258
2026/04/02@12:36:35,28565,968.63776,1965.0967741935483
2026/04/02@12:36:36,28566,968.71292,1969.6774193548388
2026/04/02@12:36:37,28567,968.676,1974.258064516129
2026/04/02@12:36:38,28568,968.692,1978.8387096774193
2026/04/02@12:36:39,28569,968.676,1983.4193548387098
2026/04/02@12:36:40,28570,968.6651,1988.0
2026/04/02@12:36:42,28572,968.647632,1995.8666666666666
2026/04/02@12:36:43,28573,968.6895,1999.8
2026/04/02@12:36:44,28574,968.69216,2003.7333333333333
2026/04/02@12:36:45,28575,968.66732,2007.6666666666667
2026/04/02@12:36:46,28576,968.6883,2011.6
2026/04/02@12:36:47,28577,968.6526,2015.5333333333333
2026/04/02@12:36:48,28578,968.6785,2019.4666666666667
2026/04/02@12:36:49,28579,968.70936,2023.4
2026/04/02@12:36:50,28580,968.7032,2027.3333333333333
2026/04/02@12:36:51,28581,968.64024,2031.2666666666667
2026/04/02@12:36:52,28582,968.705536,2035.2
2026/04/02@12:36:53,28583,968.655,2039.1333333333334
2026/04/02@12:36:55,28584,968.6575,2047.0
2026/04/02@12:36:56,28586,968.67468,2050.9333333333334
2026/04/02@12:36:57,28587,968.6488,2054.866666666667
2026/04/02@12:36:58,28588,968.6587,2058.8
2026/04/02@12:36:59,28589,968.6485,2062.733333333333
2026/04/02@12:37:00,28590,968.662336,2066.6666666666665
2026/04/02@12:37:01,28591,968.6463,2070.6
2026/04/02@12:37:02,28592,968.67348,2074.5333333333333
2026/04/02@12:37:03,28593,968.7143,2078.4666666666667
2026/04/02@12:37:04,28594,968.675936,2082.4
2026/04/02@12:37:05,28595,968.66984,2086.3333333333335
2026/04/02@12:37:06,28596,968.6599,2090.266666666667
2026/04/02@12:37:08,28597,968.68468,2098.133333333333
2026/04/02@12:37:09,28599,968.647632,2102.0666666666666
2026/04/02@12:37:10,28600,968.6648,2106.0
2026/04/02@12:37:11,28601,968.66,2110.064516129032
2026/04/02@12:37:12,28602,968.6932,2114.1290322580644
2026/04/02@12:37:13,28603,968.639,2118.1935483870966
2026/04/02@12:37:14,28604,968.66976,2122.2580645161293
2026/04/02@12:37:15,28605,968.6732,2126.3225806451615
2026/04/02@12:37:16,28606,968.6424,2130.3870967741937
2026/04/02@12:37:17,28607,968.6623,2134.451612903226
2026/04/02@12:37:18,28608,968.6933,2138.516129032258
2026/04/02@12:37:19,28609,968.6721,2142.5806451612902
2026/04/02@12:37:20,28610,968.6747,2146.6451612903224
2026/04/02@12:37:22,28612,968.651264,2154.7741935483873
2026/04/02@12:37:23,28613,968.68712,2158.8387096774195
2026/04/02@12:37:24,28614,968.67208,2162.9032258064517
2026/04/02@12:37:25,28615,968.6512,2166.967741935484
2026/04/02@12:37:26,28616,968.71408,2171.032258064516
2026/04/02@12:37:27,28617,968.6696,2175.0967741935483
2026/04/02@12:37:28,28618,968.70448,2179.1612903225805
2026/04/02@12:37:29,28619,968.64872,2183.2258064516127
2026/04/02@12:37:30,28620,968.6883,2187.2903225806454
2026/04/02@12:37:31,28621,968.64872,2191.3548387096776
2026/04/02@12:37:32,28622,968.677,2195.4193548387098
2026/04/02@12:37:33,28623,968.6424,2199.483870967742
2026/04/02@12:37:35,28625,968.6979,2207.6129032258063
2026/04/02@12:37:36,28626,968.680864,2211.6774193548385
2026/04/02@12:37:37,28627,968.67584,2215.7419354838707
2026/04/02@12:37:38,28628,968.7018,2219.8064516129034
2026/04/02@12:37:39,28629,968.6979,2223.8709677419356
2026/04/02@12:37:40,28630,968.70792,2227.935483870968
2026/04/02@12:37:41,28631,968.67348,2232.0
2026/04/02@12:37:42,28632,968.6908,2236.4666666666667
2026/04/02@12:37:43,28633,968.6833,2240.9333333333334
2026/04/02@12:37:44,28634,968.67584,2245.4
2026/04/02@12:37:45,28635,968.705536,2249.866666666667
2026/04/02@12:37:46,28636,968.6585,2254.3333333333335
2026/04/02@12:37:48,28638,968.68332,2263.266666666667
2026/04/02@12:37:49,28639,968.6907,2267.733333333333
2026/04/02@12:37:50,28640,968.6968,2272.2
2026/04/02@12:37:51,28641,968.6598,2276.6666666666665
2026/04/02@12:37:52,28642,968.645,2281.133333333333
2026/04/02@12:37:53,28643,968.6415,2285.6
2026/04/02@12:37:54,28644,968.7056,2290.0666666666666
2026/04/02@12:37:55,28645,968.6782,2294.5333333333333
2026/04/02@12:37:56,28646,968.6783,2299.0
2026/04/02@12:37:57,28647,968.6671,2303.4666666666667
2026/04/02@12:37:58,28648,968.66832,2307.9333333333334
2026/04/02@12:37:59,28649,968.68712,2312.4
2026/04/02@12:38:01,28651,968.6956,2321.3333333333335
2026/04/02@12:38:02,28652,968.6612,2325.8
2026/04/02@12:38:03,28653,968.6795,2330.266666666667
2026/04/02@12:38:04,28654,968.66832,2334.733333333333
2026/04/02@12:38:05,28655,968.6661,2339.2
2026/04/02@12:38:06,28656,968.6462,2343.6666666666665
2026/04/02@12:38:07,28657,968.7156,2348.133333333333
2026/04/02@12:38:08,28658,968.66132,2352.6
2026/04/02@12:38:09,28659,968.6783,2357.0666666666666
2026/04/02@12:38:10,28660,968.64984,2361.5333333333333
2026/04/02@12:38:11,28661,968.7042,2366.0
2026/04/02@12:38:12,28662,968.6831,2369.0
2026/04/02@12:38:14,28664,968.65968,2375.0
2026/04/02@12:38:15,28665,968.71532,2378.0
2026/04/02@12:38:16,28666,968.6697,2381.0
2026/04/02@12:38:17,28667,968.651,2384.0
2026/04/02@12:38:18,28668,968.6598,2387.0
2026/04/02@12:38:19,28669,968.69416,2390.0
2026/04/02@12:38:20,28670,968.6733,2393.0
2026/04/02@12:38:21,28671,968.68948,2396.0
2026/04/02@12:38:22,28672,968.6894,2399.0
2026/04/02@12:38:23,28673,968.698,2402.0
2026/04/02@12:38:24,28674,968.6931,2405.0
2026/04/02@12:38:25,28675,968.7141,2408.0
2026/04/02@12:38:27,28677,968.70296,2414.0
2026/04/02@12:38:28,28678,968.66205,2417.0
2026/04/02@12:38:29,28679,968.6708,2420.0
2026/04/02@12:38:30,28680,968.6845,2423.0
2026/04/02@12:38:31,28681,968.6546,2426.0
2026/04/02@12:38:32,28682,968.6818,2429.0
2026/04/02@12:38:33,28683,968.64732,2432.0
2026/04/02@12:38:34,28684,968.6744,2435.0
2026/04/02@12:38:35,28685,968.6819,2438.0
2026/04/02@12:38:36,28686,968.6584,2441.0
2026/04/02@12:38:37,28687,968.66832,2444.0
2026/04/02@12:38:38,28688,968.6473,2447.0
2026/04/02@12:38:40,28690,968.669536,2453.0
2026/04/02@12:38:41,28691,968.6906,2456.0
2026/04/02@12:38:42,28692,968.67192,2459.0
2026/04/02@12:38:43,28693,968.656,2463.3333333333335
2026/04/02@12:38:44,28694,968.70664,2467.6666666666665
2026/04/02@12:38:45,28695,968.6509,2472.0
2026/04/02@12:38:46,28696,968.6523,2476.3333333333335
2026/04/02@12:38:47,28697,968.66708,2480.6666666666665
2026/04/02@12:38:48,28698,968.693,2485.0
2026/04/02@12:38:49,28699,968.6657,2489.3333333333335
2026/04/02@12:38:50,28700,968.669536,2493.6666666666665
2026/04/02@12:38:51,28701,968.665968,2498.0
2026/04/02@12:38:53,28703,968.6794,2506.6666666666665
2026/04/02@12:38:54,28704,968.6758,2511.0
2026/04/02@12:38:55,28705,968.6571,2515.3333333333335
2026/04/02@12:38:56,28706,968.69304,2519.6666666666665
2026/04/02@12:38:57,28707,968.65968,2524.0
2026/04/02@12:38:58,28708,968.6894,2528.3333333333335
