datetime,elapsed_s,uvindex,Elevation_m
2026/08/01@14:13:03,84,0.30043476,21588.516129032258
2026/08/01@14:13:04,85,0.3121739,21591.645161290322
2026/08/01@14:13:05,86,0.375217368,21594.774193548386
2026/08/01@14:13:06,87,0.38217392,21597.90322580645
2026/08/01@14:13:07,88,0.40391304,21601.032258064515
2026/08/01@14:13:08,89,0.39391304,21604.16129032258
2026/08/01@14:13:09,90,0.42608696,21607.290322580644
2026/08/01@14:13:10,91,0.43173912,21610.41935483871
2026/08/01@14:13:12,93,0.44130436,21616.677419354837
2026/08/01@14:13:13,94,0.43,21619.8064516129
2026/08/01@14:13:14,95,0.10173913,21622.935483870966
2026/08/01@14:13:15,96,0.074347824,21626.064516129034
2026/08/01@14:13:16,97,0.440434784,21629.1935483871
2026/08/01@14:13:17,98,0.36347828,21632.322580645163
2026/08/01@14:13:18,99,0.42608696,21635.451612903227
2026/08/01@14:13:19,100,0.45217392,21638.58064516129
2026/08/01@14:13:20,101,0.44695652,21641.709677419356
2026/08/01@14:13:21,102,0.4226087,21644.83870967742
2026/08/01@14:13:22,103,0.44695652,21647.967741935485
2026/08/01@14:13:23,104,0.4573913,21651.09677419355
2026/08/01@14:13:25,106,0.42347828,21657.354838709678
2026/08/01@14:13:26,107,0.4452174,21660.483870967742
2026/08/01@14:13:27,108,0.46173912,21663.612903225807
2026/08/01@14:13:28,109,0.458260868,21666.74193548387
2026/08/01@14:13:29,110,0.456956536,21669.870967741936
2026/08/01@14:13:30,111,0.4626087,21673.0
2026/08/01@14:13:31,112,0.4421739,21676.0
2026/08/01@14:13:32,113,0.3552174,21679.0
2026/08/01@14:13:33,114,0.3704348,21682.0
2026/08/01@14:13:34,115,0.34608696,21685.0
2026/08/01@14:13:35,116,0.42695652,21688.0
2026/08/01@14:13:36,117,0.1926087,21691.0
2026/08/01@14:13:38,119,0.3178261,21697.0
2026/08/01@14:13:39,120,0.400869568,21700.0
2026/08/01@14:13:40,121,0.2504348,21703.0
2026/08/01@14:13:41,122,0.20956522,21706.0
2026/08/01@14:13:42,123,0.10478261,21709.0
2026/08/01@14:13:43,124,0.08695652,21712.0
2026/08/01@14:13:44,125,0.10217391,21715.0
2026/08/01@14:13:45,126,0.072608696,21718.0
2026/08/01@14:13:46,127,0.07173913,21721.0
2026/08/01@14:13:47,128,0.09652174,21724.0
2026/08/01@14:13:48,129,0.231304352,21727.0
2026/08/01@14:13:49,130,0.28,21730.0
2026/08/01@14:13:51,132,0.2630435,21736.0
2026/08/01@14:13:52,133,0.09869565,21739.0
2026/08/01@14:13:53,134,0.39043476,21742.0
2026/08/01@14:13:54,135,0.3569565,21745.0
2026/08/01@14:13:55,136,0.3552174,21748.0
2026/08/01@14:13:56,137,0.36173912,21751.0
2026/08/01@14:13:57,138,0.39043476,21754.0
2026/08/01@14:13:58,139,0.368260868,21757.0
2026/08/01@14:13:59,140,0.4,21760.0
2026/08/01@14:14:00,141,0.42130436,21763.0
2026/08/01@14:14:01,142,0.4026087,21765.870967741936
2026/08/01@14:14:02,143,0.5008696,21768.74193548387
2026/08/01@14:14:03,144,0.4395652,21771.612903225807
2026/08/01@14:14:05,146,0.424347816,21777.354838709678
2026/08/01@14:14:06,147,0.41826088,21780.225806451614
2026/08/01@14:14:07,148,0.4226087,21783.09677419355
2026/08/01@14:14:08,149,0.42130436,21785.967741935485
2026/08/01@14:14:09,150,0.435217368,21788.83870967742
2026/08/01@14:14:10,151,0.42695652,21791.709677419356
2026/08/01@14:14:11,152,0.43130434,21794.58064516129
2026/08/01@14:14:12,153,0.43173912,21797.451612903227
2026/08/01@14:14:13,154,0.435217368,21800.322580645163
2026/08/01@14:14:14,155,0.42130436,21803.1935483871
2026/08/01@14:14:15,156,0.42782608,21806.064516129034
2026/08/01@14:14:16,157,0.43565216,21808.935483870966
2026/08/01@14:14:18,159,0.15478261,21814.677419354837
2026/08/01@14:14:19,160,0.42695652,21817.548387096773
2026/08/01@14:14:20,161,0.4226087,21820.41935483871
2026/08/01@14:14:21,162,0.42173912,21823.290322580644
2026/08/01@14:14:22,163,0.4230435,21826.16129032258
2026/08/01@14:14:23,164,0.424347816,21829.032258064515
2026/08/01@14:14:24,165,0.42782608,21831.90322580645
2026/08/01@14:14:25,166,0.42652176,21834.774193548386
2026/08/01@14:14:26,167,0.43565216,21837.645161290322
2026/08/01@14:14:27,168,0.4,21840.516129032258
2026/08/01@14:14:28,169,0.39913044,21843.387096774193
2026/08/01@14:14:29,170,0.404782632,21846.25806451613
2026/08/01@14:14:31,172,0.40434784,21852.0
2026/08/01@14:14:32,173,0.41130436,21855.064516129034
2026/08/01@14:14:33,174,0.41130436,21858.129032258064
2026/08/01@14:14:34,175,0.41956524,21861.1935483871
2026/08/01@14:14:35,176,0.4147826,21864.25806451613
2026/08/01@14:14:36,177,0.3926087,21867.322580645163
2026/08/01@14:14:37,178,0.4021739,21870.387096774193
2026/08/01@14:14:38,179,0.3726087,21873.451612903227
2026/08/01@14:14:39,180,0.08608696,21876.516129032258
2026/08/01@14:14:40,181,0.08652174,21879.58064516129
2026/08/01@14:14:41,182,0.08608696,21882.645161290322
2026/08/01@14:14:42,183,0.067391304,21885.709677419356
2026/08/01@14:14:44,185,0.02,21891.83870967742
2026/08/01@14:14:45,186,0.03521739,21894.90322580645
2026/08/01@14:14:46,187,0.09,21897.967741935485
2026/08/01@14:14:47,188,0.09739131,21901.032258064515
2026/08/01@14:14:48,189,0.09565217,21904.09677419355
2026/08/01@14:14:49,190,0.09739131,21907.16129032258
2026/08/01@14:14:50,191,0.08434783,21910.225806451614
2026/08/01@14:14:51,192,0.08304348,21913.290322580644
2026/08/01@14:14:52,193,0.08434783,21916.354838709678
2026/08/01@14:14:53,194,0.078695656,21919.41935483871
2026/08/01@14:14:54,195,0.04695652,21922.483870967742
2026/08/01@14:14:55,196,0.0539130432,21925.548387096773
2026/08/01@14:14:57,198,0.06,21931.677419354837
2026/08/01@14:14:58,199,0.07521739,21934.74193548387
2026/08/01@14:14:59,200,0.07826087,21937.8064516129
2026/08/01@14:15:00,201,0.39086956,21940.870967741936
2026/08/01@14:15:01,202,0.113913048,21943.935483870966
2026/08/01@14:15:02,203,0.109130432,21947.0
2026/08/01@14:15:03,204,0.11,21950.333333333332
2026/08/01@14:15:04,205,0.11260869,21953.666666666668
2026/08/01@14:15:05,206,0.100869568,21957.0
2026/08/01@14:15:06,207,0.08608696,21960.333333333332
2026/08/01@14:15:07,208,0.09695652,21963.666666666668
2026/08/01@14:15:08,209,0.08869565,21967.0
2026/08/01@14:15:10,211,0.09391304,21973.666666666668
2026/08/01@14:15:11,212,0.094782608,21977.0
2026/08/01@14:15:12,213,0.09,21980.333333333332
2026/08/01@14:15:13,214,0.08608696,21983.666666666668
2026/08/01@14:15:14,215,0.076956532,21987.0
2026/08/01@14:15:15,216,0.085217392,21990.333333333332
2026/08/01@14:15:16,217,0.07347826,21993.666666666668
2026/08/01@14:15:17,218,0.09521739,21997.0
2026/08/01@14:15:18,219,0.08782609,22000.333333333332
2026/08/01@14:15:19,220,0.10347826,22003.666666666668
2026/08/01@14:15:20,221,0.112173912,22007.0
2026/08/01@14:15:21,222,0.09739131,22010.333333333332
2026/08/01@14:15:22,223,0.09869565,22013.666666666668
2026/08/01@14:15:24,225,0.09,22020.333333333332
2026/08/01@14:15:25,226,0.2426087,22023.666666666668
2026/08/01@14:15:26,227,0.26130436,22027.0
2026/08/01@14:15:27,228,0.31565216,22030.333333333332
2026/08/01@14:15:28,229,0.350434784,22033.666666666668
2026/08/01@14:15:29,230,0.34391304,22037.0
2026/08/01@14:15:30,231,0.33130434,22040.333333333332
2026/08/01@14:15:31,232,0.32826088,22043.666666666668
2026/08/01@14:15:32,233,0.3330435,22047.0
2026/08/01@14:15:33,234,0.36,22050.032258064515
2026/08/01@14:15:34,235,0.355652184,22053.064516129034
2026/08/01@14:15:35,236,0.33608696,22056.09677419355
2026/08/01@14:15:37,238,0.27652174,22062.16129032258
2026/08/01@14:15:38,239,0.083478264,22065.1935483871
2026/08/01@14:15:39,240,0.08217391,22068.225806451614
2026/08/01@14:15:40,241,0.09391304,22071.25806451613
2026/08/01@14:15:41,242,0.09521739,22074.290322580644
2026/08/01@14:15:42,243,0.31391304,22077.322580645163
2026/08/01@14:15:43,244,0.3043478,22080.354838709678
2026/08/01@14:15:44,245,0.2721739,22083.387096774193
2026/08/01@14:15:45,246,0.233913052,22086.41935483871
2026/08/01@14:15:46,247,0.22130434,22089.451612903227
2026/08/01@14:15:47,248,0.2078261,22092.483870967742
2026/08/01@14:15:48,249,0.17130434,22095.516129032258
2026/08/01@14:15:50,251,0.14304348,22101.58064516129
2026/08/01@14:15:51,252,0.13652174,22104.612903225807
2026/08/01@14:15:52,253,0.13304348,22107.645161290322
2026/08/01@14:15:53,254,0.13043478,22110.677419354837
2026/08/01@14:15:54,255,0.11,22113.709677419356
2026/08/01@14:15:55,256,0.08782609,22116.74193548387
2026/08/01@14:15:56,257,0.07652174,22119.774193548386
2026/08/01@14:15:57,258,0.07652174,22122.8064516129
2026/08/01@14:15:58,259,0.07608695,22125.83870967742
2026/08/01@14:15:59,260,0.07608695,22128.870967741936
2026/08/01@14:16:00,261,0.07956522,22131.90322580645
2026/08/01@14:16:01,262,0.07347826,22134.935483870966
2026/08/01@14:16:03,264,0.063043476,22141.0
2026/08/01@14:16:04,265,0.070869568,22144.366666666665
2026/08/01@14:16:05,266,0.07,22147.733333333334
2026/08/01@14:16:06,267,0.070869568,22151.1
2026/08/01@14:16:07,268,0.07130435,22154.466666666667
2026/08/01@14:16:08,269,0.07130435,22157.833333333332
2026/08/01@14:16:09,270,0.07478261,22161.2
2026/08/01@14:16:10,271,0.07130435,22164.566666666666
2026/08/01@14:16:11,272,0.07304348,22167.933333333334
2026/08/01@14:16:12,273,0.072608696,22171.3
2026/08/01@14:16:13,274,0.066086952,22174.666666666668
2026/08/01@14:16:14,275,0.06565218,22178.033333333333
2026/08/01@14:16:16,277,0.064347824,22184.766666666666
2026/08/01@14:16:17,278,0.069130432,22188.133333333335
2026/08/01@14:16:18,279,0.069130432,22191.5
2026/08/01@14:16:19,280,0.059565216,22194.866666666665
2026/08/01@14:16:20,281,0.050434784,22198.233333333334
2026/08/01@14:16:21,282,0.048695652,22201.6
2026/08/01@14:16:22,283,0.050869564,22204.966666666667
2026/08/01@14:16:23,284,0.053043476,22208.333333333332
2026/08/01@14:16:24,285,0.037826088,22211.7
2026/08/01@14:16:25,286,0.0013043479,22215.066666666666
2026/08/01@14:16:26,287,0.00173913036,22218.433333333334
2026/08/01@14:16:27,288,0.00173913036,22221.8
2026/08/01@14:16:29,290,0.000434782632,22228.533333333333
2026/08/01@14:16:30,291,0.0013043479,22231.9
2026/08/01@14:16:31,292,0.000434782632,22235.266666666666
2026/08/01@14:16:32,293,0.0013043479,22238.633333333335
2026/08/01@14:16:33,294,0.00173913036,22242.0
2026/08/01@14:16:34,295,0.00173913036,22245.483870967742
2026/08/01@14:16:35,296,0.064347824,22248.967741935485
2026/08/01@14:16:36,297,0.074347824,22252.451612903227
2026/08/01@14:16:37,298,0.080434784,22255.935483870966
2026/08/01@14:16:38,299,0.076956532,22259.41935483871
2026/08/01@14:16:39,300,0.07478261,22262.90322580645
2026/08/01@14:16:40,301,0.051304348,22266.387096774193
2026/08/01@14:16:42,303,0.049130436,22273.354838709678
2026/08/01@14:16:43,304,0.04478261,22276.83870967742
2026/08/01@14:16:44,305,0.049130436,22280.322580645163
2026/08/01@14:16:45,306,0.050434784,22283.8064516129
2026/08/01@14:16:46,307,0.049130436,22287.290322580644
2026/08/01@14:16:47,308,0.050869564,22290.774193548386
2026/08/01@14:16:48,309,0.051304348,22294.25806451613
2026/08/01@14:16:49,310,0.048695652,22297.74193548387
2026/08/01@14:16:50,311,0.050434784,22301.225806451614
2026/08/01@14:16:51,312,0.050434784,22304.709677419356
2026/08/01@14:16:52,313,0.04956522,22308.1935483871
2026/08/01@14:16:53,314,0.050434784,22311.677419354837
2026/08/01@14:16:55,316,0.051304348,22318.645161290322
2026/08/01@14:16:56,317,0.05478261,22322.129032258064
2026/08/01@14:16:57,318,0.054347824,22325.612903225807
2026/08/01@14:16:58,319,0.055652176,22329.09677419355
2026/08/01@14:16:59,320,0.050434784,22332.58064516129
2026/08/01@14:17:00,321,0.048695652,22336.064516129034
2026/08/01@14:17:01,322,0.047826084,22339.548387096773
2026/08/01@14:17:02,323,0.049130436,22343.032258064515
2026/08/01@14:17:03,324,0.048695652,22346.516129032258
2026/08/01@14:17:04,325,0.052173912,22350.0
2026/08/01@14:17:05,326,0.05478261,22353.733333333334
2026/08/01@14:17:06,327,0.052173912,22357.466666666667
2026/08/01@14:17:08,329,0.0539130432,22364.933333333334
2026/08/01@14:17:09,330,0.051304348,22368.666666666668
2026/08/01@14:17:10,331,0.051304348,22372.4
2026/08/01@14:17:11,332,0.052608696,22376.133333333335
2026/08/01@14:17:12,333,0.052173912,22379.866666666665
2026/08/01@14:17:13,334,0.053043476,22383.6
2026/08/01@14:17:14,335,0.054347824,22387.333333333332
2026/08/01@14:17:15,336,0.06347826,22391.066666666666
2026/08/01@14:17:16,337,0.05478261,22394.8
2026/08/01@14:17:17,338,0.0539130432,22398.533333333333
2026/08/01@14:17:18,339,0.054347824,22402.266666666666
2026/08/01@14:17:19,340,0.054347824,22406.0
2026/08/01@14:17:21,342,0.08608696,22413.466666666667
2026/08/01@14:17:22,343,0.10173913,22417.2
2026/08/01@14:17:23,344,0.094782608,22420.933333333334
2026/08/01@14:17:24,345,0.10521739,22424.666666666668
2026/08/01@14:17:25,346,0.10695652,22428.4
2026/08/01@14:17:26,347,0.10652174,22432.133333333335
2026/08/01@14:17:27,348,0.10652174,22435.866666666665
2026/08/01@14:17:28,349,0.107391304,22439.6
2026/08/01@14:17:29,350,0.107391304,22443.333333333332
2026/08/01@14:17:30,351,0.10826087,22447.066666666666
2026/08/01@14:17:31,352,0.07782609,22450.8
2026/08/01@14:17:32,353,0.07478261,22454.533333333333
2026/08/01@14:17:34,355,0.083478264,22462.0
2026/08/01@14:17:35,356,0.09913044,22465.41935483871
2026/08/01@14:17:36,357,0.07521739,22468.83870967742
2026/08/01@14:17:37,358,0.09521739,22472.25806451613
2026/08/01@14:17:38,359,0.09869565,22475.677419354837
2026/08/01@14:17:39,360,0.09739131,22479.09677419355
2026/08/01@14:17:40,361,0.10043478,22482.516129032258
2026/08/01@14:17:41,362,0.100869568,22485.935483870966
2026/08/01@14:17:42,363,0.1,22489.354838709678
2026/08/01@14:17:43,364,0.09739131,22492.774193548386
2026/08/01@14:17:44,365,0.09217391,22496.1935483871
2026/08/01@14:17:45,366,0.094782608,22499.612903225807
2026/08/01@14:17:46,367,0.09695652,22503.032258064515
2026/08/01@14:17:48,369,0.09391304,22509.870967741936
2026/08/01@14:17:49,370,0.10869565,22513.290322580644
2026/08/01@14:17:50,371,0.110434784,22516.709677419356
2026/08/01@14:17:51,372,0.11173913,22520.129032258064
2026/08/01@14:17:52,373,0.08869565,22523.548387096773
2026/08/01@14:17:53,374,0.085217392,22526.967741935485
2026/08/01@14:17:54,375,0.09521739,22530.387096774193
2026/08/01@14:17:55,376,0.10304348,22533.8064516129
2026/08/01@14:17:56,377,0.107391304,22537.225806451614
2026/08/01@14:17:57,378,0.10869565,22540.645161290322
2026/08/01@14:17:58,379,0.11521739,22544.064516129034
2026/08/01@14:17:59,380,0.14565218,22547.483870967742
2026/08/01@14:18:01,382,0.12434783,22554.322580645163
2026/08/01@14:18:02,383,0.09130435,22557.74193548387
2026/08/01@14:18:03,384,0.09217391,22561.16129032258
2026/08/01@14:18:04,385,0.09,22564.58064516129
2026/08/01@14:18:05,386,0.07173913,22568.0
2026/08/01@14:18:06,387,0.069565216,22571.1935483871
2026/08/01@14:18:07,388,0.074347824,22574.387096774193
2026/08/01@14:18:08,389,0.10826087,22577.58064516129
2026/08/01@14:18:09,390,0.10652174,22580.774193548386
2026/08/01@14:18:10,391,0.07130435,22583.967741935485
2026/08/01@14:18:11,392,0.1747826,22587.16129032258
2026/08/01@14:18:12,393,0.1973913,22590.354838709678
2026/08/01@14:18:14,395,0.1526087,22596.74193548387
2026/08/01@14:18:15,396,0.12695652,22599.935483870966
2026/08/01@14:18:16,397,0.055652176,22603.129032258064
2026/08/01@14:18:17,398,0.16608696,22606.322580645163
2026/08/01@14:18:18,399,0.23304348,22609.516129032258
2026/08/01@14:18:19,400,0.2878261,22612.709677419356
2026/08/01@14:18:20,401,0.10826087,22615.90322580645
2026/08/01@14:18:21,402,0.2873913,22619.09677419355
2026/08/01@14:18:22,403,0.11521739,22622.290322580644
2026/08/01@14:18:23,404,0.29434782,22625.483870967742
2026/08/01@14:18:24,405,0.455652184,22628.677419354837
2026/08/01@14:18:25,406,0.3569565,22631.870967741936
2026/08/01@14:18:27,408,0.3652174,22638.25806451613
2026/08/01@14:18:28,409,0.094782608,22641.451612903227
2026/08/01@14:18:29,410,0.1373913,22644.645161290322
2026/08/01@14:18:30,411,0.12608695,22647.83870967742
2026/08/01@14:18:31,412,0.1226087,22651.032258064515
2026/08/01@14:18:32,413,0.09652174,22654.225806451614
2026/08/01@14:18:33,414,0.15173914,22657.41935483871
2026/08/01@14:18:34,415,0.11913043,22660.612903225807
2026/08/01@14:18:35,416,0.09130435,22663.8064516129
2026/08/01@14:18:36,417,0.110434784,22667.0
2026/08/01@14:18:37,418,0.11347826,22670.466666666667
2026/08/01@14:18:38,419,0.13043478,22673.933333333334
2026/08/01@14:18:40,421,0.116956532,22680.866666666665
2026/08/01@14:18:41,422,0.12086956,22684.333333333332
2026/08/01@14:18:42,423,0.115652176,22687.8
2026/08/01@14:18:43,424,0.116956532,22691.266666666666
2026/08/01@14:18:44,425,0.12434783,22694.733333333334
2026/08/01@14:18:45,426,0.12043478,22698.2
2026/08/01@14:18:46,427,0.11913043,22701.666666666668
2026/08/01@14:18:47,428,0.12086956,22705.133333333335
2026/08/01@14:18:48,429,0.118695656,22708.6
2026/08/01@14:18:49,430,0.09,22712.066666666666
2026/08/01@14:18:50,431,0.08652174,22715.533333333333
2026/08/01@14:18:51,432,0.08869565,22719.0
2026/08/01@14:18:53,434,0.072608696,22725.933333333334
2026/08/01@14:18:54,435,0.063043476,22729.4
2026/08/01@14:18:55,436,0.1,22732.866666666665
2026/08/01@14:18:56,437,0.11260869,22736.333333333332
2026/08/01@14:18:57,438,0.09695652,22739.8
2026/08/01@14:18:58,439,0.085217392,22743.266666666666
2026/08/01@14:18:59,440,0.054347824,22746.733333333334
2026/08/01@14:19:00,441,0.08826087,22750.2
2026/08/01@14:19:01,442,0.12434783,22753.666666666668
2026/08/01@14:19:02,443,0.15173914,22757.133333333335
2026/08/01@14:19:03,444,0.14782609,22760.6
2026/08/01@14:19:04,445,0.043913044,22764.066666666666
2026/08/01@14:19:06,447,0.04043478,22771.0
2026/08/01@14:19:07,448,0.14782609,22774.225806451614
2026/08/01@14:19:08,449,0.13652174,22777.451612903227
2026/08/01@14:19:09,450,0.13652174,22780.677419354837
2026/08/01@14:19:10,451,0.14391304,22783.90322580645
2026/08/01@14:19:11,452,0.12869565,22787.129032258064
2026/08/01@14:19:12,453,0.13086956,22790.354838709678
2026/08/01@14:19:13,454,0.1447826,22793.58064516129
2026/08/01@14:19:14,455,0.14043478,22796.8064516129
2026/08/01@14:19:15,456,0.14043478,22800.032258064515
2026/08/01@14:19:16,457,0.13565217,22803.25806451613
2026/08/01@14:19:17,458,0.06478261,22806.483870967742
2026/08/01@14:19:19,460,0.13652174,22812.935483870966
2026/08/01@14:19:20,461,0.12608695,22816.16129032258
2026/08/01@14:19:21,462,0.12217391,22819.387096774193
2026/08/01@14:19:22,463,0.12217391,22822.612903225807
2026/08/01@14:19:23,464,0.12565218,22825.83870967742
2026/08/01@14:19:24,465,0.118695656,22829.064516129034
2026/08/01@14:19:25,466,0.12043478,22832.290322580644
2026/08/01@14:19:26,467,0.1173913,22835.516129032258
2026/08/01@14:19:27,468,0.13130436,22838.74193548387
2026/08/01@14:19:28,469,0.14217392,22841.967741935485
2026/08/01@14:19:29,470,0.14782609,22845.1935483871
2026/08/01@14:19:30,471,0.13826087,22848.41935483871
2026/08/01@14:19:32,473,0.14043478,22854.870967741936
2026/08/01@14:19:33,474,0.1373913,22858.09677419355
2026/08/01@14:19:34,475,0.13304348,22861.322580645163
2026/08/01@14:19:35,476,0.11608696,22864.548387096773
2026/08/01@14:19:36,477,0.10869565,22867.774193548386
2026/08/01@14:19:37,478,0.11608696,22871.0
2026/08/01@14:19:38,479,0.11260869,22874.266666666666
2026/08/01@14:19:39,480,0.12173913,22877.533333333333
2026/08/01@14:19:40,481,0.14217392,22880.8
2026/08/01@14:19:41,482,0.12913044,22884.066666666666
2026/08/01@14:19:42,483,0.13608696,22887.333333333332
2026/08/01@14:19:43,484,0.113913048,22890.6
2026/08/01@14:19:45,486,0.067826088,22897.133333333335
2026/08/01@14:19:46,487,0.03521739,22900.4
2026/08/01@14:19:47,488,0.018695652,22903.666666666668
2026/08/01@14:19:48,489,0.02347826,22906.933333333334
2026/08/01@14:19:49,490,0.069565216,22910.2
2026/08/01@14:19:50,491,0.11086956,22913.466666666667
2026/08/01@14:19:51,492,0.11913043,22916.733333333334
2026/08/01@14:19:52,493,0.118695656,22920.0
2026/08/01@14:19:53,494,0.12086956,22923.266666666666
2026/08/01@14:19:54,495,0.12217391,22926.533333333333
2026/08/01@14:19:55,496,0.12173913,22929.8
2026/08/01@14:19:56,497,0.12565218,22933.066666666666
2026/08/01@14:19:58,499,0.12434783,22939.6
2026/08/01@14:19:59,500,0.1226087,22942.866666666665
2026/08/01@14:20:00,501,0.12956522,22946.133333333335
2026/08/01@14:20:01,502,0.12913044,22949.4
2026/08/01@14:20:02,503,0.12782608,22952.666666666668
2026/08/01@14:20:03,504,0.12434783,22955.933333333334
2026/08/01@14:20:04,505,0.12608695,22959.2
2026/08/01@14:20:05,506,0.11608696,22962.466666666667
2026/08/01@14:20:06,507,0.11782609,22965.733333333334
2026/08/01@14:20:07,508,0.12086956,22969.0
2026/08/01@14:20:08,509,0.1226087,22972.25806451613
2026/08/01@14:20:09,510,0.12391304,22975.516129032258
2026/08/01@14:20:11,512,0.1326087,22982.032258064515
2026/08/01@14:20:12,513,0.12869565,22985.290322580644
2026/08/01@14:20:13,514,0.13913043,22988.548387096773
2026/08/01@14:20:14,515,0.15826086,22991.8064516129
2026/08/01@14:20:15,516,0.14608696,22995.064516129034
2026/08/01@14:20:16,517,0.34695652,22998.322580645163
2026/08/01@14:20:17,518,0.14826088,23001.58064516129
2026/08/01@14:20:18,519,0.25,23004.83870967742
2026/08/01@14:20:19,520,0.31130436,23008.09677419355
2026/08/01@14:20:20,521,0.32434782,23011.354838709678
2026/08/01@14:20:21,522,0.15782608,23014.612903225807
2026/08/01@14:20:22,523,0.16,23017.870967741936
2026/08/01@14:20:23,524,0.16521738,23021.129032258064
2026/08/01@14:20:25,526,0.16478262,23027.645161290322
2026/08/01@14:20:26,527,0.16478262,23030.90322580645
2026/08/01@14:20:27,528,0.15434782,23034.16129032258
2026/08/01@14:20:28,529,0.15913044,23037.41935483871
2026/08/01@14:20:29,530,0.42347828,23040.677419354837
2026/08/01@14:20:30,531,0.391304352,23043.935483870966
2026/08/01@14:20:31,532,0.36217392,23047.1935483871
2026/08/01@14:20:32,533,0.3647826,23050.451612903227
2026/08/01@14:20:33,534,0.36,23053.709677419356
2026/08/01@14:20:34,535,0.38434784,23056.967741935485
2026/08/01@14:20:35,536,0.31130436,23060.225806451614
2026/08/01@14:20:36,537,0.34304348,23063.483870967742
2026/08/01@14:20:38,539,0.31826088,23070.0
