datetime,elapsed_s,gas1
2026/08/01@14:09:24,90,2.7628126
2026/08/01@14:09:25,91,2.7628126
2026/08/01@14:09:26,92,2.7631876
2026/08/01@14:09:27,93,2.7628126
2026/08/01@14:09:28,94,2.7628126
2026/08/01@14:09:29,95,2.7624376
2026/08/01@14:09:30,96,2.7626252
2026/08/01@14:09:31,97,2.7624376
2026/08/01@14:09:33,99,2.7626252
2026/08/01@14:09:34,100,2.7626252
2026/08/01@14:09:35,101,2.7624376
2026/08/01@14:09:36,102,2.7620626
2026/08/01@14:09:37,103,2.76225
2026/08/01@14:09:38,104,2.7620626
2026/08/01@14:09:39,105,2.7618752
2026/08/01@14:09:40,106,2.7620626
2026/08/01@14:09:41,107,2.7618752
2026/08/01@14:09:42,108,2.7618752
2026/08/01@14:09:43,109,2.7618752
2026/08/01@14:09:44,110,2.7620626
2026/08/01@14:09:46,112,2.7615002
2026/08/01@14:09:47,113,2.7613124
2026/08/01@14:09:48,114,2.7613124
2026/08/01@14:09:49,115,2.761125
2026/08/01@14:09:50,116,2.7609376
2026/08/01@14:09:51,117,2.7607504
2026/08/01@14:09:52,118,2.7609376
2026/08/01@14:09:53,119,2.7609376
2026/08/01@14:09:54,120,2.7609376
2026/08/01@14:09:55,121,2.7607504
2026/08/01@14:09:56,122,2.7607504
2026/08/01@14:09:58,123,2.7605626
2026/08/01@14:09:59,125,2.7603752
2026/08/01@14:10:00,126,2.7605626
2026/08/01@14:10:01,127,2.7601876
2026/08/01@14:10:02,128,2.7603752
2026/08/01@14:10:03,129,2.76
2026/08/01@14:10:04,130,2.7603752
2026/08/01@14:10:05,131,2.7601876
2026/08/01@14:10:06,132,2.7598126
2026/08/01@14:10:07,133,2.7601876
2026/08/01@14:10:08,134,2.7598126
2026/08/01@14:10:09,135,2.76
2026/08/01@14:10:11,137,2.759625
2026/08/01@14:10:12,138,2.759625
2026/08/01@14:10:13,139,2.7594376
2026/08/01@14:10:14,140,2.7594376
2026/08/01@14:10:15,141,2.759625
2026/08/01@14:10:16,142,2.7594376
2026/08/01@14:10:17,143,2.7594376
2026/08/01@14:10:18,144,2.7594376
2026/08/01@14:10:19,145,2.759625
2026/08/01@14:10:20,146,2.7590628
2026/08/01@14:10:21,147,2.7592502
2026/08/01@14:10:22,148,2.7592502
2026/08/01@14:10:24,150,2.7590628
2026/08/01@14:10:25,151,2.7590628
2026/08/01@14:10:26,152,2.7592502
2026/08/01@14:10:27,153,2.7590628
2026/08/01@14:10:28,154,2.7592502
2026/08/01@14:10:29,155,2.7592502
2026/08/01@14:10:30,156,2.7588752
2026/08/01@14:10:31,157,2.7588752
2026/08/01@14:10:32,158,2.7588752
2026/08/01@14:10:33,159,2.7586876
2026/08/01@14:10:34,160,2.7586876
2026/08/01@14:10:35,161,2.7590628
2026/08/01@14:10:37,163,2.7586876
2026/08/01@14:10:38,164,2.7586876
2026/08/01@14:10:39,165,2.7586876
2026/08/01@14:10:40,166,2.7586876
2026/08/01@14:10:41,167,2.7585
2026/08/01@14:10:42,168,2.7588752
2026/08/01@14:10:43,169,2.7588752
2026/08/01@14:10:44,170,2.7586876
2026/08/01@14:10:45,171,2.7588752
2026/08/01@14:10:46,172,2.7586876
2026/08/01@14:10:47,173,2.7585
2026/08/01@14:10:49,175,2.7585
2026/08/01@14:10:50,176,2.7585
2026/08/01@14:10:51,177,2.7581252
2026/08/01@14:10:52,178,2.7581252
2026/08/01@14:10:53,179,2.7581252
2026/08/01@14:10:54,180,2.7583128
2026/08/01@14:10:55,181,2.7585
2026/08/01@14:10:56,182,2.7581252
2026/08/01@14:10:57,183,2.7585
2026/08/01@14:10:58,184,2.7586876
2026/08/01@14:10:59,185,2.7583128
2026/08/01@14:11:00,186,2.7581252
2026/08/01@14:11:02,188,2.7581252
2026/08/01@14:11:03,189,2.7581252
2026/08/01@14:11:04,190,2.7577502
2026/08/01@14:11:05,191,2.7577502
2026/08/01@14:11:06,192,2.7579376
2026/08/01@14:11:07,193,2.7579376
2026/08/01@14:11:08,194,2.7577502
2026/08/01@14:11:09,195,2.7579376
2026/08/01@14:11:10,196,2.7577502
2026/08/01@14:11:11,197,2.7579376
2026/08/01@14:11:12,198,2.7575626
2026/08/01@14:11:13,199,2.7575626
2026/08/01@14:11:15,201,2.757375
2026/08/01@14:11:16,202,2.7575626
2026/08/01@14:11:17,203,2.7575626
2026/08/01@14:11:18,204,2.7577502
2026/08/01@14:11:19,205,2.7571876
2026/08/01@14:11:20,206,2.757375
2026/08/01@14:11:21,207,2.7575626
2026/08/01@14:11:22,208,2.757
2026/08/01@14:11:23,209,2.7571876
2026/08/01@14:11:24,210,2.7568126
2026/08/01@14:11:25,211,2.757375
2026/08/01@14:11:26,212,2.757375
2026/08/01@14:11:28,214,2.7571876
2026/08/01@14:11:29,215,2.757
2026/08/01@14:11:30,216,2.7571876
2026/08/01@14:11:31,217,2.7571876
2026/08/01@14:11:32,218,2.7571876
2026/08/01@14:11:33,219,2.757375
2026/08/01@14:11:34,220,2.7571876
2026/08/01@14:11:35,221,2.757375
