datetime,elapsed_s,gas1
2026/08/01@14:13:10,92,2.7545626
2026/08/01@14:13:11,93,2.7549376
2026/08/01@14:13:12,94,2.7549376
2026/08/01@14:13:13,95,2.755875
2026/08/01@14:13:14,96,2.755125
2026/08/01@14:13:15,97,2.75475
2026/08/01@14:13:16,98,2.7553128
2026/08/01@14:13:18,99,2.755125
2026/08/01@14:13:19,101,2.7549376
2026/08/01@14:13:20,102,2.755125
2026/08/01@14:13:21,103,2.7549376
2026/08/01@14:13:22,104,2.755125
2026/08/01@14:13:23,105,2.7549376
2026/08/01@14:13:24,106,2.75475
2026/08/01@14:13:25,107,2.7549376
2026/08/01@14:13:26,108,2.7549376
2026/08/01@14:13:27,109,2.755125
2026/08/01@14:13:28,110,2.755125
2026/08/01@14:13:29,111,2.7553128
2026/08/01@14:13:31,113,2.7545626
2026/08/01@14:13:32,114,2.75475
2026/08/01@14:13:33,115,2.755125
2026/08/01@14:13:34,116,2.754375
2026/08/01@14:13:35,117,2.7549376
2026/08/01@14:13:36,118,2.7549376
2026/08/01@14:13:37,119,2.755125
2026/08/01@14:13:38,120,2.75475
2026/08/01@14:13:39,121,2.75475
2026/08/01@14:13:40,122,2.755125
2026/08/01@14:13:41,123,2.755125
2026/08/01@14:13:42,124,2.75475
2026/08/01@14:13:44,126,2.75475
2026/08/01@14:13:45,127,2.7549376
2026/08/01@14:13:46,128,2.7549376
2026/08/01@14:13:47,129,2.75475
2026/08/01@14:13:48,130,2.75475
2026/08/01@14:13:49,131,2.75475
2026/08/01@14:13:50,132,2.75475
2026/08/01@14:13:51,133,2.7545626
2026/08/01@14:13:52,134,2.754375
2026/08/01@14:13:53,135,2.7549376
2026/08/01@14:13:54,136,2.7549376
2026/08/01@14:13:55,137,2.7545626
2026/08/01@14:13:57,139,2.75475
2026/08/01@14:13:58,140,2.75475
2026/08/01@14:13:59,141,2.7549376
2026/08/01@14:14:00,142,2.7545626
2026/08/01@14:14:01,143,2.7545626
2026/08/01@14:14:02,144,2.75475
2026/08/01@14:14:03,145,2.754375
2026/08/01@14:14:04,146,2.7545626
2026/08/01@14:14:05,147,2.7545626
2026/08/01@14:14:06,148,2.754375
2026/08/01@14:14:07,149,2.7545626
2026/08/01@14:14:08,150,2.7545626
2026/08/01@14:14:10,152,2.75475
2026/08/01@14:14:11,153,2.75475
2026/08/01@14:14:12,154,2.7541876
2026/08/01@14:14:13,155,2.75475
2026/08/01@14:14:14,156,2.75475
2026/08/01@14:14:15,157,2.75475
2026/08/01@14:14:16,158,2.7545626
2026/08/01@14:14:17,159,2.7545626
2026/08/01@14:14:18,160,2.7545626
2026/08/01@14:14:19,161,2.75475
2026/08/01@14:14:20,162,2.754375
2026/08/01@14:14:21,163,2.7540002
2026/08/01@14:14:23,165,2.754375
2026/08/01@14:14:24,166,2.75475
2026/08/01@14:14:25,167,2.754375
2026/08/01@14:14:26,168,2.7541876
2026/08/01@14:14:27,169,2.754375
2026/08/01@14:14:28,170,2.7545626
2026/08/01@14:14:29,171,2.7545626
2026/08/01@14:14:30,172,2.7541876
2026/08/01@14:14:31,173,2.754375
2026/08/01@14:14:32,174,2.7541876
2026/08/01@14:14:33,175,2.754375
2026/08/01@14:14:34,176,2.754375
2026/08/01@14:14:36,178,2.7540002
2026/08/01@14:14:37,179,2.754375
2026/08/01@14:14:38,180,2.7545626
2026/08/01@14:14:39,181,2.7541876
2026/08/01@14:14:40,182,2.7541876
2026/08/01@14:14:41,183,2.754375
2026/08/01@14:14:42,184,2.754375
2026/08/01@14:14:43,185,2.7545626
2026/08/01@14:14:44,186,2.754375
2026/08/01@14:14:45,187,2.754375
2026/08/01@14:14:46,188,2.754375
2026/08/01@14:14:48,190,2.7541876
2026/08/01@14:14:49,191,2.7541876
2026/08/01@14:14:50,192,2.7538126
2026/08/01@14:14:51,193,2.7541876
2026/08/01@14:14:52,194,2.7541876
2026/08/01@14:14:53,195,2.754375
2026/08/01@14:14:54,196,2.7541876
2026/08/01@14:14:55,197,2.754375
2026/08/01@14:14:56,198,2.7540002
2026/08/01@14:14:57,199,2.7540002
2026/08/01@14:14:58,200,2.7540002
2026/08/01@14:14:59,201,2.7540002
2026/08/01@14:15:01,203,2.75475
2026/08/01@14:15:02,204,2.7541876
2026/08/01@14:15:03,205,2.7541876
2026/08/01@14:15:04,206,2.75475
2026/08/01@14:15:05,207,2.7541876
2026/08/01@14:15:06,208,2.7545626
2026/08/01@14:15:07,209,2.7541876
2026/08/01@14:15:08,210,2.7545626
2026/08/01@14:15:09,211,2.75475
2026/08/01@14:15:10,212,2.7549376
2026/08/01@14:15:11,213,2.7549376
2026/08/01@14:15:12,214,2.75475
2026/08/01@14:15:14,216,2.7549376
2026/08/01@14:15:15,217,2.75475
2026/08/01@14:15:16,218,2.75475
2026/08/01@14:15:17,219,2.75475
2026/08/01@14:15:18,220,2.7549376
2026/08/01@14:15:19,221,2.7545626
2026/08/01@14:15:20,222,2.75475
2026/08/01@14:15:21,223,2.7549376
2026/08/01@14:15:22,224,2.7549376
2026/08/01@14:15:23,225,2.7555004
2026/08/01@14:15:24,226,2.7555004
2026/08/01@14:15:25,227,2.7555004
2026/08/01@14:15:27,229,2.7555004
2026/08/01@14:15:28,230,2.7555004
2026/08/01@14:15:29,231,2.7556876
2026/08/01@14:15:30,232,2.7560624
2026/08/01@14:15:31,233,2.7562502
2026/08/01@14:15:32,234,2.7560624
2026/08/01@14:15:33,235,2.7562502
2026/08/01@14:15:34,236,2.7566252
2026/08/01@14:15:35,237,2.7577502
2026/08/01@14:15:36,238,2.7577502
2026/08/01@14:15:37,239,2.7571876
2026/08/01@14:15:38,240,2.7583128
2026/08/01@14:15:40,242,2.7583128
2026/08/01@14:15:41,243,2.7588752
2026/08/01@14:15:42,244,2.7590628
2026/08/01@14:15:43,245,2.7601876
2026/08/01@14:15:44,246,2.7603752
2026/08/01@14:15:45,247,2.7609376
2026/08/01@14:15:46,248,2.7613124
2026/08/01@14:15:47,249,2.761125
2026/08/01@14:15:48,250,2.7620626
2026/08/01@14:15:49,251,2.76225
2026/08/01@14:15:50,252,2.7624376
2026/08/01@14:15:52,254,2.7626252
2026/08/01@14:15:53,255,2.7628126
2026/08/01@14:15:54,256,2.7633752
2026/08/01@14:15:55,257,2.7635626
2026/08/01@14:15:56,258,2.764125
2026/08/01@14:15:57,259,2.7646876
2026/08/01@14:15:58,260,2.7650626
2026/08/01@14:15:59,261,2.7656252
2026/08/01@14:16:00,262,2.7661876
2026/08/01@14:16:01,263,2.7671252
2026/08/01@14:16:02,264,2.7680626
2026/08/01@14:16:03,265,2.769
2026/08/01@14:16:05,267,2.7703126
2026/08/01@14:16:06,268,2.7705002
2026/08/01@14:16:07,269,2.771625
2026/08/01@14:16:08,270,2.8700628
2026/08/01@14:16:09,271,2.7843752
2026/08/01@14:16:10,272,2.9310002
2026/08/01@14:16:11,273,2.7735002
2026/08/01@14:16:12,274,2.7725624
2026/08/01@14:16:13,275,2.884875
2026/08/01@14:16:14,276,2.775
2026/08/01@14:16:15,277,2.7751876
2026/08/01@14:16:16,278,2.7759376
2026/08/01@14:16:18,280,3.02325
2026/08/01@14:16:19,281,3.0511876
2026/08/01@14:16:20,282,3.1224374
2026/08/01@14:16:21,283,3.0999376
2026/08/01@14:16:22,284,3.1820626
2026/08/01@14:16:23,285,3.2848128
2026/08/01@14:16:24,286,3.3000002
2026/08/01@14:16:25,287,3.3020624
2026/08/01@14:16:26,288,3.4717502
2026/08/01@14:16:27,289,3.4968752
2026/08/01@14:16:28,290,3.66131268
2026/08/01@14:16:30,292,3.546
2026/08/01@14:16:31,293,3.6345
2026/08/01@14:16:32,294,3.322875
2026/08/01@14:16:33,295,3.5064376
2026/08/01@14:16:34,296,3.7113752
2026/08/01@14:16:35,297,3.7061252
2026/08/01@14:16:36,298,3.6517504
2026/08/01@14:16:37,299,2.9445
2026/08/01@14:16:38,300,3.4402504
2026/08/01@14:16:39,301,3.1130626
2026/08/01@14:16:40,302,3.6015
2026/08/01@14:16:41,303,3.76706268
2026/08/01@14:16:43,305,3.54656268
2026/08/01@14:16:44,306,3.5268752
2026/08/01@14:16:45,307,3.3543754
2026/08/01@14:16:46,308,3.601688
2026/08/01@14:16:47,309,3.7100624
2026/08/01@14:16:48,310,3.6088128
2026/08/01@14:16:49,311,2.9833126
2026/08/01@14:16:50,312,3.248625
2026/08/01@14:16:51,313,3.5881876
2026/08/01@14:16:52,314,3.692625
2026/08/01@14:16:53,315,3.4059376
2026/08/01@14:16:54,316,3.67031268
2026/08/01@14:16:56,318,3.317813
2026/08/01@14:16:57,319,3.6301876
2026/08/01@14:16:58,320,3.72337532
2026/08/01@14:16:59,321,3.6766876
2026/08/01@14:17:00,322,3.6566252
2026/08/01@14:17:01,323,3.9676876
2026/08/01@14:17:02,324,3.87543768
2026/08/01@14:17:03,325,3.8118754
2026/08/01@14:17:04,326,3.5308128
2026/08/01@14:17:05,327,3.41250016
2026/08/01@14:17:06,328,3.81018784
2026/08/01@14:17:08,329,3.6712504
2026/08/01@14:17:09,331,3.4179376
2026/08/01@14:17:10,332,3.593813
2026/08/01@14:17:11,333,3.764625
2026/08/01@14:17:12,334,3.9885
2026/08/01@14:17:13,335,3.7805624
2026/08/01@14:17:14,336,3.8251876
2026/08/01@14:17:15,337,3.488625
2026/08/01@14:17:16,338,3.4621876
2026/08/01@14:17:17,339,3.4040628
2026/08/01@14:17:18,340,3.8975624
2026/08/01@14:17:19,341,3.8250004
2026/08/01@14:17:21,343,3.81825032
2026/08/01@14:17:22,344,3.80006268
2026/08/01@14:17:23,345,3.8340004
2026/08/01@14:17:24,346,3.731625
2026/08/01@14:17:25,347,3.56625
2026/08/01@14:17:26,348,3.8649378
2026/08/01@14:17:27,349,3.9097502
2026/08/01@14:17:28,350,3.775875
2026/08/01@14:17:29,351,2.7984376
2026/08/01@14:17:30,352,3.6221252
2026/08/01@14:17:31,353,3.9187504
2026/08/01@14:17:32,354,3.606938
2026/08/01@14:17:34,356,3.8445004
2026/08/01@14:17:35,357,3.8985004
2026/08/01@14:17:36,358,3.5891252
2026/08/01@14:17:37,359,3.54618736
2026/08/01@14:17:38,360,3.68625032
2026/08/01@14:17:39,361,3.66206268
2026/08/01@14:17:40,362,3.9277504
2026/08/01@14:17:41,363,3.58612532
2026/08/01@14:17:42,364,2.7924376
2026/08/01@14:17:43,365,3.3740626
2026/08/01@14:17:44,366,3.9744376
2026/08/01@14:17:46,368,2.8074376
2026/08/01@14:17:47,369,3.9988126
2026/08/01@14:17:48,370,3.828188
2026/08/01@14:17:49,371,3.97631268
2026/08/01@14:17:50,372,3.803625
2026/08/01@14:17:51,373,3.8921252
2026/08/01@14:17:52,374,3.77475
2026/08/01@14:17:53,375,3.86606268
2026/08/01@14:17:54,376,4.0363124
2026/08/01@14:17:55,377,4.0006876
2026/08/01@14:17:56,378,3.85612532
2026/08/01@14:17:57,379,3.8296876
2026/08/01@14:17:59,381,3.7312504
2026/08/01@14:18:00,382,3.70425
2026/08/01@14:18:01,383,3.69750032
2026/08/01@14:18:02,384,3.6026252
2026/08/01@14:18:03,385,3.828
2026/08/01@14:18:04,386,4.0665
2026/08/01@14:18:05,387,4.0698752
2026/08/01@14:18:06,388,4.0276876
2026/08/01@14:18:07,389,4.08225
2026/08/01@14:18:08,390,3.74943768
2026/08/01@14:18:09,391,3.9585004
2026/08/01@14:18:10,392,3.0511876
2026/08/01@14:18:12,394,3.5701876
2026/08/01@14:18:13,395,3.2281876
2026/08/01@14:18:14,396,3.7479376
2026/08/01@14:18:15,397,3.8340004
2026/08/01@14:18:16,398,3.7914376
2026/08/01@14:18:17,399,3.8143124
2026/08/01@14:18:18,400,3.7558126
2026/08/01@14:18:19,401,3.5358754
2026/08/01@14:18:20,402,2.8119376
2026/08/01@14:18:21,403,3.9830628
2026/08/01@14:18:22,404,4.101375
2026/08/01@14:18:23,405,3.819375
2026/08/01@14:18:25,407,3.88743768
2026/08/01@14:18:26,408,3.87168736
2026/08/01@14:18:27,409,3.98025
2026/08/01@14:18:28,410,3.861
2026/08/01@14:18:29,411,3.6541876
2026/08/01@14:18:30,412,2.8033128
2026/08/01@14:18:31,413,3.978375
2026/08/01@14:18:32,414,3.5763752
2026/08/01@14:18:33,415,3.85368768
2026/08/01@14:18:34,416,3.86025032
2026/08/01@14:18:35,417,3.8653128
2026/08/01@14:18:37,419,3.9830628
2026/08/01@14:18:38,420,4.0963124
2026/08/01@14:18:39,421,3.285
2026/08/01@14:18:40,422,3.6080624
2026/08/01@14:18:41,423,3.59568736
2026/08/01@14:18:42,424,3.49143736
2026/08/01@14:18:43,425,3.77775
2026/08/01@14:18:44,426,3.92175
2026/08/01@14:18:45,427,3.943875
2026/08/01@14:18:46,428,3.7125
2026/08/01@14:18:47,429,3.687375
2026/08/01@14:18:48,430,3.91575
2026/08/01@14:18:50,432,3.5889378
2026/08/01@14:18:51,433,3.97781236
2026/08/01@14:18:52,434,3.5510626
2026/08/01@14:18:53,435,3.608625
2026/08/01@14:18:54,436,4.083563
2026/08/01@14:18:55,437,4.017563
2026/08/01@14:18:56,438,3.998625
2026/08/01@14:18:57,439,3.7520628
2026/08/01@14:18:58,440,3.8056876
2026/08/01@14:18:59,441,3.5898752
2026/08/01@14:19:00,442,2.9634376
2026/08/01@14:19:02,444,3.93318768
2026/08/01@14:19:03,445,3.4123128
2026/08/01@14:19:04,446,3.92325032
2026/08/01@14:19:05,447,3.858
2026/08/01@14:19:06,448,3.2949376
2026/08/01@14:19:07,449,3.95025032
2026/08/01@14:19:08,450,3.785625
2026/08/01@14:19:09,451,2.81325
2026/08/01@14:19:10,452,2.8651876
2026/08/01@14:19:11,453,4.160625
2026/08/01@14:19:12,454,4.1002504
2026/08/01@14:19:13,455,3.9618752
2026/08/01@14:19:15,457,3.53343768
2026/08/01@14:19:16,458,3.93618784
2026/08/01@14:19:17,459,3.7974376
2026/08/01@14:19:18,460,3.49237532
2026/08/01@14:19:19,461,3.8619376
2026/08/01@14:19:20,462,3.9834376
2026/08/01@14:19:21,463,3.86306268
2026/08/01@14:19:22,464,3.705
2026/08/01@14:19:23,465,4.1866876
2026/08/01@14:19:24,466,4.158
2026/08/01@14:19:25,467,3.978375
2026/08/01@14:19:26,468,3.8503128
2026/08/01@14:19:28,470,3.4715628
2026/08/01@14:19:29,471,3.4201876
2026/08/01@14:19:30,472,3.8454376
2026/08/01@14:19:31,473,3.9646876
2026/08/01@14:19:32,474,3.9363752
2026/08/01@14:19:33,475,3.81131268
2026/08/01@14:19:34,476,3.8148752
2026/08/01@14:19:35,477,2.8066876
2026/08/01@14:19:36,478,3.741
2026/08/01@14:19:37,479,3.80531268
2026/08/01@14:19:38,480,3.7066876
2026/08/01@14:19:39,481,3.6744376
2026/08/01@14:19:41,483,3.71943768
2026/08/01@14:19:42,484,3.52125032
2026/08/01@14:19:43,485,3.59756268
2026/08/01@14:19:44,486,3.5210628
2026/08/01@14:19:45,487,3.593625
2026/08/01@14:19:46,488,3.89062536
2026/08/01@14:19:47,489,4.1373752
2026/08/01@14:19:48,490,3.864375
2026/08/01@14:19:49,491,3.7854376
2026/08/01@14:19:50,492,4.11075
2026/08/01@14:19:51,493,3.9333752
2026/08/01@14:19:53,495,4.0815
2026/08/01@14:19:54,496,3.74418784
2026/08/01@14:19:55,497,3.68081236
2026/08/01@14:19:56,498,3.9277504
2026/08/01@14:19:57,499,3.82068768
2026/08/01@14:19:58,500,3.67556268
2026/08/01@14:19:59,501,3.7130628
2026/08/01@14:20:00,502,3.666
2026/08/01@14:20:01,503,3.8445004
2026/08/01@14:20:02,504,3.776063
2026/08/01@14:20:03,505,4.086563
2026/08/01@14:20:04,506,4.0884376
2026/08/01@14:20:06,508,4.006875
2026/08/01@14:20:07,509,4.0320004
2026/08/01@14:20:08,510,3.86850016
2026/08/01@14:20:09,511,3.90843768
2026/08/01@14:20:10,512,3.8156252
2026/08/01@14:20:11,513,3.364688
2026/08/01@14:20:12,514,3.67556268
2026/08/01@14:20:13,515,2.8646252
2026/08/01@14:20:14,516,3.6729376
2026/08/01@14:20:15,517,3.62475016
2026/08/01@14:20:16,518,3.81675
2026/08/01@14:20:17,519,3.91256268
2026/08/01@14:20:19,521,3.94331268
2026/08/01@14:20:20,522,3.0463128
2026/08/01@14:20:21,523,3.76406268
2026/08/01@14:20:22,524,3.2746876
2026/08/01@14:20:23,525,3.3243752
2026/08/01@14:20:24,526,3.7329376
2026/08/01@14:20:25,527,3.98118768
2026/08/01@14:20:26,528,3.91256268
2026/08/01@14:20:27,529,3.71943768
2026/08/01@14:20:28,530,3.61500032
2026/08/01@14:20:29,531,4.057875
2026/08/01@14:20:31,533,4.056375
2026/08/01@14:20:32,534,3.794438
2026/08/01@14:20:33,535,3.8641876
2026/08/01@14:20:34,536,3.855375
2026/08/01@14:20:35,537,3.9624376
2026/08/01@14:20:36,538,3.879375
2026/08/01@14:20:37,539,3.81375
2026/08/01@14:20:38,540,3.700688
2026/08/01@14:20:39,541,3.5544376
2026/08/01@14:20:40,542,3.90225
2026/08/01@14:20:41,543,3.8851876
2026/08/01@14:20:42,544,3.6941252
2026/08/01@14:20:44,546,3.1695004
2026/08/01@14:20:45,547,3.6103128
2026/08/01@14:20:46,548,3.84318768
2026/08/01@14:20:47,549,3.794438
2026/08/01@14:20:48,550,2.8128752
2026/08/01@14:20:49,551,3.3811876
2026/08/01@14:20:50,552,3.43725032
2026/08/01@14:20:51,553,3.80175016
2026/08/01@14:20:52,554,3.9151876
2026/08/01@14:20:53,555,3.88275
2026/08/01@14:20:54,556,3.8510628
2026/08/01@14:20:56,558,3.8581876
2026/08/01@14:20:57,559,3.2861252
2026/08/01@14:20:58,560,3.8356876
2026/08/01@14:20:59,561,3.8248124
2026/08/01@14:21:00,562,3.87881236
2026/08/01@14:21:01,563,3.84843768
2026/08/01@14:21:02,564,3.6594376
2026/08/01@14:21:03,565,3.86306268
2026/08/01@14:21:04,566,3.71568768
2026/08/01@14:21:05,567,3.9765
2026/08/01@14:21:06,568,3.6909378
2026/08/01@14:21:07,569,3.74456268
2026/08/01@14:21:09,571,3.64950032
2026/08/01@14:21:10,572,3.84675
2026/08/01@14:21:11,573,3.2347502
2026/08/01@14:21:12,574,3.8690624
2026/08/01@14:21:13,575,3.6517504
2026/08/01@14:21:14,576,4.0267508
2026/08/01@14:21:15,577,4.0548752
2026/08/01@14:21:16,578,4.065188
2026/08/01@14:21:17,579,4.0486876
2026/08/01@14:21:18,580,3.8921252
2026/08/01@14:21:19,581,3.8460002
2026/08/01@14:21:20,582,3.8385
2026/08/01@14:21:22,584,3.8808754
2026/08/01@14:21:23,585,2.7834376
2026/08/01@14:21:24,586,3.99168768
2026/08/01@14:21:25,587,3.996375
2026/08/01@14:21:26,588,3.9346876
2026/08/01@14:21:27,589,3.597
2026/08/01@14:21:28,590,3.007125
2026/08/01@14:21:29,591,3.2833128
2026/08/01@14:21:30,592,3.8578126
2026/08/01@14:21:31,593,3.86325
2026/08/01@14:21:32,594,3.86625
2026/08/01@14:21:34,596,3.840375
2026/08/01@14:21:35,597,3.7850626
2026/08/01@14:21:36,598,3.2118752
2026/08/01@14:21:37,599,3.9256876
2026/08/01@14:21:38,600,3.8340004
2026/08/01@14:21:39,601,3.480375
2026/08/01@14:21:40,602,3.7831874
2026/08/01@14:21:41,603,3.7850626
2026/08/01@14:21:42,604,3.929813
2026/08/01@14:21:43,605,3.3251252
2026/08/01@14:21:44,606,4.05375
2026/08/01@14:21:45,607,3.9920626
2026/08/01@14:21:47,609,3.66618784
2026/08/01@14:21:48,610,3.5926876
2026/08/01@14:21:49,611,3.859688
2026/08/01@14:21:50,612,3.8128128
2026/08/01@14:21:51,613,3.83137532
2026/08/01@14:21:52,614,3.6523124
2026/08/01@14:21:53,615,2.7997504
2026/08/01@14:21:54,616,3.6054376
2026/08/01@14:21:55,617,3.53775
2026/08/01@14:21:56,618,3.95475
2026/08/01@14:21:57,619,3.7141876
2026/08/01@14:21:58,620,3.9530626
2026/08/01@14:22:00,622,4.1677504
2026/08/01@14:22:01,623,4.133813
2026/08/01@14:22:02,624,3.8385
2026/08/01@14:22:03,625,4.1623124
2026/08/01@14:22:04,626,3.82725
2026/08/01@14:22:05,627,3.8105628
2026/08/01@14:22:06,628,3.897
2026/08/01@14:22:07,629,3.91781236
2026/08/01@14:22:08,630,3.7950004
2026/08/01@14:22:09,631,4.2354376
2026/08/01@14:22:10,632,4.1829376
2026/08/01@14:22:12,634,4.156125
2026/08/01@14:22:13,635,4.1366252
2026/08/01@14:22:14,636,3.7201876
2026/08/01@14:22:15,637,3.87018784
2026/08/01@14:22:16,638,2.9641876
2026/08/01@14:22:17,639,2.7885
2026/08/01@14:22:18,640,4.166813
2026/08/01@14:22:19,641,3.9643128
2026/08/01@14:22:20,642,3.9585004
2026/08/01@14:22:21,643,3.90506268
2026/08/01@14:22:22,644,4.1255628
2026/08/01@14:22:23,645,3.3883128
2026/08/01@14:22:25,647,3.7650004
2026/08/01@14:22:26,648,4.0376252
2026/08/01@14:22:27,649,3.569625
2026/08/01@14:22:28,650,4.0603128
2026/08/01@14:22:29,651,4.0672504
2026/08/01@14:22:30,652,3.9877504
2026/08/01@14:22:31,653,3.8640004
2026/08/01@14:22:32,654,3.0855002
2026/08/01@14:22:33,655,3.8930626
2026/08/01@14:22:34,656,3.869625
2026/08/01@14:22:35,657,3.3391876
2026/08/01@14:22:36,658,3.604125
2026/08/01@14:22:38,660,3.6534376
2026/08/01@14:22:39,661,3.8368128
2026/08/01@14:22:40,662,3.6416252
2026/08/01@14:22:41,663,3.6461252
2026/08/01@14:22:42,664,3.9058128
2026/08/01@14:22:43,665,3.468
2026/08/01@14:22:44,666,3.5113128
2026/08/01@14:22:45,667,3.5454376
2026/08/01@14:22:46,668,3.4723128
2026/08/01@14:22:47,669,3.35962532
2026/08/01@14:22:48,670,3.99243768
2026/08/01@14:22:50,672,3.9898128
2026/08/01@14:22:51,673,3.87225
2026/08/01@14:22:52,674,3.8868752
2026/08/01@14:22:53,675,3.8876252
2026/08/01@14:22:54,676,3.87318768
2026/08/01@14:22:55,677,3.4035
2026/08/01@14:22:56,678,3.524625
2026/08/01@14:22:57,679,3.8628752
2026/08/01@14:22:58,680,3.63675
2026/08/01@14:22:59,681,3.86606268
2026/08/01@14:23:00,682,3.80625
2026/08/01@14:23:01,683,3.7991252
2026/08/01@14:23:03,685,3.85743768
2026/08/01@14:23:04,686,2.7761252
2026/08/01@14:23:05,687,2.782875
2026/08/01@14:23:06,688,3.77756268
2026/08/01@14:23:07,689,3.72825
2026/08/01@14:23:08,690,3.510563
2026/08/01@14:23:09,691,3.660375
2026/08/01@14:23:10,692,3.645938
2026/08/01@14:23:11,693,3.68325032
2026/08/01@14:23:12,694,4.098938
2026/08/01@14:23:13,695,3.991125
2026/08/01@14:23:14,696,3.9286876
2026/08/01@14:23:16,698,4.044938
2026/08/01@14:23:17,699,3.2137504
2026/08/01@14:23:18,700,3.87843768
2026/08/01@14:23:19,701,3.83943768
2026/08/01@14:23:20,702,3.559875
2026/08/01@14:23:21,703,3.897375
2026/08/01@14:23:22,704,3.8514376
2026/08/01@14:23:23,705,3.67800032
2026/08/01@14:23:24,706,4.0734376
2026/08/01@14:23:25,707,4.160625
2026/08/01@14:23:26,708,4.134375
2026/08/01@14:23:28,710,4.149375
2026/08/01@14:23:29,711,2.7823126
2026/08/01@14:23:30,712,3.61181236
2026/08/01@14:23:31,713,3.4468126
2026/08/01@14:23:32,714,3.9206252
2026/08/01@14:23:33,715,3.8848128
2026/08/01@14:23:34,716,3.913875
2026/08/01@14:23:35,717,3.9309376
2026/08/01@14:23:36,718,3.7218752
2026/08/01@14:23:37,719,2.7975002
2026/08/01@14:23:38,720,2.9711252
2026/08/01@14:23:39,721,4.0215008
2026/08/01@14:23:41,723,4.246125
2026/08/01@14:23:42,724,4.0850624
2026/08/01@14:23:43,725,3.4258128
2026/08/01@14:23:44,726,3.393
2026/08/01@14:23:45,727,3.90525
2026/08/01@14:23:46,728,3.7565628
2026/08/01@14:23:47,729,3.6133128
2026/08/01@14:23:48,730,3.42825
2026/08/01@14:23:49,731,3.78281236
2026/08/01@14:23:50,732,4.1715
2026/08/01@14:23:51,733,4.132313
2026/08/01@14:23:52,734,4.2045
2026/08/01@14:23:54,736,4.0837504
2026/08/01@14:23:55,737,4.108125
2026/08/01@14:23:56,738,3.729938
2026/08/01@14:23:57,739,3.9268126
2026/08/01@14:23:58,740,4.07175
