datetime,elapsed_s,alcohol
2000/01/02@12:29:04,70,2.9214376
2000/01/02@12:29:05,71,2.9197502
2000/01/02@12:29:06,72,2.917875
2000/01/02@12:29:07,73,2.9161876
2000/01/02@12:29:09,75,2.9150626
2000/01/02@12:29:10,76,2.9128128
2000/01/02@12:29:11,77,2.9111252
2000/01/02@12:29:12,78,2.9090626
2000/01/02@12:29:13,79,2.9066252
2000/01/02@12:29:14,80,2.9051252
2000/01/02@12:29:15,81,2.9032502
2000/01/02@12:29:16,82,2.90175
2000/01/02@12:29:17,83,2.8995002
2000/01/02@12:29:18,84,2.898
2000/01/02@12:29:19,85,2.8961252
2000/01/02@12:29:21,87,2.8944376
2000/01/02@12:29:22,88,2.8933128
2000/01/02@12:29:23,89,2.8920002
2000/01/02@12:29:24,90,2.8906876
2000/01/02@12:29:25,91,2.8891876
2000/01/02@12:29:26,92,2.8880628
2000/01/02@12:29:27,93,2.8867502
2000/01/02@12:29:28,94,2.8860002
2000/01/02@12:29:29,95,2.8856252
2000/01/02@12:29:30,96,2.884875
2000/01/02@12:29:31,97,2.8837502
2000/01/02@12:29:33,99,2.8820624
2000/01/02@12:29:34,100,2.8811252
2000/01/02@12:29:35,101,2.88
2000/01/02@12:29:36,102,2.8790626
2000/01/02@12:29:37,103,2.8781252
2000/01/02@12:29:38,104,2.8777502
2000/01/02@12:29:39,105,2.8764376
2000/01/02@12:29:40,106,2.8762502
2000/01/02@12:29:41,107,2.8755002
2000/01/02@12:29:42,108,2.8745624
2000/01/02@12:29:43,109,2.8738126
2000/01/02@12:29:45,111,2.8728752
2000/01/02@12:29:46,112,2.8719376
2000/01/02@12:29:47,113,2.8711876
2000/01/02@12:29:48,114,2.870625
2000/01/02@12:29:49,115,2.8698752
2000/01/02@12:29:50,116,2.8695002
2000/01/02@12:29:51,117,2.86875
2000/01/02@12:29:52,118,2.86875
2000/01/02@12:29:53,119,2.8676252
2000/01/02@12:29:54,120,2.8670626
2000/01/02@12:29:55,121,2.8659376
2000/01/02@12:29:57,123,2.8655626
2000/01/02@12:29:58,124,2.8642502
2000/01/02@12:29:59,125,2.8640626
2000/01/02@12:30:00,126,2.863125
2000/01/02@12:30:01,127,2.8621876
2000/01/02@12:30:02,128,2.8610626
2000/01/02@12:30:03,129,2.8606878
2000/01/02@12:30:04,130,2.8597502
2000/01/02@12:30:05,131,2.8593752
2000/01/02@12:30:06,132,2.8588126
2000/01/02@12:30:08,134,2.8582502
2000/01/02@12:30:09,135,2.8576876
2000/01/02@12:30:10,136,2.8571252
2000/01/02@12:30:11,137,2.8567502
2000/01/02@12:30:12,138,2.8561876
2000/01/02@12:30:13,139,2.8558126
2000/01/02@12:30:14,140,2.8552502
2000/01/02@12:30:15,141,2.8550628
2000/01/02@12:30:16,142,2.8546876
2000/01/02@12:30:17,143,2.8539376
2000/01/02@12:30:18,144,2.8531876
2000/01/02@12:30:20,146,2.8531876
2000/01/02@12:30:21,147,2.8528128
2000/01/02@12:30:22,148,2.8524376
2000/01/02@12:30:23,149,2.8516876
2000/01/02@12:30:24,150,2.8516876
2000/01/02@12:30:25,151,2.8509376
2000/01/02@12:30:26,152,2.8505626
2000/01/02@12:30:27,153,2.8503752
2000/01/02@12:30:28,154,2.8494376
2000/01/02@12:30:29,155,2.8490628
2000/01/02@12:30:30,156,2.8485
2000/01/02@12:30:32,158,2.848125
2000/01/02@12:30:33,159,2.8477502
2000/01/02@12:30:34,160,2.8473752
2000/01/02@12:30:35,161,2.8470002
2000/01/02@12:30:36,162,2.8470002
2000/01/02@12:30:37,163,2.84625
2000/01/02@12:30:38,164,2.8464376
2000/01/02@12:30:39,165,2.8464376
2000/01/02@12:30:40,166,2.8460626
2000/01/02@12:30:41,167,2.845875
2000/01/02@12:30:42,168,2.8453126
2000/01/02@12:30:44,170,2.8451252
2000/01/02@12:30:45,171,2.8445626
2000/01/02@12:30:46,172,2.8445626
2000/01/02@12:30:47,173,2.8440004
2000/01/02@12:30:48,174,2.843625
2000/01/02@12:30:49,175,2.843625
2000/01/02@12:30:50,176,2.84325
2000/01/02@12:30:51,177,2.8430626
2000/01/02@12:30:52,178,2.8426876
2000/01/02@12:30:53,179,2.8426876
2000/01/02@12:30:55,181,2.8425002
2000/01/02@12:30:56,182,2.8421252
2000/01/02@12:30:57,183,2.8419376
2000/01/02@12:30:58,184,2.841375
2000/01/02@12:30:59,185,2.8411876
2000/01/02@12:31:00,186,2.841
2000/01/02@12:31:01,187,2.840625
2000/01/02@12:31:02,188,2.84025
2000/01/02@12:31:03,189,2.8400626
2000/01/02@12:31:04,190,2.8398752
2000/01/02@12:31:05,191,2.8395002
2000/01/02@12:31:07,193,2.8393126
2000/01/02@12:31:08,194,2.8389378
2000/01/02@12:31:09,195,2.8385628
2000/01/02@12:31:10,196,2.838375
2000/01/02@12:31:11,197,2.8385628
2000/01/02@12:31:12,198,2.8381876
2000/01/02@12:31:13,199,2.8368752
2000/01/02@12:31:14,200,2.8359378
2000/01/02@12:31:15,201,2.8363128
2000/01/02@12:31:16,202,2.8363128
2000/01/02@12:31:17,203,2.83575
2000/01/02@12:31:19,205,2.8361252
2000/01/02@12:31:20,206,2.8351874
2000/01/02@12:31:21,207,2.8348126
2000/01/02@12:31:22,208,2.8346252
2000/01/02@12:31:23,209,2.8342502
2000/01/02@12:31:24,210,2.8342502
2000/01/02@12:31:25,211,2.8336878
2000/01/02@12:31:26,212,2.8333128
2000/01/02@12:31:27,213,2.8333128
2000/01/02@12:31:28,214,2.83275
2000/01/02@12:31:29,215,2.832375
2000/01/02@12:31:31,217,2.83275
2000/01/02@12:31:32,218,2.8325624
2000/01/02@12:31:33,219,2.8325624
2000/01/02@12:31:34,220,2.83275
2000/01/02@12:31:35,221,2.832375
2000/01/02@12:31:36,222,2.832375
2000/01/02@12:31:37,223,2.8318126
2000/01/02@12:31:38,224,2.8316252
2000/01/02@12:31:39,225,2.8320002
2000/01/02@12:31:40,226,2.8316252
2000/01/02@12:31:41,227,2.8314376
2000/01/02@12:31:43,229,2.8310628
2000/01/02@12:31:44,230,2.8308752
2000/01/02@12:31:45,231,2.8310628
2000/01/02@12:31:46,232,2.8308752
2000/01/02@12:31:47,233,2.8308752
2000/01/02@12:31:48,234,2.8303124
2000/01/02@12:31:49,235,2.8299374
2000/01/02@12:31:50,236,2.8303124
2000/01/02@12:31:51,237,2.82975
2000/01/02@12:31:52,238,2.8299374
2000/01/02@12:31:53,239,2.82975
2000/01/02@12:31:55,241,2.8293752
2000/01/02@12:31:56,242,2.8291876
2000/01/02@12:31:57,243,2.8293752
2000/01/02@12:31:58,244,2.829
2000/01/02@12:31:59,245,2.8288126
2000/01/02@12:32:00,246,2.8286252
2000/01/02@12:32:01,247,2.8280628
2000/01/02@12:32:02,248,2.8280628
2000/01/02@12:32:03,249,2.8278752
2000/01/02@12:32:04,250,2.8273124
2000/01/02@12:32:06,251,2.8275
2000/01/02@12:32:07,253,2.8273124
2000/01/02@12:32:08,254,2.8269376
2000/01/02@12:32:09,255,2.8269376
2000/01/02@12:32:10,256,2.8265626
2000/01/02@12:32:11,257,2.8265626
2000/01/02@12:32:12,258,2.8265626
2000/01/02@12:32:13,259,2.8261876
2000/01/02@12:32:14,260,2.826375
2000/01/02@12:32:15,261,2.8258128
2000/01/02@12:32:16,262,2.8260002
2000/01/02@12:32:18,264,2.8258128
2000/01/02@12:32:19,265,2.8252502
2000/01/02@12:32:20,266,2.8254376
2000/01/02@12:32:21,267,2.8254376
2000/01/02@12:32:22,268,2.824875
2000/01/02@12:32:23,269,2.8250624
2000/01/02@12:32:24,270,2.8250624
2000/01/02@12:32:25,271,2.8245
2000/01/02@12:32:26,272,2.8243128
2000/01/02@12:32:27,273,2.8243128
2000/01/02@12:32:28,274,2.8239376
2000/01/02@12:32:30,276,2.82375
2000/01/02@12:32:31,277,2.8233752
2000/01/02@12:32:32,278,2.8231878
2000/01/02@12:32:33,279,2.8231878
2000/01/02@12:32:34,280,2.8230002
2000/01/02@12:32:35,281,2.8233752
2000/01/02@12:32:36,282,2.8226252
2000/01/02@12:32:37,283,2.8228126
2000/01/02@12:32:38,284,2.8224376
2000/01/02@12:32:39,285,2.821875
2000/01/02@12:32:40,286,2.821875
2000/01/02@12:32:42,288,2.821875
2000/01/02@12:32:43,289,2.8216876
2000/01/02@12:32:44,290,2.821875
2000/01/02@12:32:45,291,2.821875
2000/01/02@12:32:46,292,2.8215
2000/01/02@12:32:47,293,2.8216876
2000/01/02@12:32:48,294,2.8216876
2000/01/02@12:32:49,295,2.8213126
2000/01/02@12:32:50,296,2.8213126
2000/01/02@12:32:51,297,2.8215
2000/01/02@12:32:52,298,2.8213126
2000/01/02@12:32:54,300,2.8209376
2000/01/02@12:32:55,301,2.821125
2000/01/02@12:32:56,302,2.8209376
2000/01/02@12:32:57,303,2.8207502
2000/01/02@12:32:58,304,2.8207502
2000/01/02@12:32:59,305,2.8207502
2000/01/02@12:33:00,306,2.8205628
2000/01/02@12:33:01,307,2.8203752
2000/01/02@12:33:02,308,2.8201876
2000/01/02@12:33:03,309,2.8201876
2000/01/02@12:33:05,310,2.8198126
2000/01/02@12:33:06,312,2.8198126
2000/01/02@12:33:07,313,2.8198126
2000/01/02@12:33:08,314,2.81925
2000/01/02@12:33:09,315,2.8194376
2000/01/02@12:33:10,316,2.8198126
2000/01/02@12:33:11,317,2.8190628
2000/01/02@12:33:12,318,2.8194376
2000/01/02@12:33:13,319,2.81925
2000/01/02@12:33:14,320,2.81925
2000/01/02@12:33:15,321,2.81925
2000/01/02@12:33:17,323,2.81925
2000/01/02@12:33:18,324,2.8190628
2000/01/02@12:33:19,325,2.8185
2000/01/02@12:33:20,326,2.8185
2000/01/02@12:33:21,327,2.8186876
2000/01/02@12:33:22,328,2.8183126
2000/01/02@12:33:23,329,2.8181252
2000/01/02@12:33:24,330,2.8181252
2000/01/02@12:33:25,331,2.8183126
2000/01/02@12:33:26,332,2.8181252
2000/01/02@12:33:27,333,2.8181252
2000/01/02@12:33:29,335,2.8179376
2000/01/02@12:33:30,336,2.8181252
2000/01/02@12:33:31,337,2.8175626
2000/01/02@12:33:32,338,2.8177502
2000/01/02@12:33:33,339,2.8179376
2000/01/02@12:33:34,340,2.8177502
2000/01/02@12:33:35,341,2.8175626
2000/01/02@12:33:36,342,2.8171876
2000/01/02@12:33:37,343,2.8171876
2000/01/02@12:33:38,344,2.8173752
2000/01/02@12:33:39,345,2.8170002
2000/01/02@12:33:41,347,2.8170002
2000/01/02@12:33:42,348,2.8168124
2000/01/02@12:33:43,349,2.8168124
2000/01/02@12:33:44,350,2.816625
2000/01/02@12:33:45,351,2.8164378
2000/01/02@12:33:46,352,2.8164378
2000/01/02@12:33:47,353,2.8164378
2000/01/02@12:33:48,354,2.8164378
2000/01/02@12:33:49,355,2.8164378
2000/01/02@12:33:50,356,2.81625
2000/01/02@12:33:51,357,2.81625
2000/01/02@12:33:53,359,2.81625
2000/01/02@12:33:54,360,2.815875
2000/01/02@12:33:55,361,2.8160628
2000/01/02@12:33:56,362,2.8155002
2000/01/02@12:33:57,363,2.815875
2000/01/02@12:33:58,364,2.81625
2000/01/02@12:33:59,365,2.815875
2000/01/02@12:34:00,366,2.815875
2000/01/02@12:34:01,367,2.815875
2000/01/02@12:34:02,368,2.8156876
2000/01/02@12:34:03,369,2.8155002
2000/01/02@12:34:05,371,2.8155002
2000/01/02@12:34:06,372,2.815875
2000/01/02@12:34:07,373,2.8156876
2000/01/02@12:34:08,374,2.8153126
2000/01/02@12:34:09,375,2.8156876
2000/01/02@12:34:10,376,2.8155002
2000/01/02@12:34:11,377,2.8156876
2000/01/02@12:34:12,378,2.8147502
2000/01/02@12:34:13,379,2.8153126
2000/01/02@12:34:14,380,2.8153126
2000/01/02@12:34:15,381,2.8153126
2000/01/02@12:34:17,383,2.8151252
2000/01/02@12:34:18,384,2.8153126
2000/01/02@12:34:19,385,2.8151252
2000/01/02@12:34:20,386,2.8149376
2000/01/02@12:34:21,387,2.8149376
2000/01/02@12:34:22,388,2.8145626
2000/01/02@12:34:23,389,2.8143752
2000/01/02@12:34:24,390,2.8147502
2000/01/02@12:34:25,391,2.8147502
2000/01/02@12:34:26,392,2.8147502
2000/01/02@12:34:28,394,2.8145626
2000/01/02@12:34:29,395,2.8141876
2000/01/02@12:34:30,396,2.8141876
2000/01/02@12:34:31,397,2.8145626
2000/01/02@12:34:32,398,2.8141876
2000/01/02@12:34:33,399,2.8145626
2000/01/02@12:34:34,400,2.8145626
2000/01/02@12:34:35,401,2.8143752
2000/01/02@12:34:36,402,2.8141876
2000/01/02@12:34:37,403,2.8143752
2000/01/02@12:34:38,404,2.8141876
2000/01/02@12:34:40,406,2.8140002
2000/01/02@12:34:41,407,2.8138128
2000/01/02@12:34:42,408,2.8134376
2000/01/02@12:34:43,409,2.8138128
2000/01/02@12:34:44,410,2.8138128
2000/01/02@12:34:45,411,2.8138128
2000/01/02@12:34:46,412,2.8138128
2000/01/02@12:34:47,413,2.8130626
2000/01/02@12:34:48,414,2.813625
2000/01/02@12:34:49,415,2.8126876
2000/01/02@12:34:50,416,2.81325
2000/01/02@12:34:52,418,2.8128752
2000/01/02@12:34:53,419,2.8130626
2000/01/02@12:34:54,420,2.81325
2000/01/02@12:34:55,421,2.8128752
2000/01/02@12:34:56,422,2.8128752
2000/01/02@12:34:57,423,2.8126876
2000/01/02@12:34:58,424,2.8128752
2000/01/02@12:34:59,425,2.8123126
2000/01/02@12:35:00,426,2.8123126
2000/01/02@12:35:01,427,2.8126876
2000/01/02@12:35:02,428,2.8123126
2000/01/02@12:35:04,430,2.8125002
2000/01/02@12:35:05,431,2.8121252
2000/01/02@12:35:06,432,2.8115626
2000/01/02@12:35:07,433,2.8123126
2000/01/02@12:35:08,434,2.81175
2000/01/02@12:35:09,435,2.8121252
2000/01/02@12:35:10,436,2.8121252
2000/01/02@12:35:11,437,2.81175
2000/01/02@12:35:12,438,2.8115626
2000/01/02@12:35:13,439,2.81175
2000/01/02@12:35:14,440,2.81175
2000/01/02@12:35:16,442,2.81175
2000/01/02@12:35:17,443,2.8113752
2000/01/02@12:35:18,444,2.8115626
2000/01/02@12:35:19,445,2.8113752
2000/01/02@12:35:20,446,2.81175
2000/01/02@12:35:21,447,2.811
2000/01/02@12:35:22,448,2.8113752
2000/01/02@12:35:23,449,2.81175
2000/01/02@12:35:24,450,2.8111878
2000/01/02@12:35:25,451,2.8111878
2000/01/02@12:35:27,453,2.8111878
2000/01/02@12:35:28,454,2.811
2000/01/02@12:35:29,455,2.8113752
2000/01/02@12:35:30,456,2.8104376
2000/01/02@12:35:31,457,2.8104376
2000/01/02@12:35:32,458,2.811
2000/01/02@12:35:33,459,2.8102504
2000/01/02@12:35:34,460,2.8102504
2000/01/02@12:35:35,461,2.8108128
2000/01/02@12:35:36,462,2.810625
2000/01/02@12:35:37,463,2.8108128
2000/01/02@12:35:39,465,2.8104376
2000/01/02@12:35:40,466,2.8108128
2000/01/02@12:35:41,467,2.810625
2000/01/02@12:35:42,468,2.811
2000/01/02@12:35:43,469,2.8102504
2000/01/02@12:35:44,470,2.8108128
2000/01/02@12:35:45,471,2.8104376
2000/01/02@12:35:46,472,2.8108128
2000/01/02@12:35:47,473,2.8108128
2000/01/02@12:35:48,474,2.8104376
2000/01/02@12:35:49,475,2.8102504
2000/01/02@12:35:51,477,2.8098752
2000/01/02@12:35:52,478,2.8100626
2000/01/02@12:35:53,479,2.8096876
2000/01/02@12:35:54,480,2.810625
2000/01/02@12:35:55,481,2.810625
2000/01/02@12:35:56,482,2.8100626
2000/01/02@12:35:57,483,2.811
2000/01/02@12:35:58,484,2.8108128
2000/01/02@12:35:59,485,2.8102504
2000/01/02@12:36:00,486,2.809125
2000/01/02@12:36:01,487,2.8104376
2000/01/02@12:36:03,489,2.8104376
2000/01/02@12:36:04,490,2.8098752
2000/01/02@12:36:05,491,2.8098752
2000/01/02@12:36:06,492,2.8100626
2000/01/02@12:36:07,493,2.8100626
2000/01/02@12:36:08,494,2.8100626
2000/01/02@12:36:09,495,2.8096876
2000/01/02@12:36:10,496,2.809125
2000/01/02@12:36:11,497,2.8093126
2000/01/02@12:36:12,498,2.8096876
2000/01/02@12:36:13,499,2.809125
2000/01/02@12:36:15,501,2.8095002
2000/01/02@12:36:16,502,2.8089376
2000/01/02@12:36:17,503,2.8093126
2000/01/02@12:36:18,504,2.8089376
2000/01/02@12:36:19,505,2.8087502
2000/01/02@12:36:20,506,2.8089376
2000/01/02@12:36:21,507,2.8093126
2000/01/02@12:36:22,508,2.8089376
2000/01/02@12:36:23,509,2.8087502
2000/01/02@12:36:24,510,2.8089376
2000/01/02@12:36:26,512,2.8085628
2000/01/02@12:36:27,513,2.8095002
2000/01/02@12:36:28,514,2.8087502
2000/01/02@12:36:29,515,2.8089376
2000/01/02@12:36:30,516,2.809125
2000/01/02@12:36:31,517,2.8087502
2000/01/02@12:36:32,518,2.8083752
2000/01/02@12:36:33,519,2.808
2000/01/02@12:36:34,520,2.8081876
2000/01/02@12:36:35,521,2.8081876
2000/01/02@12:36:36,522,2.8081876
2000/01/02@12:36:38,524,2.8078128
2000/01/02@12:36:39,525,2.8078128
2000/01/02@12:36:40,526,2.8081876
2000/01/02@12:36:41,527,2.808
2000/01/02@12:36:42,528,2.808
2000/01/02@12:36:43,529,2.8078128
2000/01/02@12:36:44,530,2.8076252
2000/01/02@12:36:45,531,2.8074376
2000/01/02@12:36:46,532,2.8074376
2000/01/02@12:36:47,533,2.8076252
2000/01/02@12:36:48,534,2.808
2000/01/02@12:36:50,536,2.8081876
2000/01/02@12:36:51,537,2.8072502
2000/01/02@12:36:52,538,2.8078128
2000/01/02@12:36:53,539,2.8076252
2000/01/02@12:36:54,540,2.8078128
2000/01/02@12:36:55,541,2.8078128
2000/01/02@12:36:56,542,2.8074376
2000/01/02@12:36:57,543,2.8076252
2000/01/02@12:36:58,544,2.808
2000/01/02@12:36:59,545,2.808
2000/01/02@12:37:00,546,2.808
2000/01/02@12:37:02,548,2.8074376
2000/01/02@12:37:03,549,2.8076252
2000/01/02@12:37:04,550,2.8076252
2000/01/02@12:37:05,551,2.8076252
2000/01/02@12:37:06,552,2.8076252
2000/01/02@12:37:07,553,2.8074376
2000/01/02@12:37:08,554,2.8066876
2000/01/02@12:37:09,555,2.8066876
2000/01/02@12:37:10,556,2.8065
2000/01/02@12:37:11,557,2.8070626
2000/01/02@12:37:13,558,2.8066876
2000/01/02@12:37:14,560,2.806875
2000/01/02@12:37:15,561,2.8074376
2000/01/02@12:37:16,562,2.8070626
2000/01/02@12:37:17,563,2.8072502
2000/01/02@12:37:18,564,2.806875
2000/01/02@12:37:19,565,2.8065
2000/01/02@12:37:20,566,2.806875
2000/01/02@12:37:21,567,2.806875
2000/01/02@12:37:22,568,2.8066876
2000/01/02@12:37:23,569,2.8066876
2000/01/02@12:37:25,571,2.8070626
2000/01/02@12:37:26,572,2.8061252
2000/01/02@12:37:27,573,2.806875
2000/01/02@12:37:28,574,2.806875
2000/01/02@12:37:29,575,2.8065
2000/01/02@12:37:30,576,2.8065
2000/01/02@12:37:31,577,2.8070626
2000/01/02@12:37:32,578,2.806875
2000/01/02@12:37:33,579,2.8066876
2000/01/02@12:37:34,580,2.8066876
2000/01/02@12:37:35,581,2.8065
2000/01/02@12:37:37,583,2.8070626
2000/01/02@12:37:38,584,2.8057502
2000/01/02@12:37:39,585,2.8070626
2000/01/02@12:37:40,586,2.8065
2000/01/02@12:37:41,587,2.8059378
2000/01/02@12:37:42,588,2.8059378
2000/01/02@12:37:43,589,2.8063126
2000/01/02@12:37:44,590,2.8055624
2000/01/02@12:37:45,591,2.8063126
2000/01/02@12:37:46,592,2.8057502
2000/01/02@12:37:47,593,2.8059378
2000/01/02@12:37:49,595,2.8057502
2000/01/02@12:37:50,596,2.8057502
2000/01/02@12:37:51,597,2.8059378
2000/01/02@12:37:52,598,2.8063126
2000/01/02@12:37:53,599,2.8061252
2000/01/02@12:37:54,600,2.8063126
2000/01/02@12:37:55,601,2.8055624
2000/01/02@12:37:56,602,2.8061252
2000/01/02@12:37:57,603,2.8059378
2000/01/02@12:37:58,604,2.8063126
2000/01/02@12:37:59,605,2.8061252
2000/01/02@12:38:01,607,2.8063126
2000/01/02@12:38:02,608,2.8061252
2000/01/02@12:38:03,609,2.8065
2000/01/02@12:38:04,610,2.8057502
2000/01/02@12:38:05,611,2.8055624
2000/01/02@12:38:06,612,2.8055624
2000/01/02@12:38:07,613,2.8061252
2000/01/02@12:38:08,614,2.805375
2000/01/02@12:38:09,615,2.8059378
2000/01/02@12:38:10,616,2.8051876
2000/01/02@12:38:11,617,2.8055624
2000/01/02@12:38:13,619,2.8057502
2000/01/02@12:38:14,620,2.8061252
2000/01/02@12:38:15,621,2.8051876
2000/01/02@12:38:16,622,2.8059378
2000/01/02@12:38:17,623,2.8050004
2000/01/02@12:38:18,624,2.8055624
2000/01/02@12:38:19,625,2.8050004
2000/01/02@12:38:20,626,2.8050004
2000/01/02@12:38:21,627,2.8044376
2000/01/02@12:38:22,628,2.8044376
2000/01/02@12:38:24,630,2.80425
2000/01/02@12:38:25,631,2.8044376
2000/01/02@12:38:26,632,2.8044376
2000/01/02@12:38:27,633,2.80425
2000/01/02@12:38:28,634,2.8050004
2000/01/02@12:38:29,635,2.8044376
2000/01/02@12:38:30,636,2.8046252
2000/01/02@12:38:31,637,2.8040626
2000/01/02@12:38:32,638,2.8050004
2000/01/02@12:38:33,639,2.8040626
2000/01/02@12:38:34,640,2.8050004
2000/01/02@12:38:36,642,2.8051876
2000/01/02@12:38:37,643,2.8050004
2000/01/02@12:38:38,644,2.8050004
2000/01/02@12:38:39,645,2.8044376
2000/01/02@12:38:40,646,2.80425
2000/01/02@12:38:41,647,2.8048126
2000/01/02@12:38:42,648,2.8050004
2000/01/02@12:38:43,649,2.80425
2000/01/02@12:38:44,650,2.8046252
2000/01/02@12:38:45,651,2.8048126
2000/01/02@12:38:46,652,2.8044376
2000/01/02@12:38:48,654,2.8048126
2000/01/02@12:38:49,655,2.8044376
2000/01/02@12:38:50,656,2.80425
2000/01/02@12:38:51,657,2.80425
2000/01/02@12:38:52,658,2.8040626
2000/01/02@12:38:53,659,2.8048126
2000/01/02@12:38:54,660,2.8036876
2000/01/02@12:38:55,661,2.8044376
2000/01/02@12:38:56,662,2.803875
2000/01/02@12:38:57,663,2.80425
2000/01/02@12:38:58,664,2.8035002
2000/01/02@12:39:00,666,2.80425
2000/01/02@12:39:01,667,2.8036876
2000/01/02@12:39:02,668,2.8033128
2000/01/02@12:39:03,669,2.8033128
2000/01/02@12:39:04,670,2.8040626
2000/01/02@12:39:05,671,2.8036876
2000/01/02@12:39:06,672,2.8035002
2000/01/02@12:39:07,673,2.8036876
2000/01/02@12:39:08,674,2.80425
2000/01/02@12:39:09,675,2.8036876
2000/01/02@12:39:10,676,2.8035002
2000/01/02@12:39:12,678,2.8036876
2000/01/02@12:39:13,679,2.803875
2000/01/02@12:39:14,680,2.8033128
2000/01/02@12:39:15,681,2.8031252
2000/01/02@12:39:16,682,2.8035002
2000/01/02@12:39:17,683,2.8036876
2000/01/02@12:39:18,684,2.8040626
2000/01/02@12:39:19,685,2.8035002
2000/01/02@12:39:20,686,2.803875
2000/01/02@12:39:21,687,2.8036876
2000/01/02@12:39:23,688,2.8031252
2000/01/02@12:39:24,690,2.803875
2000/01/02@12:39:25,691,2.8035002
2000/01/02@12:39:26,692,2.803875
2000/01/02@12:39:27,693,2.8035002
2000/01/02@12:39:28,694,2.8035002
2000/01/02@12:39:29,695,2.8029376
2000/01/02@12:39:30,696,2.8040626
2000/01/02@12:39:31,697,2.8029376
2000/01/02@12:39:32,698,2.8029376
2000/01/02@12:39:33,699,2.8033128
2000/01/02@12:39:35,701,2.80275
2000/01/02@12:39:36,702,2.803875
2000/01/02@12:39:37,703,2.8029376
2000/01/02@12:39:38,704,2.8029376
2000/01/02@12:39:39,705,2.8031252
2000/01/02@12:39:40,706,2.8033128
2000/01/02@12:39:41,707,2.80275
2000/01/02@12:39:42,708,2.8031252
2000/01/02@12:39:43,709,2.8025628
2000/01/02@12:39:44,710,2.8033128
2000/01/02@12:39:45,711,2.80275
2000/01/02@12:39:47,713,2.8029376
2000/01/02@12:39:48,714,2.8025628
2000/01/02@12:39:49,715,2.80275
2000/01/02@12:39:50,716,2.8025628
2000/01/02@12:39:51,717,2.80275
2000/01/02@12:39:52,718,2.80275
2000/01/02@12:39:53,719,2.8031252
2000/01/02@12:39:54,720,2.80275
2000/01/02@12:39:55,721,2.80275
2000/01/02@12:39:56,722,2.80275
2000/01/02@12:39:57,723,2.8031252
2000/01/02@12:39:59,725,2.8033128
2000/01/02@12:40:00,726,2.80275
2000/01/02@12:40:01,727,2.8025628
2000/01/02@12:40:02,728,2.8033128
2000/01/02@12:40:03,729,2.8033128
2000/01/02@12:40:04,730,2.8023752
2000/01/02@12:40:05,731,2.8023752
2000/01/02@12:40:06,732,2.80275
2000/01/02@12:40:07,733,2.8031252
2000/01/02@12:40:08,734,2.8023752
2000/01/02@12:40:09,735,2.802
2000/01/02@12:40:11,737,2.80275
2000/01/02@12:40:12,738,2.8023752
2000/01/02@12:40:13,739,2.80275
2000/01/02@12:40:14,740,2.8025628
