datetime,elapsed_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,Elevation_m
2026/08/01@12:30:47,23943,-0.238769532,0.9663086,0.231445316,-1.7480916,0.9847328,-1.4274809,570.3333333333334
2026/08/01@12:30:48,23944,-0.24145508,0.963134768,0.23339844,-1.6564885,1.3053435,-1.0534351,574.0
2026/08/01@12:30:50,23946,-0.238769532,0.9663086,0.23608398,-1.480916,1.2671756,-0.99236643,581.3333333333334
2026/08/01@12:30:51,23947,-0.2421875,0.96484376,0.237548832,-1.5343511,1.1068702,-1.1526718,585.0
2026/08/01@12:30:52,23948,-0.238769532,0.963134768,0.24121094,-1.5343511,1.259542,-1.2366412,588.6666666666666
2026/08/01@12:30:53,23949,-0.238525392,0.9638672,0.237304684,-1.94656492,0.8015267,-1.4351145,592.3333333333334
2026/08/01@12:30:54,23950,-0.23950196,0.965332032,0.23291016,-1.72519084,1.091603,-0.9160305,596.0
2026/08/01@12:30:55,23951,-0.239013668,0.9609375,0.2290039,-1.3664122,1.1221374,-1.1603054,599.6666666666666
2026/08/01@12:30:56,23952,-0.24121094,0.963134768,0.230712892,-1.7480916,1.038168,-1.2900764,603.3333333333334
2026/08/01@12:30:57,23953,-0.24194336,0.95751952,0.2290039,-1.6564885,1.129771,-1.3206106,607.0
2026/08/01@12:30:58,23954,-0.238769532,0.9633789,0.23486328,-1.81679384,1.1526718,-1.0305344,610.6666666666666
2026/08/01@12:31:00,23956,-0.239013668,0.96606448,0.22485352,-1.68702284,1.0305344,-1.1908396,618.0
2026/08/01@12:31:01,23957,-0.237548832,0.96606448,0.230224616,-2.0839694,1.1603054,-1.3358779,621.6666666666666
2026/08/01@12:31:02,23958,-0.23608398,0.96484376,0.230712892,-1.7328244,1.0839695,-1.1984733,625.3333333333334
2026/08/01@12:31:03,23959,-0.24145508,0.9638672,0.2355957,-1.778626,1.0458015,-1.1145039,629.0
2026/08/01@12:31:04,23960,-0.24145508,0.9609375,0.23535156,-1.7099236,1.0458015,-1.1603054,633.1935483870968
2026/08/01@12:31:05,23961,-0.2409668,0.9614258,0.2319336,-1.5648855,0.90076332,-1.2137405,637.3870967741935
2026/08/01@12:31:06,23962,-0.24023438,0.9626465,0.24169922,-1.740458,0.9465649,-1.29771,641.5806451612904
2026/08/01@12:31:07,23963,-0.2409668,0.9645996,0.2241211,-1.5877863,1.2366412,-1.1832061,645.7741935483871
2026/08/01@12:31:08,23964,-0.24047852,0.9663086,0.237304684,-1.5801526,1.2061069,-1.1908396,649.9677419354839
2026/08/01@12:31:09,23965,-0.24267578,0.9616699,0.23413086,-1.6335878,1.0534351,-1.3282443,654.1612903225806
2026/08/01@12:31:11,23967,-0.238037108,0.95947268,0.23608398,-1.7480916,1.0458015,-1.5114504,662.5483870967741
2026/08/01@12:31:12,23968,-0.24072266,0.9645996,0.23242188,-1.6412214,0.90839692,-1.221374,666.741935483871
2026/08/01@12:31:13,23969,-0.2409668,0.96362308,0.23168946,-1.7557252,1.1145039,-1.3206106,670.9354838709678
2026/08/01@12:31:14,23970,-0.24169922,0.96655272,0.23413086,-1.6564885,1.1832061,-1.091603,675.1290322580645
2026/08/01@12:31:15,23971,-0.23999024,0.9614258,0.23486328,-1.7633588,1.0992366,-1.0229008,679.3225806451613
2026/08/01@12:31:16,23972,-0.237548832,0.9626465,0.231201168,-1.8396946,1.1908396,-1.2519084,683.516129032258
2026/08/01@12:31:17,23973,-0.2434082,0.9626465,0.23339844,-1.740458,1.129771,-0.8778626,687.7096774193549
2026/08/01@12:31:18,23974,-0.2434082,0.96606448,0.231445316,-1.740458,1.0076336,-1.2748091,691.9032258064516
2026/08/01@12:31:19,23975,-0.238525392,0.9614258,0.23608398,-1.4885496,1.1374046,-1.0763359,696.0967741935484
2026/08/01@12:31:21,23977,-0.2355957,0.961181632,0.2355957,-1.4656489,0.9694657,-1.2290076,704.483870967742
2026/08/01@12:31:22,23978,-0.239257808,0.9614258,0.231445316,-1.6564885,1.2366412,-1.3358779,708.6774193548387
2026/08/01@12:31:23,23979,-0.24047852,0.961181632,0.23608398,-1.82442752,0.8854962,-1.5038168,712.8709677419355
2026/08/01@12:31:24,23980,-0.24072266,0.9663086,0.23510742,-1.7633588,1.0763359,-1.0152671,717.0645161290322
2026/08/01@12:31:25,23981,-0.246582032,0.9650879,0.230712892,-1.81679384,0.961832064,-1.3969466,721.258064516129
2026/08/01@12:31:26,23982,-0.24194336,0.9614258,0.23583984,-1.6717557,0.86259544,-1.2824427,725.4516129032259
2026/08/01@12:31:27,23983,-0.239257808,0.963134768,0.239257808,-1.6335878,0.9847328,-1.0839695,729.6451612903226
2026/08/01@12:31:28,23984,-0.24267578,0.9614258,0.234375,-1.5114504,0.9541985,-1.3129771,733.8387096774194
2026/08/01@12:31:29,23985,-0.2421875,0.9626465,0.22973633,-1.4198474,1.3740458,-1.2137405,738.0322580645161
2026/08/01@12:31:30,23986,-0.23950196,0.9645996,0.23657226,-1.480916,1.0763359,-1.1374046,742.2258064516129
2026/08/01@12:31:32,23988,-0.23632812,0.96435544,0.237304684,-1.740458,1.1526718,-1.2061069,750.6129032258065
2026/08/01@12:31:33,23989,-0.238769532,0.9602051,0.23535156,-1.610687,1.091603,-1.3969466,754.8064516129032
2026/08/01@12:31:34,23990,-0.238769532,0.96362308,0.23583984,-1.80152668,1.2137405,-0.8854962,759.0
2026/08/01@12:31:35,23991,-0.2409668,0.9667969,0.23266602,-1.5877863,1.2671756,-1.1068702,763.0333333333333
2026/08/01@12:31:36,23992,-0.24316406,0.967041,0.22705078,-1.5954199,1.0076336,-1.1755725,767.0666666666667
2026/08/01@12:31:37,23993,-0.23583984,0.9626465,0.2277832,-1.8931298,1.351145,-1.5954199,771.1
2026/08/01@12:31:38,23994,-0.24047852,0.9655762,0.237548832,-1.5572519,1.0,-1.1145039,775.1333333333333
2026/08/01@12:31:39,23995,-0.23608398,0.9604492,0.234375,-1.4351145,1.3282443,-1.3740458,779.1666666666666
2026/08/01@12:31:40,23996,-0.24291992,0.96362308,0.2319336,-1.3358779,1.1068702,-1.0458015,783.2
2026/08/01@12:31:42,23997,-0.238525392,0.95947268,0.23657226,-1.7633588,1.2290076,-1.3969466,791.2666666666667
2026/08/01@12:31:43,23999,-0.239257808,0.96484376,0.23242188,-1.7557252,1.0763359,-1.1374046,795.3
2026/08/01@12:31:44,24000,-0.2434082,0.9658203,0.231201168,-1.7099236,0.8854962,-0.9312977,799.3333333333334
2026/08/01@12:31:45,24001,-0.239013668,0.961181632,0.23706054,-1.69465652,1.3206106,-1.2671756,803.3666666666667
2026/08/01@12:31:46,24002,-0.24047852,0.967041,0.231445316,-1.648855,0.9541985,-1.6335878,807.4
2026/08/01@12:31:47,24003,-0.24243164,0.9626465,0.231445316,-1.8396946,1.1068702,-1.0076336,811.4333333333333
2026/08/01@12:31:48,24004,-0.24145508,0.9641113,0.2331543,-1.778626,1.0,-1.3816794,815.4666666666667
2026/08/01@12:31:49,24005,-0.24291992,0.965332032,0.230224616,-1.2671756,1.1374046,-1.519084,819.5
2026/08/01@12:31:50,24006,-0.237548832,0.967285168,0.22851562,-1.70229,0.90839692,-1.3053435,823.5333333333333
2026/08/01@12:31:51,24007,-0.239257808,0.963134768,0.23461914,-1.69465652,1.0458015,-1.1374046,827.5666666666666
2026/08/01@12:31:53,24009,-0.237548832,0.96606448,0.22827148,-1.8473282,1.1755725,-1.3206106,835.6333333333333
2026/08/01@12:31:54,24010,-0.238281252,0.9645996,0.237304684,-1.79389316,1.0687023,-1.0687023,839.6666666666666
2026/08/01@12:31:55,24011,-0.24316406,0.965332032,0.22680664,-1.88549616,1.2290076,-1.2290076,843.7
2026/08/01@12:31:56,24012,-0.24145508,0.965332032,0.230957032,-1.6641221,1.0763359,-1.4351145,847.7333333333333
2026/08/01@12:31:57,24013,-0.24047852,0.961181632,0.23339844,-1.6564885,1.167939,-1.1221374,851.7666666666667
2026/08/01@12:31:58,24014,-0.237792976,0.9667969,0.23388672,-1.6183206,1.1984733,-1.5114504,855.8
2026/08/01@12:31:59,24015,-0.239257808,0.96240232,0.2368164,-1.7709924,1.1908396,-1.1908396,859.8333333333334
2026/08/01@12:32:00,24016,-0.239013668,0.9638672,0.2409668,-1.6641221,1.2366412,-1.1221374,863.8666666666667
2026/08/01@12:32:01,24017,-0.23999024,0.96191408,0.22485352,-1.6793894,1.1374046,-1.2824427,867.9
2026/08/01@12:32:03,24019,-0.23999024,0.96191408,0.230712892,-1.5648855,1.1908396,-1.1145039,875.9666666666667
2026/08/01@12:32:04,24020,-0.2421875,0.96240232,0.231201168,-1.870229,1.2824427,-1.167939,880.0
2026/08/01@12:32:05,24021,-0.237548832,0.9667969,0.22973633,-1.82442752,1.1374046,-1.1068702,884.0
2026/08/01@12:32:06,24022,-0.238769532,0.9650879,0.230957032,-1.7099236,1.2061069,-1.3816794,888.0
2026/08/01@12:32:07,24023,-0.24072266,0.9614258,0.238281252,-1.72519084,1.0458015,-1.0992366,892.0
2026/08/01@12:32:08,24024,-0.238037108,0.9667969,0.230957032,-1.6793894,1.3282443,-1.2519084,896.0
2026/08/01@12:32:09,24025,-0.237792976,0.9602051,0.231201168,-1.6564885,1.0687023,-1.1908396,900.0
2026/08/01@12:32:10,24026,-0.239257808,0.9641113,0.230468752,-1.81679384,1.4580153,-1.2748091,904.0
2026/08/01@12:32:11,24027,-0.2409668,0.9633789,0.24169922,-1.8625954,0.977099264,-1.0992366,908.0
2026/08/01@12:32:13,24028,-0.24267578,0.9650879,0.23339844,-1.7557252,1.2519084,-1.29771,916.0
2026/08/01@12:32:14,24030,-0.2397461,0.9638672,0.23217774,-1.68702284,1.1221374,-1.2442748,920.0
2026/08/01@12:32:15,24031,-0.237304684,0.9645996,0.2319336,-1.9389314,0.83206104,-1.2290076,924.0
2026/08/01@12:32:16,24032,-0.24072266,0.96606448,0.23388672,-1.5725191,1.038168,-1.4122137,928.0
2026/08/01@12:32:17,24033,-0.24438476,0.96191408,0.2355957,-1.7633588,1.091603,-1.2519084,932.0
2026/08/01@12:32:18,24034,-0.238769532,0.9658203,0.22851562,-1.6335878,0.9160305,-1.3206106,936.0
2026/08/01@12:32:19,24035,-0.24072266,0.9641113,0.2355957,-1.6717557,1.1068702,-1.0229008,940.0
2026/08/01@12:32:20,24036,-0.24145508,0.9562988,0.234375,-1.5648855,0.9389313,-1.0152671,944.0
2026/08/01@12:32:21,24037,-0.24145508,0.96484376,0.2277832,-1.7328244,1.1221374,-1.2824427,948.0
2026/08/01@12:32:22,24038,-0.24169922,0.9658203,0.24121094,-1.778626,1.1068702,-1.1984733,952.0
2026/08/01@12:32:24,24040,-0.23657226,0.95751952,0.22729492,-1.71755732,1.0458015,-0.9847328,960.0
2026/08/01@12:32:25,24041,-0.24316406,0.96484376,0.2290039,-1.5496184,1.0229008,-1.1450381,964.0
2026/08/01@12:32:26,24042,-0.238769532,0.9641113,0.23217774,-1.4580153,1.1526718,-1.1908396,968.0
2026/08/01@12:32:27,24043,-0.23950196,0.9604492,0.238037108,-1.68702284,1.2366412,-1.1908396,972.0
2026/08/01@12:32:28,24044,-0.238037108,0.9604492,0.22802734,-1.80152668,0.977099264,-1.1450381,976.0
2026/08/01@12:32:29,24045,-0.239013668,0.9645996,0.22973633,-1.82442752,1.129771,-1.129771,980.0
2026/08/01@12:32:30,24046,-0.2421875,0.9633789,0.23583984,-1.6030534,1.0992366,-1.3740458,984.0
2026/08/01@12:32:31,24047,-0.24487304,0.96240232,0.22753906,-1.5877863,0.8549618,-1.2442748,988.0
2026/08/01@12:32:32,24048,-0.23364258,0.96435544,0.22827148,-1.832061,1.0763359,-1.4045801,992.0
2026/08/01@12:32:33,24049,-0.24072266,0.9609375,0.230712892,-1.5419847,1.2137405,-1.0458015,996.0
2026/08/01@12:32:35,24051,-0.24194336,0.961181632,0.2277832,-1.70229,1.0763359,-1.3816794,1004.0
2026/08/01@12:32:36,24052,-0.2434082,0.96069336,0.237548832,-1.6259542,1.1908396,-1.2290076,1007.6451612903226
2026/08/01@12:32:37,24053,-0.238769532,0.96606448,0.22680664,-1.4503816,1.1832061,-1.1374046,1011.2903225806451
2026/08/01@12:32:38,24054,-0.23999024,0.967041,0.23168946,-1.610687,1.1145039,-1.1984733,1014.9354838709677
2026/08/01@12:32:39,24055,-0.24243164,0.9650879,0.230468752,-1.4732824,1.1221374,-1.2519084,1018.5806451612904
2026/08/01@12:32:40,24056,-0.238281252,0.967041,0.238281252,-1.778626,0.9694657,-1.4885496,1022.2258064516129
2026/08/01@12:32:41,24057,-0.24023438,0.9616699,0.2355957,-1.6564885,1.167939,-1.259542,1025.8709677419354
2026/08/01@12:32:42,24058,-0.24267578,0.9626465,0.231445316,-1.8091604,1.1755725,-1.29771,1029.516129032258
2026/08/01@12:32:43,24059,-0.237792976,0.963134768,0.22827148,-1.5038168,1.0839695,-1.29771,1033.1612903225807
2026/08/01@12:32:45,24061,-0.237792976,0.9614258,0.23535156,-1.8091604,1.0229008,-1.3129771,1040.4516129032259
2026/08/01@12:32:46,24062,-0.2368164,0.9604492,0.23608398,-1.4732824,0.977099264,-1.1145039,1044.0967741935483
2026/08/01@12:32:47,24063,-0.2434082,0.96069336,0.230712892,-1.7480916,1.038168,-1.3129771,1047.741935483871
2026/08/01@12:32:48,24064,-0.23950196,0.9628906,0.238525392,-1.80152668,1.2442748,-1.1832061,1051.3870967741937
2026/08/01@12:32:49,24065,-0.24047852,0.9602051,0.230957032,-1.7480916,1.1145039,-1.3435115,1055.032258064516
2026/08/01@12:32:50,24066,-0.2368164,0.9663086,0.234375,-1.610687,1.1832061,-1.3358779,1058.6774193548388
2026/08/01@12:32:51,24067,-0.24194336,0.9616699,0.234375,-1.480916,1.1526718,-1.389313,1062.3225806451612
2026/08/01@12:32:52,24068,-0.239013668,0.9641113,0.22460938,-1.5954199,0.90839692,-1.3129771,1065.967741935484
2026/08/01@12:32:53,24069,-0.23999024,0.9650879,0.231445316,-1.6183206,1.0152671,-1.3282443,1069.6129032258063
2026/08/01@12:32:54,24070,-0.239257808,0.96240232,0.234375,-1.6564885,1.1603054,-1.1068702,1073.258064516129
2026/08/01@12:32:56,24072,-0.2421875,0.96069336,0.23388672,-1.4198474,1.259542,-1.0458015,1080.5483870967741
2026/08/01@12:32:57,24073,-0.2397461,0.96484376,0.23364258,-1.5877863,0.8854962,-1.1526718,1084.1935483870968
2026/08/01@12:32:58,24074,-0.2421875,0.965332032,0.23217774,-1.69465652,1.2519084,-1.4656489,1087.8387096774193
2026/08/01@12:32:59,24075,-0.24438476,0.96240232,0.23583984,-1.648855,1.0992366,-1.0687023,1091.483870967742
2026/08/01@12:33:00,24076,-0.238281252,0.965332032,0.2331543,-1.648855,1.0229008,-1.2900764,1095.1290322580644
2026/08/01@12:33:01,24077,-0.239257808,0.96191408,0.23364258,-1.6183206,1.259542,-1.2824427,1098.774193548387
2026/08/01@12:33:02,24078,-0.23950196,0.9658203,0.23168946,-1.68702284,1.1068702,-1.2519084,1102.4193548387098
2026/08/01@12:33:03,24079,-0.24243164,0.96069336,0.22973633,-1.832061,1.2519084,-1.2442748,1106.0645161290322
2026/08/01@12:33:04,24080,-0.239257808,0.967041,0.229980468,-1.5572519,1.0458015,-1.1374046,1109.7096774193549
2026/08/01@12:33:06,24082,-0.24316406,0.965332032,0.229980468,-1.6412214,1.2137405,-1.129771,1117.0
2026/08/01@12:33:07,24083,-0.24047852,0.963134768,0.23388672,-1.740458,1.1145039,-1.2519084,1120.3666666666666
2026/08/01@12:33:08,24084,-0.24169922,0.9667969,0.22607422,-1.72519084,1.0076336,-1.129771,1123.7333333333333
2026/08/01@12:33:09,24085,-0.23950196,0.96484376,0.24072266,-1.80152668,1.038168,-1.0076336,1127.1
2026/08/01@12:33:10,24086,-0.24047852,0.96191408,0.22973633,-1.70229,1.038168,-1.167939,1130.4666666666667
2026/08/01@12:33:11,24087,-0.24194336,0.9597168,0.2319336,-1.6717557,1.3053435,-1.3435115,1133.8333333333333
2026/08/01@12:33:12,24088,-0.23706054,0.963134768,0.230712892,-1.79389316,1.129771,-1.2061069,1137.2
2026/08/01@12:33:13,24089,-0.24121094,0.9633789,0.23535156,-1.6412214,1.1526718,-1.2519084,1140.5666666666666
2026/08/01@12:33:14,24090,-0.24023438,0.9692383,0.2397461,-1.8091604,1.2748091,-1.0305344,1143.9333333333334
2026/08/01@12:33:15,24091,-0.238037108,0.963134768,0.22802734,-1.7633588,0.961832064,-1.259542,1147.3
2026/08/01@12:33:17,24093,-0.23999024,0.9628906,0.23950196,-1.778626,0.8396947,-1.2824427,1154.0333333333333
2026/08/01@12:33:18,24094,-0.24389648,0.96435544,0.230224616,-1.5343511,0.99236643,-1.1145039,1157.4
2026/08/01@12:33:19,24095,-0.24243164,0.96899416,0.22802734,-1.5877863,1.1068702,-1.0992366,1160.7666666666667
2026/08/01@12:33:20,24096,-0.239257808,0.9663086,0.230712892,-1.7480916,1.2519084,-0.9312977,1164.1333333333334
2026/08/01@12:33:21,24097,-0.23950196,0.9609375,0.231445316,-1.5725191,1.2442748,-1.0992366,1167.5
2026/08/01@12:33:22,24098,-0.239257808,0.9628906,0.23486328,-1.6793894,1.0839695,-1.1526718,1170.8666666666666
2026/08/01@12:33:23,24099,-0.24194336,0.965332032,0.23291016,-1.70229,1.4656489,-1.1450381,1174.2333333333333
2026/08/01@12:33:24,24100,-0.238769532,0.96777348,0.23266602,-1.6412214,1.0610686,-1.3587786,1177.6
2026/08/01@12:33:25,24101,-0.23950196,0.965332032,0.230957032,-1.7099236,1.3282443,-1.1832061,1180.9666666666667
2026/08/01@12:33:27,24103,-0.23950196,0.9626465,0.23217774,-1.610687,1.091603,-1.0839695,1187.7
2026/08/01@12:33:28,24104,-0.23999024,0.967285168,0.23388672,-1.6793894,1.1908396,-1.480916,1191.0666666666666
2026/08/01@12:33:29,24105,-0.238281252,0.96655272,0.2331543,-1.80152668,1.1526718,-1.3053435,1194.4333333333334
2026/08/01@12:33:30,24106,-0.2421875,0.9626465,0.22705078,-1.70229,1.2671756,-1.2900764,1197.8
2026/08/01@12:33:31,24107,-0.238281252,0.9658203,0.238037108,-1.6412214,0.9694657,-1.2671756,1201.1666666666667
2026/08/01@12:33:32,24108,-0.24194336,0.961181632,0.2331543,-1.4503816,1.0,-1.1984733,1204.5333333333333
2026/08/01@12:33:33,24109,-0.24072266,0.9614258,0.23291016,-1.5038168,1.038168,-1.2671756,1207.9
2026/08/01@12:33:34,24110,-0.23657226,0.96899416,0.230712892,-1.8091604,1.3129771,-1.2519084,1211.2666666666667
2026/08/01@12:33:35,24111,-0.2409668,0.9641113,0.23461914,-1.6412214,0.77099232,-1.389313,1214.6333333333334
2026/08/01@12:33:36,24112,-0.24243164,0.9650879,0.230957032,-1.740458,1.1068702,-1.1755725,1218.0
2026/08/01@12:33:38,24114,-0.23950196,0.9663086,0.22705078,-1.6793894,0.9694657,-1.4198474,1226.0
2026/08/01@12:33:39,24115,-0.238037108,0.96655272,0.230957032,-1.778626,1.1068702,-1.2748091,1230.0
2026/08/01@12:33:40,24116,-0.2409668,0.96069336,0.23339844,-1.5648855,1.2671756,-1.3358779,1234.0
2026/08/01@12:33:41,24117,-0.2409668,0.9597168,0.23217774,-1.5725191,1.1832061,-1.1374046,1238.0
2026/08/01@12:33:42,24118,-0.23999024,0.965332032,0.22924804,-1.8396946,1.0687023,-1.351145,1242.0
2026/08/01@12:33:43,24119,-0.23950196,0.9658203,0.230224616,-1.4122137,1.0152671,-1.091603,1246.0
2026/08/01@12:33:44,24120,-0.24072266,0.961181632,0.230957032,-1.6793894,1.1374046,-1.3129771,1250.0
2026/08/01@12:33:45,24121,-0.238769532,0.9626465,0.2368164,-1.68702284,1.0763359,-1.091603,1254.0
2026/08/01@12:33:46,24122,-0.24194336,0.9628906,0.23364258,-1.351145,1.259542,-1.167939,1258.0
2026/08/01@12:33:48,24124,-0.2421875,0.9633789,0.24047852,-1.6564885,1.167939,-1.1221374,1266.0
2026/08/01@12:33:49,24125,-0.24389648,0.9645996,0.22436524,-1.6412214,1.1908396,-1.167939,1270.0
2026/08/01@12:33:50,24126,-0.24145508,0.9655762,0.23608398,-1.5954199,1.1221374,-1.2290076,1274.0
2026/08/01@12:33:51,24127,-0.24145508,0.9633789,0.23608398,-1.6335878,1.0610686,-0.9465649,1278.0
2026/08/01@12:33:52,24128,-0.238037108,0.9609375,0.229980468,-1.740458,1.1603054,-1.2519084,1282.0
2026/08/01@12:33:53,24129,-0.24291992,0.9645996,0.23217774,-1.4198474,1.091603,-0.8549618,1286.0
2026/08/01@12:33:54,24130,-0.237304684,0.9604492,0.2397461,-1.7328244,0.9465649,-1.1374046,1290.0
2026/08/01@12:33:55,24131,-0.238769532,0.96435544,0.237792976,-1.6030534,1.038168,-0.99236643,1294.0
2026/08/01@12:33:56,24132,-0.24145508,0.96191408,0.22973633,-1.648855,1.0763359,-1.1832061,1298.0
2026/08/01@12:33:57,24133,-0.24194336,0.970214864,0.2319336,-1.5648855,1.2061069,-1.2366412,1302.0
2026/08/01@12:33:59,24135,-0.24047852,0.961181632,0.231201168,-1.7709924,1.0610686,-1.2519084,1310.0
2026/08/01@12:34:00,24136,-0.24023438,0.96606448,0.230957032,-1.6793894,0.9312977,-1.1221374,1314.0
2026/08/01@12:34:01,24137,-0.24169922,0.96484376,0.231445316,-1.5343511,1.2137405,-1.0152671,1318.0
2026/08/01@12:34:02,24138,-0.237548832,0.95947268,0.2397461,-1.81679384,1.2519084,-1.2748091,1322.0
2026/08/01@12:34:03,24139,-0.24023438,0.9645996,0.23510742,-1.7557252,1.1068702,-1.3969466,1326.0
2026/08/01@12:34:04,24140,-0.23999024,0.96191408,0.230712892,-1.6412214,1.1832061,-1.4351145,1330.0
2026/08/01@12:34:05,24141,-0.24169922,0.96240232,0.23583984,-1.5725191,0.99236643,-1.2442748,1334.0
2026/08/01@12:34:06,24142,-0.237304684,0.963134768,0.23608398,-1.8091604,1.29771,-1.1755725,1338.0
2026/08/01@12:34:07,24143,-0.2421875,0.9663086,0.2319336,-1.72519084,1.091603,-1.038168,1342.0
2026/08/01@12:34:09,24145,-0.24316406,0.9655762,0.23266602,-1.7099236,1.2137405,-1.129771,1349.8
2026/08/01@12:34:10,24146,-0.2368164,0.9650879,0.230468752,-1.5496184,0.9465649,-1.4503816,1353.7
2026/08/01@12:34:11,24147,-0.23999024,0.9641113,0.23632812,-1.70229,1.1374046,-1.1603054,1357.6
2026/08/01@12:34:12,24148,-0.24267578,0.9621582,0.231445316,-1.6793894,0.8778626,-1.2442748,1361.5
