datetime,elapsed_s,humidity_percent
2026/08/01@14:08:55,64,42.571144
2026/08/01@14:08:56,65,42.30411
2026/08/01@14:08:57,66,42.075224
2026/08/01@14:08:58,67,41.80514
2026/08/01@14:08:59,68,41.484704
2026/08/01@14:09:00,69,41.1001736
2026/08/01@14:09:01,70,40.94606
2026/08/01@14:09:02,71,40.857556
2026/08/01@14:09:04,73,40.921648
2026/08/01@14:09:05,74,40.972
2026/08/01@14:09:06,75,40.816356
2026/08/01@14:09:07,76,40.628672
2026/08/01@14:09:08,77,40.62104
2026/08/01@14:09:09,78,40.87587
2026/08/01@14:09:10,79,41.596092
2026/08/01@14:09:11,80,41.855496
2026/08/01@14:09:12,81,42.08133
2026/08/01@14:09:13,82,42.804608
2026/08/01@14:09:15,84,43.436332
2026/08/01@14:09:16,85,43.509576
2026/08/01@14:09:17,86,43.569084
2026/08/01@14:09:18,87,43.819332
2026/08/01@14:09:19,88,44.25574
2026/08/01@14:09:20,89,44.37476
2026/08/01@14:09:21,90,44.1947068
2026/08/01@14:09:22,91,43.92462
2026/08/01@14:09:23,92,43.8208568
2026/08/01@14:09:24,93,43.663692
2026/08/01@14:09:26,95,43.443964
2026/08/01@14:09:27,96,43.160144
2026/08/01@14:09:28,97,42.97856
2026/08/01@14:09:29,98,42.64744
2026/08/01@14:09:30,99,42.56199
2026/08/01@14:09:31,100,42.351412
2026/08/01@14:09:32,101,42.217136
2026/08/01@14:09:33,102,42.122528
2026/08/01@14:09:34,103,42.034028
2026/08/01@14:09:35,104,41.875336
2026/08/01@14:09:36,105,41.88449
2026/08/01@14:09:38,107,41.741056
2026/08/01@14:09:39,108,42.24155
2026/08/01@14:09:40,109,42.64439
2026/08/01@14:09:41,110,42.671856
2026/08/01@14:09:42,111,42.354464
2026/08/01@14:09:43,112,42.50553
2026/08/01@14:09:44,113,43.530936
2026/08/01@14:09:45,114,43.78729
2026/08/01@14:09:46,115,43.40429
2026/08/01@14:09:47,116,42.839704
2026/08/01@14:09:49,118,42.452124
2026/08/01@14:09:50,119,42.20035
2026/08/01@14:09:51,120,42.18967
2026/08/01@14:09:52,121,42.76341
2026/08/01@14:09:53,122,42.9953468
2026/08/01@14:09:54,123,43.0457
2026/08/01@14:09:55,124,43.0045
2026/08/01@14:09:56,125,42.958724
2026/08/01@14:09:57,126,42.48722
2026/08/01@14:09:58,127,42.07065
2026/08/01@14:10:00,129,41.811244
2026/08/01@14:10:01,130,41.663236
2026/08/01@14:10:02,131,41.539636
2026/08/01@14:10:03,132,41.315328
2026/08/01@14:10:04,133,40.926224
2026/08/01@14:10:05,134,40.60273
2026/08/01@14:10:06,135,40.280764
2026/08/01@14:10:07,136,40.038148
2026/08/01@14:10:08,137,39.97101
2026/08/01@14:10:09,138,40.161748
2026/08/01@14:10:11,140,40.213628
2026/08/01@14:10:12,141,40.177004
2026/08/01@14:10:13,142,40.053404
2026/08/01@14:10:14,143,39.836728
2026/08/01@14:10:15,144,39.540704
2026/08/01@14:10:16,145,39.353016
2026/08/01@14:10:17,146,39.10887
2026/08/01@14:10:18,147,38.948656
2026/08/01@14:10:19,148,39.008164
2026/08/01@14:10:20,149,39.56817
2026/08/01@14:10:22,150,39.838252
2026/08/01@14:10:23,152,40.280764
2026/08/01@14:10:24,153,40.868236
2026/08/01@14:10:25,154,40.868236
2026/08/01@14:10:26,155,40.802624
2026/08/01@14:10:27,156,41.058976
2026/08/01@14:10:28,157,41.095596
2026/08/01@14:10:29,158,41.092544
2026/08/01@14:10:30,159,41.24361
2026/08/01@14:10:31,160,41.39315
2026/08/01@14:10:32,161,41.301592
2026/08/01@14:10:34,163,41.28481
2026/08/01@14:10:35,164,41.3244832
2026/08/01@14:10:36,165,41.301592
2026/08/01@14:10:37,166,41.20699
2026/08/01@14:10:38,167,41.248188
2026/08/01@14:10:39,168,41.532004
2026/08/01@14:10:40,169,41.79141
2026/08/01@14:10:41,170,41.745632
2026/08/01@14:10:42,171,41.974516
2026/08/01@14:10:43,172,42.172884
2026/08/01@14:10:45,174,42.57572
2026/08/01@14:10:46,175,42.928208
2026/08/01@14:10:47,176,42.992296
2026/08/01@14:10:48,177,42.809184
2026/08/01@14:10:49,178,42.767988
2026/08/01@14:10:50,179,42.972456
2026/08/01@14:10:51,180,43.66522
2026/08/01@14:10:52,181,44.016176
2026/08/01@14:10:53,182,44.15961
2026/08/01@14:10:54,183,43.92462
2026/08/01@14:10:56,185,43.77966
2026/08/01@14:10:57,186,43.595024
2026/08/01@14:10:58,187,43.546196
2026/08/01@14:10:59,188,43.47753
2026/08/01@14:11:00,189,43.16625
2026/08/01@14:11:01,190,42.752728
2026/08/01@14:11:02,191,42.18967
2026/08/01@14:11:03,192,41.806668
2026/08/01@14:11:04,193,41.879912
2026/08/01@14:11:05,194,41.88449
2026/08/01@14:11:07,196,42.001984
2026/08/01@14:11:08,197,41.879912
2026/08/01@14:11:09,198,41.947052
2026/08/01@14:11:10,199,42.02945
2026/08/01@14:11:11,200,42.246128
2026/08/01@14:11:12,201,42.62913
2026/08/01@14:11:13,202,42.429236
2026/08/01@14:11:14,203,42.255284
2026/08/01@14:11:15,204,42.149996
2026/08/01@14:11:16,205,41.983672
2026/08/01@14:11:17,206,41.678492
2026/08/01@14:11:19,208,41.745632
2026/08/01@14:11:20,209,41.850916
2026/08/01@14:11:21,210,42.0721736
2026/08/01@14:11:22,211,42.227816
2026/08/01@14:11:23,212,42.232396
2026/08/01@14:11:24,213,42.674908
2026/08/01@14:11:25,214,43.28832
2026/08/01@14:11:26,215,44.090944
2026/08/01@14:11:27,216,44.22217
2026/08/01@14:11:28,217,44.052796
2026/08/01@14:11:30,219,43.952088
2026/08/01@14:11:31,220,44.090944
2026/08/01@14:11:32,221,43.9765
