datetime,elapsed_s,gas2,Elevation_m
2000/01/01@12:30:59,15181,3.2340002,614.3333333333334
2000/01/01@12:31:00,15182,3.2338128,618.0
2000/01/01@12:31:01,15183,3.2340002,621.6666666666666
2000/01/01@12:31:02,15184,3.234375,625.3333333333334
2000/01/01@12:31:03,15185,3.2340002,629.0
2000/01/01@12:31:04,15186,3.233625,633.1935483870968
2000/01/01@12:31:05,15187,3.233625,637.3870967741935
2000/01/01@12:31:06,15188,3.2338128,641.5806451612904
2000/01/01@12:31:08,15190,3.2341876,649.9677419354839
2000/01/01@12:31:09,15191,3.2340002,654.1612903225806
2000/01/01@12:31:10,15192,3.233625,658.3548387096774
2000/01/01@12:31:11,15193,3.2338128,662.5483870967741
2000/01/01@12:31:12,15194,3.233625,666.741935483871
2000/01/01@12:31:13,15195,3.2338128,670.9354838709678
2000/01/01@12:31:14,15196,3.233625,675.1290322580645
2000/01/01@12:31:15,15197,3.2338128,679.3225806451613
2000/01/01@12:31:16,15198,3.2341876,683.516129032258
2000/01/01@12:31:17,15199,3.233625,687.7096774193549
2000/01/01@12:31:18,15200,3.2338128,691.9032258064516
2000/01/01@12:31:20,15202,3.2341876,700.2903225806451
2000/01/01@12:31:21,15203,3.2340002,704.483870967742
2000/01/01@12:31:22,15204,3.233625,708.6774193548387
2000/01/01@12:31:23,15205,3.2341876,712.8709677419355
2000/01/01@12:31:24,15206,3.2341876,717.0645161290322
2000/01/01@12:31:25,15207,3.2332502,721.258064516129
2000/01/01@12:31:26,15208,3.2341876,725.4516129032259
2000/01/01@12:31:27,15209,3.2340002,729.6451612903226
2000/01/01@12:31:28,15210,3.2338128,733.8387096774194
2000/01/01@12:31:29,15211,3.2334376,738.0322580645161
2000/01/01@12:31:30,15212,3.233625,742.2258064516129
2000/01/01@12:31:32,15214,3.2341876,750.6129032258065
2000/01/01@12:31:33,15215,3.2340002,754.8064516129032
2000/01/01@12:31:34,15216,3.2340002,759.0
2000/01/01@12:31:35,15217,3.233625,763.0333333333333
2000/01/01@12:31:36,15218,3.233625,767.0666666666667
2000/01/01@12:31:37,15219,3.2338128,771.1
2000/01/01@12:31:38,15220,3.233625,775.1333333333333
2000/01/01@12:31:39,15221,3.2340002,779.1666666666666
2000/01/01@12:31:40,15222,3.233625,783.2
2000/01/01@12:31:41,15223,3.2340002,787.2333333333333
2000/01/01@12:31:43,15224,3.2338128,795.3
2000/01/01@12:31:44,15226,3.2340002,799.3333333333334
2000/01/01@12:31:45,15227,3.2338128,803.3666666666667
2000/01/01@12:31:46,15228,3.233625,807.4
2000/01/01@12:31:47,15229,3.2340002,811.4333333333333
2000/01/01@12:31:48,15230,3.233625,815.4666666666667
2000/01/01@12:31:49,15231,3.2340002,819.5
2000/01/01@12:31:50,15232,3.2338128,823.5333333333333
2000/01/01@12:31:51,15233,3.2340002,827.5666666666666
2000/01/01@12:31:52,15234,3.233625,831.6
2000/01/01@12:31:53,15235,3.2334376,835.6333333333333
2000/01/01@12:31:55,15236,3.2340002,843.7
2000/01/01@12:31:56,15238,3.233625,847.7333333333333
2000/01/01@12:31:57,15239,3.2338128,851.7666666666667
2000/01/01@12:31:58,15240,3.233625,855.8
2000/01/01@12:31:59,15241,3.233625,859.8333333333334
2000/01/01@12:32:00,15242,3.2334376,863.8666666666667
2000/01/01@12:32:01,15243,3.2334376,867.9
2000/01/01@12:32:02,15244,3.2334376,871.9333333333334
2000/01/01@12:32:03,15245,3.233625,875.9666666666667
2000/01/01@12:32:04,15246,3.233625,880.0
2000/01/01@12:32:05,15247,3.2338128,884.0
2000/01/01@12:32:07,15249,3.233625,892.0
2000/01/01@12:32:08,15250,3.233625,896.0
2000/01/01@12:32:09,15251,3.2341876,900.0
2000/01/01@12:32:10,15252,3.233625,904.0
2000/01/01@12:32:11,15253,3.233625,908.0
2000/01/01@12:32:12,15254,3.2338128,912.0
2000/01/01@12:32:13,15255,3.2338128,916.0
2000/01/01@12:32:14,15256,3.233625,920.0
2000/01/01@12:32:15,15257,3.233625,924.0
2000/01/01@12:32:16,15258,3.2338128,928.0
2000/01/01@12:32:17,15259,3.2334376,932.0
2000/01/01@12:32:19,15261,3.2340002,940.0
2000/01/01@12:32:20,15262,3.2341876,944.0
2000/01/01@12:32:21,15263,3.2338128,948.0
2000/01/01@12:32:22,15264,3.2340002,952.0
2000/01/01@12:32:23,15265,3.233625,956.0
2000/01/01@12:32:24,15266,3.2341876,960.0
2000/01/01@12:32:25,15267,3.2341876,964.0
2000/01/01@12:32:26,15268,3.2338128,968.0
2000/01/01@12:32:27,15269,3.233625,972.0
2000/01/01@12:32:28,15270,3.2340002,976.0
2000/01/01@12:32:29,15271,3.233625,980.0
2000/01/01@12:32:31,15273,3.233625,988.0
2000/01/01@12:32:32,15274,3.2341876,992.0
2000/01/01@12:32:33,15275,3.2340002,996.0
2000/01/01@12:32:34,15276,3.233625,1000.0
2000/01/01@12:32:35,15277,3.2340002,1004.0
2000/01/01@12:32:36,15278,3.2338128,1007.6451612903226
2000/01/01@12:32:37,15279,3.233625,1011.2903225806451
2000/01/01@12:32:38,15280,3.2334376,1014.9354838709677
2000/01/01@12:32:39,15281,3.2338128,1018.5806451612904
2000/01/01@12:32:40,15282,3.2334376,1022.2258064516129
2000/01/01@12:32:41,15283,3.2341876,1025.8709677419354
2000/01/01@12:32:43,15285,3.2338128,1033.1612903225807
2000/01/01@12:32:44,15286,3.2334376,1036.8064516129032
2000/01/01@12:32:45,15287,3.2341876,1040.4516129032259
2000/01/01@12:32:46,15288,3.233625,1044.0967741935483
2000/01/01@12:32:47,15289,3.2334376,1047.741935483871
2000/01/01@12:32:48,15290,3.2334376,1051.3870967741937
2000/01/01@12:32:49,15291,3.234375,1055.032258064516
2000/01/01@12:32:50,15292,3.234375,1058.6774193548388
2000/01/01@12:32:51,15293,3.233625,1062.3225806451612
2000/01/01@12:32:52,15294,3.2338128,1065.967741935484
2000/01/01@12:32:53,15295,3.2334376,1069.6129032258063
2000/01/01@12:32:55,15297,3.2341876,1076.9032258064517
2000/01/01@12:32:56,15298,3.2338128,1080.5483870967741
2000/01/01@12:32:57,15299,3.2334376,1084.1935483870968
2000/01/01@12:32:58,15300,3.233625,1087.8387096774193
2000/01/01@12:32:59,15301,3.234375,1091.483870967742
2000/01/01@12:33:00,15302,3.233625,1095.1290322580644
2000/01/01@12:33:01,15303,3.2340002,1098.774193548387
2000/01/01@12:33:02,15304,3.2338128,1102.4193548387098
2000/01/01@12:33:03,15305,3.2338128,1106.0645161290322
2000/01/01@12:33:04,15306,3.233625,1109.7096774193549
2000/01/01@12:33:05,15307,3.2334376,1113.3548387096773
2000/01/01@12:33:07,15309,3.233625,1120.3666666666666
2000/01/01@12:33:08,15310,3.2338128,1123.7333333333333
2000/01/01@12:33:09,15311,3.2340002,1127.1
2000/01/01@12:33:10,15312,3.2340002,1130.4666666666667
2000/01/01@12:33:11,15313,3.233625,1133.8333333333333
2000/01/01@12:33:12,15314,3.2341876,1137.2
2000/01/01@12:33:13,15315,3.2334376,1140.5666666666666
2000/01/01@12:33:14,15316,3.2332502,1143.9333333333334
2000/01/01@12:33:15,15317,3.2341876,1147.3
2000/01/01@12:33:16,15318,3.233625,1150.6666666666667
2000/01/01@12:33:17,15319,3.233625,1154.0333333333333
2000/01/01@12:33:19,15321,3.2338128,1160.7666666666667
2000/01/01@12:33:20,15322,3.2338128,1164.1333333333334
2000/01/01@12:33:21,15323,3.2334376,1167.5
2000/01/01@12:33:22,15324,3.2334376,1170.8666666666666
2000/01/01@12:33:23,15325,3.2334376,1174.2333333333333
2000/01/01@12:33:24,15326,3.2340002,1177.6
2000/01/01@12:33:25,15327,3.233625,1180.9666666666667
2000/01/01@12:33:26,15328,3.2334376,1184.3333333333333
2000/01/01@12:33:27,15329,3.2334376,1187.7
2000/01/01@12:33:28,15330,3.233625,1191.0666666666666
2000/01/01@12:33:29,15331,3.2334376,1194.4333333333334
2000/01/01@12:33:31,15333,3.233625,1201.1666666666667
2000/01/01@12:33:32,15334,3.2334376,1204.5333333333333
2000/01/01@12:33:33,15335,3.233625,1207.9
2000/01/01@12:33:34,15336,3.2332502,1211.2666666666667
2000/01/01@12:33:35,15337,3.2334376,1214.6333333333334
2000/01/01@12:33:36,15338,3.2340002,1218.0
2000/01/01@12:33:37,15339,3.2332502,1222.0
2000/01/01@12:33:38,15340,3.2334376,1226.0
2000/01/01@12:33:39,15341,3.2332502,1230.0
2000/01/01@12:33:40,15342,3.2338128,1234.0
2000/01/01@12:33:41,15343,3.2334376,1238.0
2000/01/01@12:33:43,15345,3.2340002,1246.0
2000/01/01@12:33:44,15346,3.2338128,1250.0
2000/01/01@12:33:45,15347,3.2340002,1254.0
2000/01/01@12:33:46,15348,3.2341876,1258.0
2000/01/01@12:33:47,15349,3.2334376,1262.0
2000/01/01@12:33:48,15350,3.2332502,1266.0
2000/01/01@12:33:49,15351,3.2332502,1270.0
2000/01/01@12:33:50,15352,3.2340002,1274.0
2000/01/01@12:33:51,15353,3.2332502,1278.0
2000/01/01@12:33:52,15354,3.2334376,1282.0
2000/01/01@12:33:53,15355,3.2332502,1286.0
2000/01/01@12:33:55,15357,3.2340002,1294.0
2000/01/01@12:33:56,15358,3.234375,1298.0
2000/01/01@12:33:57,15359,3.233625,1302.0
2000/01/01@12:33:58,15360,3.2332502,1306.0
2000/01/01@12:33:59,15361,3.2334376,1310.0
2000/01/01@12:34:00,15362,3.2332502,1314.0
2000/01/01@12:34:01,15363,3.233625,1318.0
2000/01/01@12:34:02,15364,3.2334376,1322.0
2000/01/01@12:34:03,15365,3.233625,1326.0
2000/01/01@12:34:04,15366,3.233625,1330.0
2000/01/01@12:34:05,15367,3.2332502,1334.0
2000/01/01@12:34:07,15369,3.233625,1342.0
2000/01/01@12:34:08,15370,3.2340002,1345.9
2000/01/01@12:34:09,15371,3.2332502,1349.8
2000/01/01@12:34:10,15372,3.2332502,1353.7
2000/01/01@12:34:11,15373,3.2330624,1357.6
2000/01/01@12:34:12,15374,3.2338128,1361.5
2000/01/01@12:34:13,15375,3.2340002,1365.4
2000/01/01@12:34:14,15376,3.233625,1369.3
2000/01/01@12:34:15,15377,3.2330624,1373.2
2000/01/01@12:34:16,15378,3.2340002,1377.1
2000/01/01@12:34:17,15379,3.2330624,1381.0
2000/01/01@12:34:19,15381,3.2334376,1388.8
2000/01/01@12:34:20,15382,3.233625,1392.7
2000/01/01@12:34:21,15383,3.2332502,1396.6
2000/01/01@12:34:22,15384,3.2338128,1400.5
2000/01/01@12:34:23,15385,3.2330624,1404.4
2000/01/01@12:34:24,15386,3.2332502,1408.3
2000/01/01@12:34:25,15387,3.2332502,1412.2
2000/01/01@12:34:26,15388,3.2330624,1416.1
2000/01/01@12:34:27,15389,3.2334376,1420.0
2000/01/01@12:34:28,15390,3.233625,1423.9
2000/01/01@12:34:29,15391,3.2340002,1427.8
2000/01/01@12:34:31,15393,3.2330624,1435.6
2000/01/01@12:34:32,15394,3.2330624,1439.5
2000/01/01@12:34:33,15395,3.2332502,1443.4
2000/01/01@12:34:34,15396,3.233625,1447.3
2000/01/01@12:34:35,15397,3.2340002,1451.2
2000/01/01@12:34:36,15398,3.2334376,1455.1
2000/01/01@12:34:37,15399,3.233625,1459.0
2000/01/01@12:34:38,15400,3.2330624,1462.8709677419354
2000/01/01@12:34:39,15401,3.2330624,1466.741935483871
2000/01/01@12:34:40,15402,3.233625,1470.6129032258063
2000/01/01@12:34:41,15403,3.2340002,1474.483870967742
2000/01/01@12:34:43,15405,3.2338128,1482.225806451613
2000/01/01@12:34:44,15406,3.2332502,1486.0967741935483
2000/01/01@12:34:45,15407,3.2332502,1489.967741935484
2000/01/01@12:34:46,15408,3.2332502,1493.8387096774193
2000/01/01@12:34:47,15409,3.233625,1497.7096774193549
2000/01/01@12:34:48,15410,3.2332502,1501.5806451612902
2000/01/01@12:34:49,15411,3.2334376,1505.4516129032259
2000/01/01@12:34:50,15412,3.2334376,1509.3225806451612
2000/01/01@12:34:51,15413,3.2334376,1513.1935483870968
2000/01/01@12:34:52,15414,3.233625,1517.0645161290322
2000/01/01@12:34:53,15415,3.2334376,1520.9354838709678
2000/01/01@12:34:54,15416,3.233625,1524.8064516129032
2000/01/01@12:34:56,15418,3.2332502,1532.5483870967741
2000/01/01@12:34:57,15419,3.2330624,1536.4193548387098
2000/01/01@12:34:58,15420,3.2330624,1540.2903225806451
2000/01/01@12:34:59,15421,3.233625,1544.1612903225807
2000/01/01@12:35:00,15422,3.2334376,1548.032258064516
2000/01/01@12:35:01,15423,3.2332502,1551.9032258064517
2000/01/01@12:35:02,15424,3.2340002,1555.774193548387
2000/01/01@12:35:03,15425,3.2330624,1559.6451612903227
2000/01/01@12:35:04,15426,3.233625,1563.516129032258
2000/01/01@12:35:05,15427,3.2330624,1567.3870967741937
2000/01/01@12:35:07,15428,3.2334376,1575.1290322580644
2000/01/01@12:35:08,15430,3.2332502,1579.0
2000/01/01@12:35:09,15431,3.2332502,1583.0333333333333
2000/01/01@12:35:10,15432,3.2332502,1587.0666666666666
2000/01/01@12:35:11,15433,3.232875,1591.1
2000/01/01@12:35:12,15434,3.2330624,1595.1333333333334
2000/01/01@12:35:13,15435,3.2330624,1599.1666666666667
2000/01/01@12:35:14,15436,3.2332502,1603.2
2000/01/01@12:35:15,15437,3.2338128,1607.2333333333333
2000/01/01@12:35:16,15438,3.2334376,1611.2666666666667
2000/01/01@12:35:17,15439,3.2334376,1615.3
2000/01/01@12:35:18,15440,3.2330624,1619.3333333333333
2000/01/01@12:35:20,15442,3.2330624,1627.4
2000/01/01@12:35:21,15443,3.2334376,1631.4333333333334
2000/01/01@12:35:22,15444,3.2338128,1635.4666666666667
2000/01/01@12:35:23,15445,3.233625,1639.5
2000/01/01@12:35:24,15446,3.2332502,1643.5333333333333
2000/01/01@12:35:25,15447,3.2338128,1647.5666666666666
2000/01/01@12:35:26,15448,3.233625,1651.6
2000/01/01@12:35:27,15449,3.2330624,1655.6333333333332
2000/01/01@12:35:28,15450,3.2332502,1659.6666666666667
2000/01/01@12:35:29,15451,3.2332502,1663.7
2000/01/01@12:35:31,15453,3.2332502,1671.7666666666667
2000/01/01@12:35:32,15454,3.233625,1675.8
2000/01/01@12:35:33,15455,3.2332502,1679.8333333333333
2000/01/01@12:35:34,15456,3.2332502,1683.8666666666666
2000/01/01@12:35:35,15457,3.233625,1687.9
2000/01/01@12:35:36,15458,3.2332502,1691.9333333333334
2000/01/01@12:35:37,15459,3.2340002,1695.9666666666667
2000/01/01@12:35:38,15460,3.2332502,1700.0
2000/01/01@12:35:39,15461,3.2332502,1704.7096774193549
2000/01/01@12:35:40,15462,3.2332502,1709.4193548387098
2000/01/01@12:35:41,15463,3.2338128,1714.1290322580646
2000/01/01@12:35:43,15465,3.2330624,1723.5483870967741
2000/01/01@12:35:44,15466,3.233625,1728.258064516129
2000/01/01@12:35:45,15467,3.2330624,1732.967741935484
2000/01/01@12:35:46,15468,3.2340002,1737.6774193548388
2000/01/01@12:35:47,15469,3.2330624,1742.3870967741937
2000/01/01@12:35:48,15470,3.2332502,1747.0967741935483
2000/01/01@12:35:49,15471,3.2330624,1751.8064516129032
2000/01/01@12:35:50,15472,3.2334376,1756.516129032258
2000/01/01@12:35:51,15473,3.2338128,1761.225806451613
2000/01/01@12:35:52,15474,3.233625,1765.9354838709678
2000/01/01@12:35:53,15475,3.2332502,1770.6451612903227
2000/01/01@12:35:55,15477,3.233625,1780.0645161290322
2000/01/01@12:35:56,15478,3.233625,1784.774193548387
2000/01/01@12:35:57,15479,3.2334376,1789.483870967742
2000/01/01@12:35:58,15480,3.2330624,1794.1935483870968
2000/01/01@12:35:59,15481,3.2338128,1798.9032258064517
2000/01/01@12:36:00,15482,3.2330624,1803.6129032258063
2000/01/01@12:36:01,15483,3.2330624,1808.3225806451612
2000/01/01@12:36:02,15484,3.2332502,1813.032258064516
2000/01/01@12:36:03,15485,3.2334376,1817.741935483871
2000/01/01@12:36:04,15486,3.2332502,1822.4516129032259
2000/01/01@12:36:05,15487,3.2332502,1827.1612903225807
2000/01/01@12:36:07,15489,3.233625,1836.5806451612902
2000/01/01@12:36:08,15490,3.2338128,1841.2903225806451
2000/01/01@12:36:09,15491,3.2334376,1846.0
2000/01/01@12:36:10,15492,3.2338128,1850.5806451612902
2000/01/01@12:36:11,15493,3.2332502,1855.1612903225807
2000/01/01@12:36:12,15494,3.2338128,1859.741935483871
2000/01/01@12:36:13,15495,3.2332502,1864.3225806451612
2000/01/01@12:36:14,15496,3.2332502,1868.9032258064517
2000/01/01@12:36:15,15497,3.2330624,1873.483870967742
2000/01/01@12:36:16,15498,3.2332502,1878.0645161290322
2000/01/01@12:36:17,15499,3.2334376,1882.6451612903227
2000/01/01@12:36:19,15501,3.2338128,1891.8064516129032
2000/01/01@12:36:20,15502,3.232875,1896.3870967741937
2000/01/01@12:36:21,15503,3.233625,1900.967741935484
2000/01/01@12:36:22,15504,3.2332502,1905.5483870967741
2000/01/01@12:36:23,15505,3.233625,1910.1290322580646
2000/01/01@12:36:24,15506,3.233625,1914.7096774193549
2000/01/01@12:36:25,15507,3.2330624,1919.2903225806451
2000/01/01@12:36:26,15508,3.232875,1923.8709677419356
2000/01/01@12:36:27,15509,3.2326876,1928.4516129032259
2000/01/01@12:36:28,15510,3.2332502,1933.032258064516
2000/01/01@12:36:29,15511,3.2332502,1937.6129032258063
2000/01/01@12:36:31,15513,3.2330624,1946.774193548387
2000/01/01@12:36:32,15514,3.2330624,1951.3548387096773
2000/01/01@12:36:33,15515,3.232875,1955.9354838709678
2000/01/01@12:36:34,15516,3.2332502,1960.516129032258
2000/01/01@12:36:35,15517,3.2334376,1965.0967741935483
2000/01/01@12:36:36,15518,3.233625,1969.6774193548388
2000/01/01@12:36:37,15519,3.2334376,1974.258064516129
2000/01/01@12:36:38,15520,3.2332502,1978.8387096774193
2000/01/01@12:36:39,15521,3.2334376,1983.4193548387098
2000/01/01@12:36:40,15522,3.2330624,1988.0
2000/01/01@12:36:41,15523,3.2334376,1991.9333333333334
2000/01/01@12:36:43,15525,3.2330624,1999.8
2000/01/01@12:36:44,15526,3.2332502,2003.7333333333333
2000/01/01@12:36:45,15527,3.233625,2007.6666666666667
2000/01/01@12:36:46,15528,3.2334376,2011.6
2000/01/01@12:36:47,15529,3.2334376,2015.5333333333333
2000/01/01@12:36:48,15530,3.2332502,2019.4666666666667
2000/01/01@12:36:49,15531,3.2332502,2023.4
2000/01/01@12:36:50,15532,3.2340002,2027.3333333333333
2000/01/01@12:36:51,15533,3.2330624,2031.2666666666667
2000/01/01@12:36:52,15534,3.2334376,2035.2
2000/01/01@12:36:53,15535,3.2334376,2039.1333333333334
2000/01/01@12:36:55,15537,3.2340002,2047.0
2000/01/01@12:36:56,15538,3.2332502,2050.9333333333334
2000/01/01@12:36:57,15539,3.2334376,2054.866666666667
2000/01/01@12:36:58,15540,3.2332502,2058.8
2000/01/01@12:36:59,15541,3.2334376,2062.733333333333
2000/01/01@12:37:00,15542,3.2332502,2066.6666666666665
2000/01/01@12:37:01,15543,3.233625,2070.6
2000/01/01@12:37:02,15544,3.2332502,2074.5333333333333
2000/01/01@12:37:03,15545,3.2338128,2078.4666666666667
2000/01/01@12:37:04,15546,3.2334376,2082.4
2000/01/01@12:37:05,15547,3.233625,2086.3333333333335
2000/01/01@12:37:07,15549,3.2332502,2094.2
2000/01/01@12:37:08,15550,3.2332502,2098.133333333333
2000/01/01@12:37:09,15551,3.2334376,2102.0666666666666
2000/01/01@12:37:10,15552,3.2334376,2106.0
2000/01/01@12:37:11,15553,3.2330624,2110.064516129032
2000/01/01@12:37:12,15554,3.2330624,2114.1290322580644
2000/01/01@12:37:13,15555,3.2334376,2118.1935483870966
2000/01/01@12:37:14,15556,3.2340002,2122.2580645161293
2000/01/01@12:37:15,15557,3.2340002,2126.3225806451615
2000/01/01@12:37:16,15558,3.2334376,2130.3870967741937
2000/01/01@12:37:17,15559,3.2330624,2134.451612903226
2000/01/01@12:37:19,15561,3.2332502,2142.5806451612902
2000/01/01@12:37:20,15562,3.2332502,2146.6451612903224
2000/01/01@12:37:21,15563,3.2334376,2150.7096774193546
2000/01/01@12:37:22,15564,3.2338128,2154.7741935483873
2000/01/01@12:37:23,15565,3.2332502,2158.8387096774195
2000/01/01@12:37:24,15566,3.2330624,2162.9032258064517
2000/01/01@12:37:25,15567,3.233625,2166.967741935484
2000/01/01@12:37:26,15568,3.233625,2171.032258064516
2000/01/01@12:37:27,15569,3.2332502,2175.0967741935483
2000/01/01@12:37:28,15570,3.2330624,2179.1612903225805
2000/01/01@12:37:30,15572,3.233625,2187.2903225806454
2000/01/01@12:37:31,15573,3.2340002,2191.3548387096776
2000/01/01@12:37:32,15574,3.2332502,2195.4193548387098
2000/01/01@12:37:33,15575,3.2338128,2199.483870967742
2000/01/01@12:37:34,15576,3.2340002,2203.548387096774
2000/01/01@12:37:35,15577,3.2340002,2207.6129032258063
2000/01/01@12:37:36,15578,3.2330624,2211.6774193548385
2000/01/01@12:37:37,15579,3.2332502,2215.7419354838707
2000/01/01@12:37:38,15580,3.233625,2219.8064516129034
2000/01/01@12:37:39,15581,3.2332502,2223.8709677419356
2000/01/01@12:37:40,15582,3.2340002,2227.935483870968
2000/01/01@12:37:42,15584,3.2332502,2236.4666666666667
2000/01/01@12:37:43,15585,3.2330624,2240.9333333333334
2000/01/01@12:37:44,15586,3.2334376,2245.4
2000/01/01@12:37:45,15587,3.2332502,2249.866666666667
2000/01/01@12:37:46,15588,3.2338128,2254.3333333333335
2000/01/01@12:37:47,15589,3.2338128,2258.8
2000/01/01@12:37:48,15590,3.2332502,2263.266666666667
2000/01/01@12:37:49,15591,3.2334376,2267.733333333333
2000/01/01@12:37:50,15592,3.233625,2272.2
2000/01/01@12:37:51,15593,3.2332502,2276.6666666666665
2000/01/01@12:37:52,15594,3.2334376,2281.133333333333
2000/01/01@12:37:54,15595,3.233625,2290.0666666666666
2000/01/01@12:37:55,15597,3.2332502,2294.5333333333333
2000/01/01@12:37:56,15598,3.2330624,2299.0
2000/01/01@12:37:57,15599,3.2330624,2303.4666666666667
2000/01/01@12:37:58,15600,3.2334376,2307.9333333333334
2000/01/01@12:37:59,15601,3.233625,2312.4
2000/01/01@12:38:00,15602,3.2338128,2316.866666666667
2000/01/01@12:38:01,15603,3.2338128,2321.3333333333335
2000/01/01@12:38:02,15604,3.233625,2325.8
2000/01/01@12:38:03,15605,3.2334376,2330.266666666667
2000/01/01@12:38:04,15606,3.2332502,2334.733333333333
2000/01/01@12:38:06,15608,3.2330624,2343.6666666666665
2000/01/01@12:38:07,15609,3.2332502,2348.133333333333
2000/01/01@12:38:08,15610,3.2338128,2352.6
2000/01/01@12:38:09,15611,3.2332502,2357.0666666666666
2000/01/01@12:38:10,15612,3.2340002,2361.5333333333333
2000/01/01@12:38:11,15613,3.2334376,2366.0
2000/01/01@12:38:12,15614,3.233625,2369.0
2000/01/01@12:38:13,15615,3.2330624,2372.0
2000/01/01@12:38:14,15616,3.2334376,2375.0
2000/01/01@12:38:15,15617,3.2330624,2378.0
2000/01/01@12:38:16,15618,3.2332502,2381.0
2000/01/01@12:38:18,15620,3.2334376,2387.0
2000/01/01@12:38:19,15621,3.233625,2390.0
2000/01/01@12:38:20,15622,3.233625,2393.0
2000/01/01@12:38:21,15623,3.2330624,2396.0
2000/01/01@12:38:22,15624,3.2332502,2399.0
2000/01/01@12:38:23,15625,3.2330624,2402.0
2000/01/01@12:38:24,15626,3.232875,2405.0
2000/01/01@12:38:25,15627,3.233625,2408.0
2000/01/01@12:38:26,15628,3.233625,2411.0
2000/01/01@12:38:27,15629,3.2330624,2414.0
2000/01/01@12:38:28,15630,3.2332502,2417.0
2000/01/01@12:38:30,15632,3.2332502,2423.0
2000/01/01@12:38:31,15633,3.2330624,2426.0
2000/01/01@12:38:32,15634,3.233625,2429.0
2000/01/01@12:38:33,15635,3.2334376,2432.0
2000/01/01@12:38:34,15636,3.2330624,2435.0
2000/01/01@12:38:35,15637,3.233625,2438.0
2000/01/01@12:38:36,15638,3.2330624,2441.0
2000/01/01@12:38:37,15639,3.2338128,2444.0
2000/01/01@12:38:38,15640,3.2334376,2447.0
2000/01/01@12:38:39,15641,3.2334376,2450.0
2000/01/01@12:38:40,15642,3.233625,2453.0
2000/01/01@12:38:42,15644,3.2332502,2459.0
2000/01/01@12:38:43,15645,3.2332502,2463.3333333333335
2000/01/01@12:38:44,15646,3.2338128,2467.6666666666665
2000/01/01@12:38:45,15647,3.233625,2472.0
2000/01/01@12:38:46,15648,3.2334376,2476.3333333333335
2000/01/01@12:38:47,15649,3.2334376,2480.6666666666665
